"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie de la production horticole et de l'environnement (Environnement)","https://www.inforoutefpt.org/progColDet.aspx?prog=275&sanction=1","007C","Utiliser un système micro-informatique",NA
"2","Inforoute","Technologie de la production horticole et de l'environnement (Environnement)","https://www.inforoutefpt.org/progColDet.aspx?prog=275&sanction=1","007J","Évaluer l'impact économique et financier d'un conseil technique en production agricole",NA
"3","Inforoute","Technologie de la production horticole et de l'environnement (Environnement)","https://www.inforoutefpt.org/progColDet.aspx?prog=275&sanction=1","007N","Analyser des problèmes relativement à la protection de l'environnement",NA
"4","Inforoute","Technologie de la production horticole et de l'environnement (Environnement)","https://www.inforoutefpt.org/progColDet.aspx?prog=275&sanction=1","007R","Faire de la représentation commerciale",NA
"5","Inforoute","Technologie de la production horticole et de l'environnement (Environnement)","https://www.inforoutefpt.org/progColDet.aspx?prog=275&sanction=1","007S","Gérer une équipe de travail",NA
"6","Inforoute","Technologie de la production horticole et de l'environnement (Environnement)","https://www.inforoutefpt.org/progColDet.aspx?prog=275&sanction=1","007V","Analyser les fonctions de travail",NA
"7","Inforoute","Technologie de la production horticole et de l'environnement (Environnement)","https://www.inforoutefpt.org/progColDet.aspx?prog=275&sanction=1","007W","Identifier des végétaux",NA
"8","Inforoute","Technologie de la production horticole et de l'environnement (Environnement)","https://www.inforoutefpt.org/progColDet.aspx?prog=275&sanction=1","0081","Appliquer des règles de santé et de sécurité au travail",NA
"9","Inforoute","Technologie de la production horticole et de l'environnement (Environnement)","https://www.inforoutefpt.org/progColDet.aspx?prog=275&sanction=1","0086","Élaborer un programme d'amendement et de fertilisation des sols",NA
"10","Inforoute","Technologie de la production horticole et de l'environnement (Environnement)","https://www.inforoutefpt.org/progColDet.aspx?prog=275&sanction=1","008C","Intervenir au regard de la machinerie en préparation et en conservation des sols",NA
"11","Inforoute","Technologie de la production horticole et de l'environnement (Environnement)","https://www.inforoutefpt.org/progColDet.aspx?prog=275&sanction=1","","",NA
