"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023L","Analyser la fonction de travail",NA
"2","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023M","Modéliser des résultats mathématiques appliqués à la maintenance industrielle",NA
"3","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023N","Interpréter les plans, les devis, les normes et la documentation technique de systèmes d'équipement industriel",NA
"4","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023P","Effectuer des activités de mesure et de contrôle",NA
"5","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023Q","Analyser des mécanismes industriels",NA
"6","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023R","Déterminer les paramètres d'assemblage et d'ajustement de l'équipement",NA
"7","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023S","Vérifier la conformité des installations et de l'équipement aux normes, aux plans et aux devis",NA
"8","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023T","Résoudre des problèmes de physique appliqués à la maintenance industrielle",NA
"9","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023U","Utiliser des méthodes statistiques aux fins d'analyse en maintenance industrielle",NA
"10","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023V","Effectuer des activités relatives aux dispositifs de puissance",NA
"11","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023W","Résoudre des problèmes de logique combinatoire et séquentielle",NA
"12","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023X","Effectuer des activités relatives aux systèmes de commande",NA
"13","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023Y","Repérer et analyser des problèmes de fonctionnement de l'équipement",NA
"14","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","023Z","Réaliser des activités de fabrication de pièces d'équipement",NA
"15","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","0240","Résoudre des problèmes de lubrification",NA
"16","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","0241","Réaliser des activités d'analyse de vibrations",NA
"17","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","0242","Réaliser des activités de modification d'équipement",NA
"18","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","0243","Analyser des systèmes d'équipements industriels",NA
"19","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","0244","Réaliser des activités de conception de systèmes industriels",NA
"20","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","0245","Réaliser des activités d'optimisation d'équipement",NA
"21","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","0246","Concevoir un programme de maintenance préventive et prévisionnelle",NA
"22","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","0247","Coordonner et contrôler la mise en oeuvre d'activités de maintenance industrielle",NA
"23","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","0248","Fournir de l'assistance technique en maintenance industrielle",NA
"24","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","0249","Résoudre des problèmes de maintenance industrielle",NA
"25","Inforoute","Technologie de maintenance industrielle","https://www.inforoutefpt.org/progColDet.aspx?prog=323&sanction=1","","",NA
