"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","005Q","Analyser la fonction de travail",NA
"2","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","005R","Appliquer les mesures relatives à la santé, à la sécurité et à la radioprotection",NA
"3","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","005S","Utiliser les appareils de traitements transcutanés",NA
"4","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","005T","Résoudre des problèmes de dosimétrie",NA
"5","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","005U","Prodiguer des soins de base et de confort en radio-oncologie",NA
"6","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","005V","Analyser des plans de traitements en radio-oncologie",NA
"7","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","005W","Fabriquer des accessoires particuliers aux techniques de radio-oncologie",NA
"8","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","005X","Administrer des traitements de radiothérapie transcutanée",NA
"9","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","005Y","Participer à des traitements de curiethérapie",NA
"10","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","005Z","Effectuer la simulation de traitements de radiothérapie transcutanée",NA
"11","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","0060","Effectuer la dosimétrie de traitements de radiothérapie transcutanée",NA
"12","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","0061","Établir une relation d'aide avec des personnes atteintes du cancer",NA
"13","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","0062","Exécuter, de façon continue, l'ensemble des tâches techniques en radio-oncologie",NA
"14","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","0063","Appliquer une stratégie favorisant l'intégration à la vie professionnelle",NA
"15","Inforoute","Technologie de radio-oncologie","https://www.inforoutefpt.org/progColDet.aspx?prog=256&sanction=1","","",NA
