"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06EN","Analyser la fonction de travail",NA
"2","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06EP","Appliquer les mesures relatives à la santé, à la sécurité, à la protection et à l’environnement",NA
"3","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06EQ","S’assurer du bon fonctionnement et de la disponibilité du matériel, de l’équipement, des dispositifs et des accessoires",NA
"4","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06ER","Caractériser une pathologie oncologique au regard de l’information biomédicale et des modalités thérapeutiques",NA
"5","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06ES","Utiliser les appareils de traitement en radiothérapie",NA
"6","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06ET","Utiliser les appareils et systèmes d’imagerie en radio-oncologie",NA
"7","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06EU","Optimiser la qualité des images issues de technologies d’imagerie",NA
"8","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06EV","Interagir au sein d’une équipe de travail",NA
"9","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06EW","Interagir avec une patiente ou un patient en radio-oncologie",NA
"10","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06EX","Prodiguer des soins à une patiente ou à un patient en radio-oncologie",NA
"11","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06EY","Résoudre un problème technique lié à une planification ou à un traitement en radio-oncologie",NA
"12","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06EZ","Confectionner des accessoires propres à la radio-oncologie",NA
"13","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06F0","Analyser un plan de traitement en radio-oncologie",NA
"14","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06F1","Effectuer un traitement de radiothérapie externe",NA
"15","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06F2","Effectuer la planification d’un traitement en radio-oncologie",NA
"16","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06F3","Effectuer une dosimétrie",NA
"17","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","06F6","Caractériser un traitement de curiethérapie",NA
"18","Inforoute","Technologie de radio-oncologie (Nouvelle version)","https://www.inforoutefpt.org/progColDet.aspx?prog=535&sanction=1","","",NA
