"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037B","Traiter l'information relative aux réalités du milieu du travail en technologie de systèmes ordinés",NA
"2","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037C","Traiter l'information technique",NA
"3","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037D","Résoudre des problèmes de mathématiques liés à la technologie de systèmes ordinés",NA
"4","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037E","Diagnostiquer un problème d'électronique analogique",NA
"5","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037F","Diagnostiquer un problème d'électronique numérique",NA
"6","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037G","Diagnostiquer un problème lié à un circuit à base de microprocesseur",NA
"7","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037H","Diagnostiquer un problème lié à un réseau d'un système ordiné",NA
"8","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037J","Dépanner un système ordiné",NA
"9","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037K","Communiquer en milieu de travail",NA
"10","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037L","Dessiner des schémas électroniques",NA
"11","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037M","Planifier un projet relatif à un système ordiné",NA
"12","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037N","Concevoir des circuits imprimés",NA
"13","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037P","Réaliser le prototype d'un système ordiné",NA
"14","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037Q","Effectuer l'intégration et l'installation de composants d'un système ordiné",NA
"15","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037R","Rédiger des procédures relatives à des systèmes ordinés",NA
"16","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037S","Programmer des systèmes ordinés",NA
"17","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037T","Modifier la programmation de systèmes ordinés",NA
"18","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037U","Effectuer des activités d'optimisation d'un système ordiné",NA
"19","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","037V","Effectuer des activités de conception d'un système ordiné",NA
"20","Inforoute","Technologie de systèmes ordinés","https://www.inforoutefpt.org/progColDet.aspx?prog=328&sanction=1","","",NA
