"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007B","Analyser les fonctions de travail",NA
"2","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007C","Utiliser un système micro-informatique",NA
"3","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007D","Analyser certains aspects de la situation technico-économique et financière d'une entreprise agricole",NA
"4","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007E","Analyser la qualité des aliments utilisés en productions animales",NA
"5","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007F","Assurer la réalisation d'un programme d'amendement et de fertilisation des sols",NA
"6","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007G","Assurer la protection des grandes cultures",NA
"7","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007H","Évaluer l'élaboration d'un programme d'alimentation en production animale",NA
"8","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007J","Évaluer l'impact économique et financier d'un conseil technique en production agricole",NA
"9","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007K","Déterminer les besoins en installations et en équipements des productions animales",NA
"10","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007L","Assurer l'application d'un programme d'implantation et d'entretien d'une culture destinée à l'alimentation animale",NA
"11","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007M","Informer au sujet des politiques, des organismes agricoles et des mécanismes de commercialisation",NA
"12","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007N","Analyser des problèmes relatifs à la protection de l'environnement",NA
"13","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007P","Élaborer un programme d'amélioration génétique d'un troupeau",NA
"14","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007Q","Soutenir l'application d'un programme de récolte et de conservation d'une culture destinée à l'alimentation animale",NA
"15","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007R","Faire de la représentation commerciale",NA
"16","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007S","Gérer une équipe de travail",NA
"17","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007T","Élaborer un programme de culture",NA
"18","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","007U","Assurer un support technique au regard des pratiques propres aux productions animales",NA
"19","Inforoute","Technologie des productions animales","https://www.inforoutefpt.org/progColDet.aspx?prog=270&sanction=1","","",NA
