"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01X1","Analyser la fonction de travail de technicienne et de technicien en génie civil",NA
"2","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01X2","Résoudre des problèmes de mathématiques liés aux bâtiments et aux travaux publics",NA
"3","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01X3","Exploiter un environnement informatique",NA
"4","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01X4","Réviser des plans et des devis de bâtiments et de travaux publics",NA
"5","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01X5","Analyser des projets de génie civil",NA
"6","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01X6","Effectuer un levé topométrique",NA
"7","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01X7","Dessiner un plan",NA
"8","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01X8","Intervenir au regard de la santé et de la sécurité",NA
"9","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01X9","Calculer les forces et les charges appliqués aux ouvrages",NA
"10","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XA","Établir des relations professionnelles",NA
"11","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XB","Effectuer des implantations de travaux de construction",NA
"12","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XC","Analyser les réactions structurales des ouvrages",NA
"13","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XD","Effectuer des analyses de matériaux de construction",NA
"14","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XE","Effectuer la conception technique d'éléments de structure",NA
"15","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XF","Effectuer des analyses de sols",NA
"16","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XG","Effectuer la conception technique de projets d'infrastructure",NA
"17","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XH","Inspecter des ouvrages de travaux publics et des bâtiments",NA
"18","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XJ","Proposer des mesures en matière d'environnement",NA
"19","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XK","Assurer le suivi des travaux de chantier",NA
"20","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XL","Estimer des coûts de construction ou de réfection",NA
"21","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XM","Adapter des méthodes de fabrication de matériaux de construction",NA
"22","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XN","Participer à l'élaboration d'une soumission et à l'organisation de travaux de chantier",NA
"23","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","01XP","Participer à l'élaboration d'un projet de construction ou de réfection",NA
"24","Inforoute","Technologie du génie civil","https://www.inforoutefpt.org/progColDet.aspx?prog=302&sanction=1","","",NA
