"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie du génie métallurgique","https://www.inforoutefpt.org/progColDet.aspx?prog=342&sanction=1","0315","Analyser la fonction de travail",NA
"2","Inforoute","Technologie du génie métallurgique","https://www.inforoutefpt.org/progColDet.aspx?prog=342&sanction=1","0316","Effectuer des préparations métallographique aux fins du contrôle de la qualité",NA
"3","Inforoute","Technologie du génie métallurgique","https://www.inforoutefpt.org/progColDet.aspx?prog=342&sanction=1","0317","Prévoir le comportement des métaux, des alliages et des matériaux non métalliques au regard de leurs propriétés fondamentales",NA
"4","Inforoute","Technologie du génie métallurgique","https://www.inforoutefpt.org/progColDet.aspx?prog=342&sanction=1","0318","Appliquer une procédure de résolution de problèmes de nature scientifique en métallurgie",NA
"5","Inforoute","Technologie du génie métallurgique","https://www.inforoutefpt.org/progColDet.aspx?prog=342&sanction=1","0319","Interpréter des plans et des devis",NA
"6","Inforoute","Technologie du génie métallurgique","https://www.inforoutefpt.org/progColDet.aspx?prog=342&sanction=1","031A","Prévoir les effets des procédés de coupage, d'assemblage et de mise en forme des métaux sur les propriétés des produits",NA
"7","Inforoute","Technologie du génie métallurgique","https://www.inforoutefpt.org/progColDet.aspx?prog=342&sanction=1","031B","Prévoir les effets d'un traitement thermique sur les propriétés des métaux et des alliages",NA
"8","Inforoute","Technologie du génie métallurgique","https://www.inforoutefpt.org/progColDet.aspx?prog=342&sanction=1","031C","Exploiter les fonctions de base de logiciels d'utilisation générale et spécialisée",NA
"9","Inforoute","Technologie du génie métallurgique","https://www.inforoutefpt.org/progColDet.aspx?prog=342&sanction=1","031D","Réaliser des activités relatives à l'organisation du travail",NA
"10","Inforoute","Technologie du génie métallurgique","https://www.inforoutefpt.org/progColDet.aspx?prog=342&sanction=1","","",NA
