"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027A","Traiter l'information relative aux réalités des milieux du travail en technologie de la physique appliquée",NA
"2","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027B","Résoudre des problèmes de mathématique en physique appliquée",NA
"3","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027C","Dépanner des appareils de physique appliquée",NA
"4","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027D","Analyser la dynamique et l'hydrodynamique de systèmes",NA
"5","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027E","Caractériser des composants et des appareils par des montages d'optique géométrique",NA
"6","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027F","Évaluer une méthode de mesure",NA
"7","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027G","Assembler des appareils de physique appliquée",NA
"8","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027H","Exploiter des logiciels de dessin et de simulation",NA
"9","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027J","Réaliser des chaînes de mesure",NA
"10","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027K","Établir des liens entre des modèles atomiques et des propriétés de la matière",NA
"11","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027L","Caractériser des matériaux",NA
"12","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027M","Analyser des systèmes thermiques",NA
"13","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027N","Caractériser des ondes, des composants et des appareils par des montages d'optique ondulatoire",NA
"14","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027P","Caractériser des ondes, des composants et des appareils par des montages d'optique guidée",NA
"15","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027Q","Programmer l'acquisition et le traitement de données d'appareils de physique appliquée",NA
"16","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027R","Réaliser des systèmes de positionnement",NA
"17","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027S","Caractériser des ondes, des composants et des appareils par des montages d'acoustique",NA
"18","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027T","Effectuer le développement d'un appareil de physique appliquée",NA
"19","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027U","Effectuer le développement d'un composant de physique appliquée",NA
"20","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027V","Participer à l'aménagement et à la gestion d'un laboratoire ou d'un local de production",NA
"21","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027W","Participer à l'amélioration d'un procédé de fabrication en physique appliquée",NA
"22","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","027X","Participer à la conception d'un composant ou d'un appareil de physique appliquée",NA
"23","Inforoute","Technologie du génie physique","https://www.inforoutefpt.org/progColDet.aspx?prog=334&sanction=1","","",NA
