"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KL","Analyser la fonction de travail",NA
"2","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KM","Identifier les végétaux des forêts du Québec",NA
"3","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KN","Effectuer des interventions relatives à la santé et à la sécurité, et à la protection contre les feux de forêt",NA
"4","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KP","Traiter des données informatisées à caractère forestier",NA
"5","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KQ","Déterminer les variables dendrométriques d'un peuplement forestier",NA
"6","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KR","Gérer les stocks de bois abattus",NA
"7","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KS","Gérer des ressources humaines et matérielles",NA
"8","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KT","Classifier une station forestière",NA
"9","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KU","Cartographier un territoire forestier",NA
"10","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KV","Effectuer des travaux de prévention, de détection et de répression des insectes et des maladies des arbres",NA
"11","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KW","Inventorier un territoire forestier",NA
"12","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KX","Résoudre des problèmes d'organisation du travail",NA
"13","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KY","Effectuer des travaux sylvicoles antérieurs à la récolte",NA
"14","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00KZ","Vérifier la conformité des interventions en milieu forestier",NA
"15","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00L0","Diriger des travaux précommerciaux et de remise en production d'un territoire",NA
"16","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00L1","Analyser les phases de la récolte de la matière ligneuse",NA
"17","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00L2","Proposer des interventions relatives à l'aménagement de forêts privées",NA
"18","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00L3","Coordonner l'exécution de travaux relatifs aux infrastructures",NA
"19","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00L4","Coordonner l'exécution de travaux de récolte de la matière ligneuse",NA
"20","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","00L5","Participer à l'élaboration des plans et des rapports d'aménagement",NA
"21","Inforoute","Technologie forestière","https://www.inforoutefpt.org/progColDet.aspx?prog=295&sanction=1","","",NA
