"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","0057","Analyser la fonction de travail",NA
"2","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","0058","Veiller au bon fonctionnement de l'équipement sonore",NA
"3","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","0067","Évaluer l'acoustique des lieux",NA
"4","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","0068","Gérer une station de travail audionumérique",NA
"5","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","0069","Exploiter des logiciels audionumériques",NA
"6","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006B","Apprécier l'esthétique et la qualité du son d'une production",NA
"7","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006C","Effectuer des prises de son",NA
"8","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006D","Effectuer des traitements sonores",NA
"9","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006E","Appliquer une démarche de création sonore",NA
"10","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006F","Effectuer des montages sonores",NA
"11","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006G","Effectuer des mixages sonores",NA
"12","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006H","Travailler en équipe multidisciplinaire",NA
"13","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006J","Concevoir des environnements sonores",NA
"14","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006K","Réaliser l'univers sonore de jeux vidéo",NA
"15","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006L","Installer de l'équipement sonore",NA
"16","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006M","Gérer ses activités professionnelles",NA
"17","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006N","Procéder à la diffusion sonore d'un événement",NA
"18","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","006P","Produire un enregistrement musical",NA
"19","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","00GV","Exécuter la postproduction sonore d'un projet",NA
"20","Inforoute","Technologies sonores","https://www.inforoutefpt.org/progColDet.aspx?prog=503&sanction=1","","",NA
