"","Institution","Program","Program_url","Code","Name","Description"
"1","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","010U","To analyze the occupation",NA
"2","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","010V","To establish professional relationships in tourism",NA
"3","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","010W","To provide both regional and national tourism information",NA
"4","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","010X","To analyze the tourism potential of the world's regions",NA
"5","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","010Y","To carry out administrative operations",NA
"6","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","010Z","To carry out research in terms of tourism",NA
"7","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","0110","To supervise a work team",NA
"8","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","0111","To do business in a second language",NA
"9","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","0112","To establish connections between supply and demand in tourism",NA
"10","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","0113","To use tourism marketing strategies",NA
"11","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","0114","To ensure the quality of tourism supply",NA
"12","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","0115","To carry out financial operations",NA
"13","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","0116","To carry out commercial transactions",NA
"14","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","0117","To use various methods employed in the fields of information, public relations and advertising",NA
"15","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","0118","To communicate in a third language",NA
"16","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","0119","To identify trends in international tourism",NA
"17","Inforoute","Tourism (Development and Promotion of Travel Products)","https://www.inforoutefpt.org/progColDet.aspx?prog=474&sanction=1","","",NA
