"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1102","Hand Tools and Precision Instruments","Hand Tools and Precision Instruments The course introduces the learners to the use of micrometers and safety considerations and procedures to follow while using basic hand tools, cutting tools, mechanical and electric assembly tools including power and abrasive. "
"2","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1104","Aircraft Servicing","Aircraft Servicing Learners are introduced to servicing requirements of aircraft systems, aircraft departure preparation, and marshalling including precautions. "
"3","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1105","Aircraft Hardware","Aircraft Hardware The learner is introduced to the standards and specifications of aircraft hardware. Threaded and non-threaded fasteners and related safetying devices, fluid lines, fittings, and cable fittings are also covered in this course. "
"4","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1106","Aerodynamics","Aerodynamics This course introduces learners to the properties of atmosphere, elementary aerodynamics as well as the control and stability of aircraft. Aerodynamic terminology, rotor designs, forces acting on a rotor, autorotation, ground resonance, stability and rotary wing controls are discussed. "
"5","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1107","Metallurgy and Metallic Structures","Metallurgy and Metallic Structures The learner is introduced to the physical properties of materials used in aircraft construction. Corrosion, treatment processes and identification coding systems as well as the basics of aircraft construction, stress and load distribution are discussed. Sheet metal repairs are performed including layout, cutting, bending, forming, drilling, structural inspection and installation of rivets and special fasteners. "
"6","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1109","Aircraft Drawings","Aircraft Drawings The learners are introduced to types of drawings, diagrams, and charts. The learner will be given the opportunity to demonstrate drawing techniques and interpret aircraft drawings. "
"7","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1200","Engines, Propellers and Fuel Systems","Engines, Propellers and Fuel Systems The course introduces learners to the history, development, theory, construction and operation of reciprocating and gas turbine engines as well as basic propeller theory and application. Engine types, components and accessories will be covered in detail. Propulsion principles, instrumentation, and the theory, construction, design and operating fundamentals of the engines, propellers and associated systems are discussed. "
"8","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1300","Landing Gear, Wheels, Tires and Brakes","Landing Gear, Wheels, Tires and Brakes The learners are introduced to landing gear types and configurations including aircraft floats and skies, wheels, tires and brakes. Anti-skid and gear retraction systems will be discussed with a four hour practical component in gear retraction procedures. "
"9","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1305","Emergency and Environmental Systems","Emergency and Environmental Systems The course covers the fundamentals of the Pneumatic, Environmental Control, and Ice and Rain Protection Systems. Learners are also introduced to fire-extinguishing, fire detection and emergency systems that are onboard aircraft. "
"10","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1400","Math","Math The learner applies mathematical formulas to solve problems in algebra, trigonometry, graphing, complex numbers and number systems. "
"11","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1401","DC Theory","DC Theory The learner is introduced to basic principles of electrical theory, magnetism and electromagnetism, and given the opportunity to construct, measure and analyze various circuit configurations. "
"12","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1402","AC Theory","AC Theory The learner is introduced to basic AC terminology and voltages and is given the opportunity to construct, measure, and troubleshoot various AC circuits. "
"13","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1403","Basic Electronics Analog I","Basic Electronics Analog I The learner is introduced to solid state electronics, including atomic theory and the construction and operation of diodes and transistors. The learner is given the opportunity to explore applications of diodes and transistors such as rectifier, power supply, and amplifier circuits. "
"14","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1404","Basic Electronics Analog II","Basic Electronics Analog II This is the second part of solid state studies. The learner is introduced to Field Effect transistors, operational amplifiers, filters, oscillators, regulation circuits and special purpose diodes. "
"15","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1405","Basic Electronic-Digital","Basic Electronic-Digital The learner is introduced to the avionics data bus and logic systems, controls and displays including number systems, logic gate functions, integrated circuits and digital systems. "
"16","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1500","Communications Systems I","Communications Systems I The learner is introduced to electronic communications theory and is given the opportunity to perform tests on communications systems. Topics that are discussed include signal modulation, transmission line theory, antenna theory, radio frequency (RF) wave propagation, digital data transmission, satellite communications concepts, fibre optics, RF connectors and cable selection. "
"17","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1501","Communications Systems II","Communications Systems II The learner is introduced to aircraft audio systems and test aircraft communications equipment. The communications systems discussed include interphone, VHF FM, VHF/UHF FM, HF, Emergency Locator Transmitter, passenger entertainment systems, and radiotelephone. "
"18","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1502","Communications Systems III","Communications Systems III The learner installs, troubleshoots, analyzes operation and performs maintenance on various aircraft communications systems. "
"19","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1503","Avionics Navigation I","Avionics Navigation I Learners are introduced to the VHF Omni-range Navigation System, Area Navigation, and Satellite Navigation Global Positioning systems. Much of the learner’s time is focused on the testing and installation of avionics navigation systems. "
"20","Nova Scotia Community College (NSCC)","Aircraft Maintenance Engineer - Avionics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMEE&pln=AIRMAINAVS","AMEE 1504","Avionics Navigation II","Avionics Navigation II Learners are introduced to a variety of systems: the Instrument Landing System (ILS), Microwave Landing System (MLS), Inertial Navigation Reference System (INS/IRS), Air traffic Control System (ATC), Flight Management System (FMS), and the Heads-Up Display (HUD). "
