"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 1000","Professional Mentorship","Professional Mentorship Learners will expand upon their understanding of themselves, their interests and values and integrate these ideas to allow them to make more informed career, education and life choices. The learner will develop and maintain an ongoing professional relationship with a professional mentor, explore strengths and challenges, define goals and explore pathways in the context of portfolio learning. "
"2","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 1020","Collaborative Project I","Collaborative Project I This course introduces you to applied media and communication arts by immersing you in the creative design process through a collaborative experience. You will be encouraged to explore and experiment throughout this intensive week of discovery. You will also be encouraged to share your strengths, knowledge and experiences with your team in order to find creative solutions to a multi-discipline project. The emphasis will be on the process and your creative potential within a set of given parameters.This experience is also designed to introduce you to the other learners in the Applied Media and Communication Arts program and learn about yourself and others in a respectful and inclusive teaching and learning environment.Further, this course will highlight the professional expectations in a variety of applied arts disciplines and lay some foundation skills for the courses that will follow. "
"3","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 1035","Graphic Design I","Graphic Design I This course introduces the learner to applied media and communication arts by immersing them in the creative design process through a variety of experiences. Learners will be encouraged to explore their potential and aptitude for graphic design and other career paths through practical application and theory. The emphasis will be on the process and your creative potential within a set of given parameters.Further, this course will highlight professional expectations in a variety of applied arts disciplines and lay some foundation skills for the courses that will follow. "
"4","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 1040","Interactive Design I","Interactive Design I This course will introduce learners to the theory and practice of storytelling, visual communication and the use of industry standard software as development tools. In this course, learners will learn to identify what constitutes interactive media and be able to identify the design, usability and accessibility principles used. "
"5","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 1045","Print Production I","Print Production I This course will introduce the learner to Print media, and how it relates and supports the visual communications industry. You will explore print media careers and the focus will be an introduction to learning some of the technical aspects of print production and materials used in print production. "
"6","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 1052","Video and Sound Design I","Video and Sound Design I This course introduces learners to the various roles, principles and processes associated with video and sound design and production. Learners will explore and experiment with the elements that comprise a video production such as writing, framing, editing and sound. They will explore elements of sound design such as levels, noise, editing, mixing and effects. They will also be introduced to the concepts of storytelling and create basic video and sound productions. "
"7","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 1055","Photography I","Photography I This course introduces the learner to photography by immersing them in the creative design process through a variety of experiences. Learners will be encouraged to explore their potential and aptitude for a photography career path through practical application and theory. The emphasis will be on the process and your creative potential within a set of given parameters. Further, this course will highlight professional expectations in the photography discipline and introduce foundation skills for the courses that will follow. "
"8","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 1065","Cultural Connections I","Cultural Connections I This course introduces learners to the many careers available to them as future practitioners in the media arts field. Learners are exposed to the various avenues they may take to become successful in the field, including further study. They will be exposed to industry through guest speakers and discussion, which will further help them in their decision making. "
"9","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 1070","Communications I","Communications I This course introduces learners to a variety of fundamental, essential communication skills that are vital for success in further levels of study in applied arts disciplines. The skills and knowledge delivered through this course are the building blocks for further courses, both in the AMCA program and applied arts diploma programs.Learners will identify areas of strength and areas where skills need to be further developed in order to meet the expectations of the industry. "
"10","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 1080","Illustration","Illustration This course will introduce learners to the theory and practice of storytelling and visual communication through the practice of drawing. In this course, learners will learn the differing approaches to perceiving the world around them and translating that through the practice of drawing. "
"11","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 2000","Portfolio Development","Portfolio Development Learners will deepen their understanding of themselves, their interests, values, skills and abilities and integrate these ideas to advance their career, education and life choices. Through an ongoing professional relationship with a mentor, the learner will explore pathways, identify and build on insights gained in professional mentorship I, define measureable goals and develop a plan of action. Learners are encouraged to build on their present vision to motivate them about their future goals using a portfolio learning approach. "
"12","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 2035","Graphic Design II","Graphic Design II This course introduces the learner to the building blocks of applied arts study. As well as exploring the variety of industries associated with graphic arts, the learner will have hands-on experience with graphic design. The fundamental principles of design and associated technologies along with idea development and creative problem solving will all be introduced to the learner. "
"13","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 2040","Interactive Design II","Interactive Design II This course will introduce learners to the theory and practice of storytelling, visual communication and the use of industry standard software as development tools. In this course, learners will learn to plan, create and present an interactive media project using a variety of software. "
"14","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 2045","Print Production II","Print Production II This course will examine the differences between offset and digital print technologies. It will also examine more complex print standards and future technologies. "
"15","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 2052","Video and Sound Design II","Video and Sound Design II Learners will work in a collaborative environment to brainstorm, write, plan and create short media productions. Working in small groups, they will follow the standard model of pre-production, production and post-production used in the television, film, and sound recording industries. Learners will create original music, environment sounds, radio productions, and sound effects using recording techniques and standard audio software. "
"16","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 2055","Photography II","Photography II This course introduces the learner to the building blocks of photography. The fundamental principles of design and associated technologies along with idea development and creative problem solving will all be introduced to the learner. Learners will apply their experiences (theory and practice) from prerequisite courses to express their own ideas and interpretations in photographic media. "
"17","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 2065","Cultural Connections II","Cultural Connections II This course introduces learners to the cultural diversity associated with applied arts and helps them to start to develop an informed opinion. Learners will explore and discuss current media, art and design and discover the connections and influence of historic movements and styles. They will be exposed to local, national and international trends and begin to compile a collection of reference material to support them in other courses associated with this program. "
"18","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 2070","Communications II","Communications II This course builds on the skills already acquired in the previous AMCA communication course. Learners will fine-tune previously acquired skills and knowledge through a variety of assignments that include collaboration, information delivery formats and the nuances of communication styles and needs. "
"19","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 2080","Animation","Animation This course will introduce learners to the theory and practice of storytelling and visual communication through the practice of drawing. In this course, learners will analyze movement and break it down into a sequence of drawings to better understand the relationship of movement over time and how it impacts an audience. "
"20","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","AMCA 2500","Collaborative Project II","Collaborative Project II This course is designed to demonstrate the learning and skills acquired throughout the year. It will involve a variety projects and give opportunities to demonstrate individual strengths, skills and personal academic focus. There will be opportunities for learners to work in groups on larger projects, but there will also be room for personal focus that will give the learner the opportunity to develop personal work for inclusion in their portfolio. "
"21","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"22","Nova Scotia Community College (NSCC)","Applied Media and Communication Arts","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AMCA&pln=MEDCOMARTS","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
