"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","AETE 1021","Architecture I","Architecture I This course introduces the learner to housing design in Nova Scotia and the principles of architectural representation. The learner will use these principles to create a construction drawing for a single-family residence. "
"2","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","AETE 1022","Specification Writing and Contracts","Specification Writing and Contracts This course introduces the learner to the many aspects of specification writing for residential and commercial building applications. "
"3","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","AETE 3014","Architecture II","Architecture II This course deals with the initial stages of planning and designing a small commercial building using standard presentation methods for the production of the working drawings. The learner will cover material related to the use of part 3 of the National Building Code, in the preparation of working drawings for a small commercial building design. "
"4","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","AETE 3015","Architectural Estimating I","Architectural Estimating I This course is intended to establish a strong foundation in general estimating techniques for residential construction with an emphasis on component identification and mathematical problem solving. "
"5","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","AETE 3017","Architecture III","Architecture III This course deals with the continuation of a commercial design project. Topics covered will include detailed drawing requirements for a typical set of commercial construction documents. Drawing standards and Information enabling the completion of the drawings for the commercial design project started in the previous semester. These requirements may include assessment of existing structures with respect to renovation challenges. Work will include a combination of individual and group work. "
"6","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","AETE 3018","Architectural Estimating II","Architectural Estimating II This course examines the fundamentals of commercial estimating and how the prices of materials are determined. Factors affecting labour productivity, equipment costs, crew rates and scheduling will be examined. "
"7","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","AETE 3100","Work Experience","Work Experience The work experience component provides the learner with an opportunity to apply new skills and concepts appropriate for entry-level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. "
"8","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","BIMT 1010","Building Modelling Software I","Building Modelling Software I The course covers the basics of Revit from schematic design through construction documentation. Students are introduced to the concepts of Building Information Modelling and the tools for parametric building design and documentation. "
"9","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","CADD 1010","Computer Aided Drafting I","Computer Aided Drafting I In this introduction to computer-aided drafting, students gain knowledge in the use of principles of computer-aided drafting software. The primary emphasis is the application of AutoCAD, an industry-standard computer-aided drafting program. Specific hardware used in the computer-aided drafting environment is introduced and utilized. "
"10","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","CADD 1020","Computer Aided Drafting II","Computer Aided Drafting II This course continues the introduction to architectural drawing using industry standard software with an emphasis on applied project work. The learner takes the concepts learned in design courses and applies them to a set of residential working drawings. "
"11","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","CMTG 1021","Construction Materials I","Construction Materials I This course is designed to introduce the learner to the art of building and renovating. The course will examine the use of a variety of building materials and how they are used in conjunction with one another to perform as a complete building system. Several complete building systems will be discussed to cover such information as their historical development, a review of how the material is obtained and processed, an outline of the people and organizations that work with the material, a description of the tools and working methods, and a discussion of the role of various systems in relation to alternative systems. Learners will also be introduced to a variety of construction equipment used in the industry. The focus of this semester is on wood, light frame wood construction techniques, the exterior and interior finishes for wood light frame construction, masonry, and steel frame construction. "
"12","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","CMTG 1022","Construction Practices","Construction Practices This course will introduce the learner to the basics of concrete technology including materials, tools and working methods, discuss the construction industry and introduce the concepts of construction project management and scheduling. Municipal zoning bylaws will also be examined. "
"13","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","CMTG 1023","Construction Materials II","Construction Materials II This course is designed to introduce the learner to the art of building and renovating. The course will examine the use of a variety of building materials and how they are used in conjunction with one another to perform as a complete building system. Several complete building systems will be discussed to cover such information as their historical development, a review of how the material is obtained and processed, an outline of the people and organizations that work with the material, a description of the tools and working methods, and a discussion of the role of various systems in relation to alternative systems. Learners will also be introduced to a variety of construction equipment used in the industry. The focus of this course is on concrete construction, including sitecast and precast concrete framing systems, roofing, glass and glazing, cladding, and selection of interior finishes including walls, partitions, ceilings and floors. "
"14","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","COMM 1245","Technical Communications I","Technical Communications I This course introduces students to the writing, oral presentation, critical thinking and interpersonal communications skills required of technical professionals in the workplace. The fundamentals of clear, concise writing and presenting will be reviewed and refined. Experience will be gained in organizing, writing and presenting technical information. In addition, career development skills and portfolio preparation will be discussed. There will be several opportunities, through assignments and lab work, to develop portfolio components. Students will learn how to collect appropriate work samples and documentation from other courses in the program as well as from other sources. "
"15","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","COMM 2245","Technical Communications II","Technical Communications II This course focuses on the interpersonal, written and oral technical communication skills necessary for working independently and as part of a team in a technical environment. Further skill development in written forms of technical documentation required for the workplace as well as report creation and oral presentation skills will continue to be emphasized. Team building principles, group dynamics and collaborative writing will be discussed. Students will participate in meetings and take responsibilities in a group project from its inception to completion and evaluation. Students will continue to enhance and apply their research skills and project management principles will also be introduced. Successful job interviews and the portfolio will be discussed. "
"16","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","DRAF 1001","Introductory Drafting","Introductory Drafting This course will introduce the learner to the equipment, techniques and principles of modern drafting. The focus is on orthographic 2D representation and includes freehand sketching, isometric and oblique drawing. "
"17","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","ENGI 1002","Structural Design I","Structural Design I This course teaches typical layouts, loadings and material properties associated with structural systems. Basic structural design principles will be introduced in the areas of structural steel, reinforced concrete and timber. "
"18","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","ENGI 1003","Electrical Services I","Electrical Services I This course provides the learner with the basic understanding of electrical terminology, systems and services used in the construction industry. Introduced in the course are studies of systems for electrical residential distribution, wiring practices currently used in buildings being constructed. "
"19","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","ENGI 1004","Mechanical Services I","Mechanical Services I This course, will introduce the learner to the mechanical service sector as it relates to the overall construction industry. The course is designed to give broad and current coverage of indoor environmental control. Learners who successfully complete Mechanical Services I will analyze and evaluate psychrometric processes; calculate heating and cooling loads; and describe and size basic heating piping, ducting and equipment. "
"20","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","ENGI 1005","Structural Design II","Structural Design II This course continues to focus on typical layouts and design associated with structural systems. The course will expand on learning in the areas of structural steel, reinforced concrete and timber design. Learners will prepare the structural design and drawings for a two-storey commercial building. "
"21","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","ENGI 1006","Electrical Services II","Electrical Services II This course, provides the learner with the basic understanding of electrical terminology, systems and services used in the construction industry. Introduced in the course are studies of systems for lighting, electrical distribution, wiring devices, alarm systems, control systems, and other electrical systems currently used in buildings being constructed. Lighting and emergency systems will be evaluated against national and international energy efficiency standards. "
"22","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","ENGI 1007","Mechanical Services II","Mechanical Services II This course will introduce the learner to the mechanical service sector as it relates to the overall construction industry. The course is designed to give broad and current coverage of air conditioning, plumbing and fire protection. Learners who successfully complete Mechanical Services II will identify materials, equipment and designs used for air distribution, heating, cooling, plumbing, and fire protection. "
"23","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","ENGI 1009","Strengths of Materials","Strengths of Materials This course covers the basics of strength of materials as required for structural design courses. Topics include simple stress, deformation and strain, centre of gravity, properties of sections, and building loads. "
"24","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","ENGI 1014","Physics","Physics This is an introductory course in physics for building science. Topics include technical measurements and vectors, translational equilibrium and friction, and application of work, energy and power. "
"25","Nova Scotia Community College (NSCC)","Architectural Engineering Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=AETE&pln=ARCHENGTCN","ENGI 1115","Engineering Problems and Statics (A)","Engineering Problems and Statics (A) This is a single semester course covering the basic rules and laws of statics, forces, force systems, loading and load effects. "
