"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","MANT 1010","Shipboard Safety Procedures and Regulations","Shipboard Safety Procedures and Regulations Learners will be introduced to various Canadian and International Regulations that pertain to their certificate and gain knowledge of ISM and MOHS. Mooring and anchoring equipment and procedures are studied. Environmental protection, emergency and distress equipment, practices and procedures are covered. "
"2","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","MANT 1050","Basic Chartwork and Pilotage","Basic Chartwork and Pilotage In this course the learners study bridge operations and the bridge team concept. They study basic navigation: compasses, charts, Aids to Navigation, and the Collision regulations as they pertain to the rating position. Duties of the Bridge Watch Rating in contributing to a safe watch and maintaining a proper lookout; steering procedures, helm orders, communication systems, and handing over a watch are all key focus areas. All outcomes will be accomplished according to Transport Canada Publication TP10936. "
"3","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","MANT 1121","Vessel Personnel with Security Responsibilities","Vessel Personnel with Security Responsibilities This course is intended to provide the knowledge required for seafarers with designated security duties in connection with a Ship Security Plan (SSP) to perform their duties in accordance with the requirements of Chapter XI-2 of SOLAS 74 as amended, the ISPS Code and Section A-VI/6 and Table A-VI/6-2 of the STCW Code, as amended. "
"4","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","MANT 1150","Practical Seamanship","Practical Seamanship In this course learners will receive hands on shop based instruction in deck duties. This will include: maintenance and cleanliness; competence in rope work: knots, hitches and splices; wire rope and uses; chains, shackles and associated fittings. "
"5","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","MANT 1250","Shipboard and Marine Industry Familiarization","Shipboard and Marine Industry Familiarization In this course the learners are introduced to the marine industry in Canada and Internationally. They will become familiar with a variety of ships and aspects of the shipping industry. Shipboard personnel certification, roles and responsibilities, as well as Bridge Team concepts are covered. Shipboard and marine terminology is a key focus of this course. "
"6","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","MANT 1500","Seagoing Service and Onboard Training","Seagoing Service and Onboard Training During the seaphase, the learner will become familiar with shipboard routine and the duties and skills of a deckhand. They will practice the training they received such as seamanship, anchoring, cargo work, steering, and lookout while onboard a vessel. Learners are required to complete a training log book during this training phase. "
"7","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","MEDC 1811","Marine Basic First Aid","Marine Basic First Aid This course provides learners with the knowledge and skills necessary to recognize an emergency, provide appropriate first aid at the scene, notify emergency medical services and promote a safety oriented life style for the prevention of accidents. This course meets the requirements for first aid training as set out by Transport Canada and Workplace Occupational Health and Safety. "
"8","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","MEDC 1821","STCW Basic Safety","STCW Basic Safety This course provides all Seafarers with the basic understanding of the hazards associated with the Marine Environment and their own vessel; the prevention of shipboard incidents, including fire and procedures for abandonment. It provides Seafarers with the knowledge necessary to raise and react to alarms and to deal with emergencies. The course will ensure that all Seafarers are able to provide assistance in fire and abandonment in emergency situations. It will provide Seafarers with the knowledge and skills which will enable them to assist in their own survival and rescue. The course content meets Standards of Training and Certification of Watchkeeping Seafarers, MED with respect to STCW Basic Safety (MED BST). This course also aligns with Transport Publication 5562 of the Transport Canada certification standard for officer cadets. "
"9","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","MEDC 1822","Proficiency in Survival Craft and Rescue Boats Other Than Fast Rescue Boats","Proficiency in Survival Craft and Rescue Boats Other Than Fast Rescue Boats This course is designed to provide seafarers with the basic understanding and knowledge of survival craft and rescue boats, other than fast rescue boats. It meets STCW 6.2 and Canadian requirements under Crewing Regulations for training of marine personnel"
"10","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","PORT 510","Sea Time Preparation and Reporting I","Sea Time Preparation and Reporting I Sea Service Preparation and Reporting courses are intended to manage learner expectations and standards related to sea service training for navigation and engineering officers. This first course in the series provides basic information about the cadet process and requirements for completing training and sea service in the first year. It will include learning about the various documentation and certification requirements to undertake their first placement, an introduction to Nautical Institute’s industry partners, and the development of a professional portfolio and resume. "
"11","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"12","Nova Scotia Community College (NSCC)","Bridge Watch Rating","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BWRT&pln=BRGWCHRTNG","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
