"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","CADD 1001","Computer Aided Drafting","Computer Aided Drafting In this introduction to Computer Aided Drafting (CAD) software, learners gain knowledge in the use and principles of Computer Aided Drafting. The primary emphasis is the application of AutoCAD®, an industry-standard Computer Aided Drafting software program. Specific hardware used in the CAD environment is introduced and utilized. "
"2","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"3","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","COMM 1228","Communications II","Communications II This course further develops essential communications skills with a focus on basic writing. This course provides the student with the opportunity to develop written work typical of the industry related to their program of study. "
"4","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1030","Tools and Safety","Tools and Safety The emphasis of this course is to introduce the learner to the tools and equipment used in the HVAC/R trade. Emphasis will be given to commercial and industrial safety practices when using these tools and equipment on the job site. Electrical safety practices such as lock out/tag out, ladder safety, refrigerant safety and safety documentation will also be covered. "
"5","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1031","Hydronic Piping Applications","Hydronic Piping Applications The emphasis of this course is to introduce the learner to piping practices used in heating applications within the HVAC industry. Emphasis will be given to commercial and industrial piping practices. Installation, layout and system design criteria will be covered in detail. "
"6","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1032","Refrigeration Piping Applications","Refrigeration Piping Applications The emphasis of this course is to introduce the learner to piping practices used in air conditioning and refrigeration applications within the HVAC industry. Emphasis will be given to commercial and industrial piping practices. Installation, layout and system design criteria will be covered in detail. "
"7","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1033","Basic Electrical Fundamentals","Basic Electrical Fundamentals The emphasis of this course is to introduce the learner to electrical installation and troubleshooting practices used within the HVAC industry. Emphasis will be given to commercial and industrial HVAC control systems. Electrical theory, and its’ practical applications in HVAC control systems will be covered in detail. "
"8","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1034","Physics I","Physics I"
"9","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1036","Ventilation System Design and Application","Ventilation System Design and Application The primary focus of this course is residential systems with an emphasis on ventilation and air exchange systems. Installation, service and maintenance procedures will be covered in detail. "
"10","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1037","Hydronic System Design and Applications","Hydronic System Design and Applications The primary focus of this course is residential systems with an emphasis on hydronic systems. Installation, service and maintenance procedures will be covered in detail. "
"11","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1038","The Basic Refrigeration Cycle","The Basic Refrigeration Cycle This course is designed to give an individual a basic understanding of the major components of various types of refrigeration systems. Emphasis on electrical circuits applied to basic refrigeration applications will also be covered. "
"12","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1039","Residential Comfort System","Residential Comfort System This course focuses on residential systems with an emphasis on electrical control and building efficiency. Residential HVAC systems such as air conditioning, geothermal, water and air source heat pumps and other applications typical to the Nova Scotia housing market will be covered. "
"13","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1040","Physics II","Physics II"
"14","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1041","Physics III","Physics III"
"15","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1042","HVAC/R Evaporators and Metering Devices","HVAC/R Evaporators and Metering Devices This course is designed to give the learner an understanding of the evaporators and metering devices used in various types of refrigeration and air conditioning applications. Emphasis will be placed on the installation, operation and maintenance of various types of evaporators and their related metering devices. "
"16","Nova Scotia Community College (NSCC)","Building Systems Technician (HVAC&R)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSVT&pln=BLDSYSTCN","HVAC 1043","HVAC/R Condensers","HVAC/R Condensers This course is designed to give the learner an understanding of the air and water cooled condensers used in various types of refrigeration and air conditioning applications. Emphasis will be placed on the installation, operation and maintenance of various types of condensers and their related controls and safety devices. "
