"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Business Administration - Management Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BADM&pln=BA-MANAGE","BUSI 3005","Contemporary Business Issues","Contemporary Business Issues Students will consider and analyse current business issues through the lenses of law, ethics, and sustainability. Through research to compare and contrast potential pathways to offer legitimate resolutions to the issues, students will furthermore develop critical thinking skills addressing contemporary events while broadening their understanding of the various challenges businesses of today face.Students who successfully complete Applied Ethical Decision Making (MGMT 3020), Business Law (LEGL 2000), and Environmental Sustainability in Business (BUSI 3000) may choose to be exempt from Contemporary Business Issues (BUSI 3005). "
"2","Nova Scotia Community College (NSCC)","Business Administration - Management Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BADM&pln=BA-MANAGE","COMM 2215","Communications","Communications"
"3","Nova Scotia Community College (NSCC)","Business Administration - Management Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BADM&pln=BA-MANAGE","FINA 2316","Financial Management","Financial Management Financial Management is a course that provides the student with the opportunity to assess the financial health of a business and employ various decision-making model in the assessment process. "
"4","Nova Scotia Community College (NSCC)","Business Administration - Management Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BADM&pln=BA-MANAGE","LEGL 2000","Business Law","Business Law This course provides the student with an introduction to the Canadian legal system and a basic understanding of contract and tort law as these apply to the world of business. Students who successfully complete Applied Ethical Decision Making (MGMT 3020), Business Law (LEGL 2000), and Environmental Sustainability in Business (BUSI 3000) may choose to be exempt from Contemporary Business Issues (BUSI 3005). This course is accepted as a pre-requisite for the Canadian Professional Accountant Advanced Certificate in Accounting and Finance (CPA – ACAF) program. "
"5","Nova Scotia Community College (NSCC)","Business Administration - Management Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BADM&pln=BA-MANAGE","MGMT 3001","Management Strategies","Management Strategies Management Strategies focuses on the study of strategic management concepts and techniques used by management to enhance the effectiveness and competitive advantage of an organization. Topics covered include internal analysis, stakeholders, threats and opportunities, business/corporate strategies, strategic control, organizational design and corporate governance. "
"6","Nova Scotia Community College (NSCC)","Business Administration - Management Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BADM&pln=BA-MANAGE","MGMT 3015","Human Resource Management","Human Resource Management Students will examine the activities involved in attracting, recruiting, training, developing, controlling, rewarding, motivating, directing, and maintaining the human resources of a business. Topics will include challenges and trends in the field of human resource management, legal and ethical issues, staffing, employee development, and compensation. "
"7","Nova Scotia Community College (NSCC)","Business Administration - Management Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BADM&pln=BA-MANAGE","MGMT 3035","Operations Management","Operations Management Operations Management provides the student with opportunity to take an integrated, system-oriented approach to operations functions in both service and manufacturing organizations. Topics covered will include: capacity planning, facilities layout, work systems design, location planning, quality control and total quality management, aggregate planning, inventory management, material requirement planning, just-in-time, supply chain management, and scheduling. "
"8","Nova Scotia Community College (NSCC)","Business Administration - Management Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BADM&pln=BA-MANAGE","MGMT 3050","Project Management","Project Management Projects faced by managers may vary in size, but the process of planning and managing projects while faced with numerous project constraints (e.g., time, money, and other resources) remains relatively the same. Students in this course will be introduced to a range of project management tools and be given an opportunity to apply basic project management techniques so they can effectively plan, implement and manage the tasks, risks and constraints associated with projects of various sizes. "
"9","Nova Scotia Community College (NSCC)","Business Administration - Management Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BADM&pln=BA-MANAGE","MGMT 4000","Management Practicum","Management Practicum The Management Practicum course will involve analysis of a real life business environment, with recommended actions that may be undertaken to enhance the opportunities of success for the organization. Depending on complexity, this project may be undertaken individually or by group of students. "
"10","Nova Scotia Community College (NSCC)","Business Administration - Management Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BADM&pln=BA-MANAGE","MGMT 4995","Work Experience","Work Experience The work experience component provides the student with an opportunity to apply new skills and concepts appropriate for entry-level positions within the occupation. Students will assess their own performance and be evaluated by an industry partner. Students will identify personal outcomes they wish to attain during the work experience and will keep a journal. This is a course of 175 hours spread over five weeks. "
