"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","ACTG 1000","Financial Accounting I","Financial Accounting I This course introduces students to the basic principles of the accounting cycle used manually in the service industry. This course is accepted toward certification with the Canadian Institute of Bookkeeping (CIB). This course is accepted as a pre-requisite for the Canadian Professional Accountant Advanced Certificate in Accounting and Finance (CPA – ACAF) program. "
"2","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","BUSI 1015","The Business Environment","The Business Environment This course introduces students to an overview of the roles and responsibilities of business in today’s world. Students will discover how they fit into the business environment. "
"3","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","COMM 1205","Communications","Communications"
"4","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","COMP 1105","Business Computer Technology","Business Computer Technology This course provides students with an introduction to acceptable practices and uses of the computer, including the role of social media in Business. It provides the foundation for using computers that will contribute to success in both the Business Administration program and future careers.This course is accepted toward certification with the Canadian Institute of Bookkeeping (CIB). "
"5","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","COMP 2105","Database I","Database I This course introduces the student to the fundamentals of database management including planning, design, creation and modification. Once created, students will add, edit and delete records contained in a database. Students will create queries to obtain specific information from a database, design forms for working with database records, and design reports to print out data in various formats. "
"6","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","COMP 2110","Spreadsheets I","Spreadsheets I This course introduces the student to electronic spreadsheets including their design and creation. Formulae and functions will be used to perform calculations on the spreadsheet data providing business solutions. Students will apply formatting skills to enhance the appearance and clarity of printed spreadsheets as well as using graphs to represent spreadsheet data.This course is accepted toward certification with the Canadian Institute of Bookkeeping (CIB).This course cannot be used to fulfill an elective requirement for students in Office Administration. "
"7","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","COMP 2125","Word Processing I","Word Processing I This course introduces the student to the fundamentals of document processing including various levels of formatting and editing functions to create business-appropriate documentation.This course is accepted toward certification with the Canadian Institute of Bookkeeping (CIB).Note: This course is not eligible to Office Administration students for use as an elective. "
"8","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","ECON 2015","The Economic and Global Environment","The Economic and Global Environment This course explains the external forces that can affect businesses and how knowledge of this broader environment influences business decisions. "
"9","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","MATH 2500","Applied Business Mathematics","Applied Business Mathematics Applied Business Mathematics introduces students to a variety of math concepts applicable to the business profession. The course will emphasize the time value of money in relevant contexts, annuity applications such as investments, loans and mortgages, as well as decision-making tools such as merchandising costs analysis, break-even analysis, identifying the break-even point and areas of profit and loss. "
"10","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","MGMT 1010","Organizational Behaviour","Organizational Behaviour This course is designed to introduce the student to the field of organizational behaviour. Through this course, the student can develop an informed understanding of the components inherent in social organizations and the relationships among individuals, groups, and the organizations that contribute to an organization's effectiveness. Topics such as values, perception, ethics, conflict resolution, teamwork and diversity will be examined in order to help students become better equipped to interact with others in an organization. "
"11","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","MGMT 2025","Management Principles","Management Principles Management Principles focuses on the study of current management concepts, theories, issues and challenges. "
"12","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","MKTG 1010","Marketing I","Marketing I The primary focus of this course is marketing products and services to targeted customers. Emphasis is placed on the basic marketing premise that customer needs must be satisfied in order to achieve an organization's objectives. The strategic marketing planning process is introduced, along with the specific concepts and principles involved in the four key components of the marketing mix. "
"13","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"14","Nova Scotia Community College (NSCC)","Business Fundamentals","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSFD&pln=BUSNFUND","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
