"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","DBAS 2010","Database Design II","Database Design II This course extends the learners involvement with database design. The need for database design to be complete and to be able to capture all of the data will be emphasized. Design considerations affecting performance from hardware, networking, security, platform and architectural points of view will be discussed and addressed hands-on. The learner's exposure to a series of both initial design and re-engineering case studies will ensure that they are made aware of the importance of fast, reliable access to data in all organizational areas. "
"2","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","DBAS 2101","Data Reporting","Data Reporting The course is designed to provide learners with the necessary skill background and understanding to be able to realistically assess data reporting requirements, migrate data from its sources to the reporting utility, and to author, manage and deliver traditional and interactive reports and visualizations. All applied work will be performed using current local industry standard platforms. "
"3","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","DBAS 2103","Data Provisioning with ETL","Data Provisioning with ETL The course is designed to familiarize learners with the process and methodologies used to provide data from data sources to a processing environment. Progression of skill is done in the end-to-end context of the ETL process. Learners will identify data sources based on analyzed client requirements, extract those data, perform cleansing, perform any necessary transformations, integrate and load the data to its end platform. Due to the fact that in production programmers may be applying all or any component of the ETL process, a variety of platforms will be used ranging from command line ANSI standard SQL to comprehensive ETL suites such as Informatica. Every platform choice will reflect current local industry standards. "
"4","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","DBAS 2104","Business Analysis Essentials","Business Analysis Essentials This course teaches the fundamental business processes that govern the operation of any business. The focus is on the tools and methodologies used by business analysts to gather information regarding those operational processes and how the gathered information is used to support strategic and tactical decision-making in the business. This fundamental understanding of the business and analysis is then used by the learners to accurately interpret the detailed business requirements that drive design and implementation of supporting IT products and services. Extensive use is made of real world case studies from the local area, including guest lectures from local business analysts. Tools and software used in the course will be chosen according to current local industry standards. "
"5","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","DBAS 3075","Introduction to Statistical Learning","Introduction to Statistical Learning This course introduces learners to statistical learning, a set of tools for modelling and understanding complex datasets. It is a recently developed area in statistics and blends in with machine learning. The course presents the application of statistical learning using many methods such as the lasso and sparse regression, classification and regression trees, and boosting and support vector machines. The course concentrates more on the applications of the methods and less on the mathematical details. Labs implementing the statistical learning methods will use the popular statistical software package R. "
"6","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","DBAS 3090","Applied Data Analytics","Applied Data Analytics The purpose of this course is to introduce students to evidence-based decision-making in the world of data. Students will become big data literate and proficient in the data environments of social media tracking, web analytics, sales, customer and marketing information. Data analytic solutions explored will involve hands-on experience using current local industry standard tools. "
"7","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","DBAS 4075","Introduction to Business Intelligence","Introduction to Business Intelligence This course explains how to create, implement, and manage an enterprise BI solution. Topics covered include modelling, monitoring, and analytics capability. Learners build reports that foster informed business decisions. Solutions implement security and collaboration with communications utilities and mobile devices. Learners will cover preparation of reports using relational and dimensional data, and will use BI tools to perform statistical analysis. "
"8","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","INFT 3000","Capstone","Capstone Learners acquire hands-on experience on a group project applying much of the material learned throughout their program. Throughout this course, learners will apply their skills to prepare and deliver technical documentation and presentations using various media platforms. "
"9","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","INFT 4001","Special Topics II","Special Topics II This course introduces one or more technology or research topics for discussion and exploration. Topic selection may vary from year to year, driven by the outside influences such as industry input, new technology trends, or learner interests. "
"10","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","INFT 5500","Work Experience","Work Experience This course is either a campus-based or external applied learning experience which may consist of work experience, directed studies, industry projects or applied research. "
"11","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","ISEC 3050","Ethics and Law in Data Analytics","Ethics and Law in Data Analytics This course will explore what it means to use analytics ethically and how to think about its ethical implications. The approach is from the perspective of professionals who lead analytics-oriented teams or organizations, and whose success depends on the ability to recognize the ethical issues at stake and resolve these to the satisfaction of multiple stakeholders. This course provides an overview of current emerging Canadian legislation affecting information technology and management, with a focus on the intersection of these legal principles with business ethics. Learners will practice thinking through and processing legal problems consistent with ethical norms and analyze business risk, taking into consideration ethical issues, to arrive at business decisions. "
"12","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"13","Nova Scotia Community College (NSCC)","Business Intelligence Analytics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BZIA&pln=BZNTELADV","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
