"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Business - Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSHS&pln=BUSNHOSP","ACTG 1015","Basic Accounting for Managers","Basic Accounting for Managers This course introduces learners to the role that accounting plays in the managerial decision making process. Learners will have an opportunity to create financial statements and learn how business decisions are influenced from a financial perspective. "
"2","Nova Scotia Community College (NSCC)","Business - Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSHS&pln=BUSNHOSP","ACTG 2300","Operations Cost Control","Operations Cost Control In this course students will gain an understanding of financial statements relevant to operational cost control. Students will select and apply methods of cost control for a hospitality operation. "
"3","Nova Scotia Community College (NSCC)","Business - Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSHS&pln=BUSNHOSP","BSHM 2000","Event Planning and Operations","Event Planning and Operations In this course, students will create, design, and execute a hospitality event. Using a critical path and key performance indicators, students will evaluate the success of the event. "
"4","Nova Scotia Community College (NSCC)","Business - Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSHS&pln=BUSNHOSP","BSHM 2500","Rooms Division and Facilities Management","Rooms Division and Facilities Management In this course, students will explore the world of accommodations; from appropriate brand standards to methods of operation. Students will investigate various distribution channels and their impacts on the business – financial, operational, and key performance indicators. "
"5","Nova Scotia Community College (NSCC)","Business - Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSHS&pln=BUSNHOSP","BSHM 2800","Applied Food and Beverage Management","Applied Food and Beverage Management In this course, as a management team, students will plan and execute the daily operations of an actual food and beverage operation. This is an applied course consisting of live interactions between the operation and customer. Business results will be analyzed from the perspective of key performance indicators to improve subsequent operations. "
"6","Nova Scotia Community College (NSCC)","Business - Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSHS&pln=BUSNHOSP","BSHM 4000","Applied Hospitality Development","Applied Hospitality Development This project-based capstone course allows learners to apply their accumulated skills and knowledge to develop a business plan. Students will focus on applying skills in all functional management areas. "
"7","Nova Scotia Community College (NSCC)","Business - Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSHS&pln=BUSNHOSP","COMM 1205","Communications","Communications"
"8","Nova Scotia Community College (NSCC)","Business - Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSHS&pln=BUSNHOSP","COMM 2220","Applied Managerial Communications","Applied Managerial Communications This course focuses on the communication strategies necessary to manage internal and external communication systems within a tourism organization. Topics will include communication models, management communication styles and organizational approaches to successfully manage communication. "
"9","Nova Scotia Community College (NSCC)","Business - Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSHS&pln=BUSNHOSP","COMP 1105","Business Computer Technology","Business Computer Technology This course provides students with an introduction to acceptable practices and uses of the computer, including the role of social media in Business. It provides the foundation for using computers that will contribute to success in both the Business Administration program and future careers.This course is accepted toward certification with the Canadian Institute of Bookkeeping (CIB). "
"10","Nova Scotia Community College (NSCC)","Business - Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSHS&pln=BUSNHOSP","COMP 2000","Applied Social Media","Applied Social Media Students will explore current trends in the use of social media platforms in the workplace. They will develop the skills to assess and identify the suitability of social media platforms. This course will engage students in hands-on application of these platforms to communicate. Course content will emphasize the importance of ethical and respectful communication in building professional relationships and delivery of outstanding customer service. "
"11","Nova Scotia Community College (NSCC)","Business - Hospitality","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=BSHS&pln=BUSNHOSP","COMP 2110","Spreadsheets I","Spreadsheets I This course introduces the student to electronic spreadsheets including their design and creation. Formulae and functions will be used to perform calculations on the spreadsheet data providing business solutions. Students will apply formatting skills to enhance the appearance and clarity of printed spreadsheets as well as using graphs to represent spreadsheet data.This course is accepted toward certification with the Canadian Institute of Bookkeeping (CIB).This course cannot be used to fulfill an elective requirement for students in Office Administration. "
