"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","COMP 1040","Programming","Programming"
"2","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","COMP 1130","Programming for Cartography","Programming for Cartography"
"3","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","COMP 1131","Data Management","Data Management"
"4","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","CRTY 1001","Spatial Fundamentals","Spatial Fundamentals"
"5","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","CRTY 1002","Fundamentals of GIS","Fundamentals of GIS"
"6","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","CRTY 1003","Map Design Fundamentals","Map Design Fundamentals"
"7","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","CRTY 1012","GIS Workflows for Cartography","GIS Workflows for Cartography"
"8","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","CRTY 1013","Map Design and Geovisualization","Map Design and Geovisualization"
"9","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","CRTY 1023","Map Design Techniques","Map Design Techniques"
"10","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","CRTY 1030","Applied Thematic Project","Applied Thematic Project"
"11","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","CRTY 1033","Web Mapping","Web Mapping"
"12","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","CRTY 1035","Advanced Geovisualization","Advanced Geovisualization"
"13","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","CRTY 1043","Map Publishing","Map Publishing"
"14","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","CRTY 2000","Cartography Lab","Cartography Lab"
"15","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","ENTR 2020","Entrepreneurial Skills for Cartography","Entrepreneurial Skills for Cartography"
"16","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"17","Nova Scotia Community College (NSCC)","Cartography","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRTY&pln=CARTOGRY","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
