"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1001","Introduction to Psychology for Child and Youth Care Practice","Introduction to Psychology for Child and Youth Care Practice This survey course focuses on human behaviour and learning. Domains of inquiry will be examined to understand various theoretical perspectives, the process of research, and how these relate to learning and behaviour. "
"2","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1003","Child and Youth Care Practice Milieu I","Child and Youth Care Practice Milieu I This course is designed to provide a forum for experiential and theoretical learning on contemporary Child and Youth Care issues, as they affect the practice of Child and Youth Care. It may include various types of activities, presentations, seminars and field trips to enable exploration of Child and Youth Care in the Nova Scotia context.In this course learners will have the opportunity to explore the multitude of Child and Youth Care practice environments. "
"3","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1005","Writing Skills for Child and Youth Care Practitioners I","Writing Skills for Child and Youth Care Practitioners I Effective written communication skills are a necessary component for success in the Child and Youth Care environment where transparency, accountability and integrity are core values connected to providing service for children and youth. "
"4","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1008","Introduction to Child and Youth Care Professional Practice","Introduction to Child and Youth Care Professional Practice This course introduces the learner to the concept of self as one of the critical components of being a Child and Youth Care worker. The course allows the learner to examine and understand how their personal knowledge and skills are relevant, how the knowledge of self will be integrated into what the learner already knows, and how the skills for knowing and changing self will be evidenced in their relational Child and Youth Care practice. The service learning component of this course gives the learners an opportunity to experience various Child and Youth Care contexts while applying their learning in a practitioner context. This course is not eligible for supplemental exams or assignments. "
"5","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1012","Teamwork for Relational Child and Youth Care Practice","Teamwork for Relational Child and Youth Care Practice This course introduces learners to the importance of how our interpersonal relationships and communication practices can influence in a teamwork environment. Interpersonal communication concepts teamwork concepts will be introduced theoretically and opportunity for practice in a lab/classroom setting will be provided. "
"6","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1013","Child and Youth Care Practice Milieu II","Child and Youth Care Practice Milieu II This course is designed to provide a forum for experiential and theoretical learning on contemporary Child and Youth Care issues, as they affect the practice of Child and Youth Care. It may include various types of activities, presentations, seminars and field trips to enable exploration of Child and Youth Care in the Nova Scotia context.In this course learners will have the opportunity to explore the multitude of Child and Youth Care practice environments. "
"7","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1015","Writing Skills for Child and Youth Care Practitioners II","Writing Skills for Child and Youth Care Practitioners II This course provides learners with the opportunity to apply skills developed in Writing Skills for Child and Youth Care Practitioners I. Applications include preparing documents that serve as records in the Child and Youth Care field, collecting and clearly presenting information specific to the needs of an audience, and composing documents for employment that are accurate and appealing. In addition to standard written and electronic communication formats, the uses of Facebook, emailing, twittering, blogging and texting written communication are necessary components for Child and Youth Care practitioners. "
"8","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1018","Introduction to Today’s Society within Child and Youth Care Practice","Introduction to Today’s Society within Child and Youth Care Practice This course focuses on the major sociological concepts and theoretical perspectives relevant to Child and Youth Care practice. An examination of children and youth in contemporary society, young people are viewed within a sociological framework. The relationship of youth culture and society at large is explored. "
"9","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1019","Child and Youth Care Professional Development","Child and Youth Care Professional Development Presenting as a professional Child and Youth Care practitioner is demanding and often challenging in a multidisciplinary or interdisciplinary context. This course will offer learners the opportunity to explore elements of professional presentation including employability skills outlined by the Conference Board of Canada. This course will offer learners the opportunity to begin development of professional competencies as outlined by the Child and Youth Care Certification Board. Learners will also use the professional codes of ethics to develop strategies for problem solving dilemmas which can arise in their field. "
"10","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1020","Child and Youth Care Relational Communication II","Child and Youth Care Relational Communication II This course provides the framework for the relational application and practice of basic counselling skills within a Child and Youth Care context.This course is not eligible for supplemental exams or assignments. "
"11","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1050","Child and Youth Care Work Experience Orientation","Child and Youth Care Work Experience Orientation This introduction to a Child and Youth Care work environment through a placement opportunity. Learners will have the opportunity to shadow a Child and Youth Care practitioner through the routines of their day which may include shift work (24 hour availability / weekends). "
"12","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 1055","Child and Youth Care Workshop Seminar","Child and Youth Care Workshop Seminar This seminar course involves external certifications that are necessary for employment in the Child and Youth Care field. The delivery of these certifications will also serve as context for debriefing Work Experience Orientation. "
"13","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 2000","Child and Youth Care Methodology I","Child and Youth Care Methodology I This course is designed to develop the learner’s intellectual skills, specifically the scientific and critical rigor necessary for working with youth and/or families who are or were in care or who have been identified as at risk of being in care. The consequences of intervention and professional issues as they relate to children at risk or in care will also be examined. "
"14","Nova Scotia Community College (NSCC)","Child and Youth Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CYCP&pln=CHILDYOUTH","CYCP 2004","Group Facilitation for Child and Youth Care Practice","Group Facilitation for Child and Youth Care Practice This course will encourage the learner to reflect upon and integrate experiential learning from their field placements to date as a means of developing their own professional practice model. Learners will develop group work practices appropriate for Child and Youth Care practitioners functioning on a multidisciplinary team. "
