"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","GDEV 1005","Growth and Development","Growth and Development Upon completion the learner will acquire an understanding of the process of growth and development including physical, cognitive, psychosocial and developmental tasks across the lifespan. "
"2","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1000","Introduction to Recreation and Leisure","Introduction to Recreation and Leisure This introductory course will examine the historical and philosophical evolution of recreation, leisure and sport. The focus will be on leisure as an integral dimension influencing the quality of an individual’s life. Learners will investigate key sectors of the recreation field including unique, non-profit, private sector and public service delivery. This course will focus on the review of current goals and priorities for Canada and Nova Scotia and link them with delivery of recreation services. Learners will be introduced to the national and provincial organizations that provide support, research, and development of recreation in Canada. "
"3","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1010","Seminars for Healthy Communities I","Seminars for Healthy Communities I The Seminars for Healthy Communities I course is comprised of a series of certifications, workshops and seminars designed to assist the learner in developing a strong foundation as a professional in the recreation field. The workshops and certifications include:High Five – Principles of Healthy Child DevelopmentLeave No Trace – Trainer WorkshopRe-connecting with NatureProject WILD; Below ZEROOutdoor Council of Canada (OCC) – Field Leader (Hiking) workshopThe seminar component of the course is designed to assist the learner to explore the issues, supports, and professional roles in the recreation field.The seminars involve various agencies/professionals who are active in the recreation profession. These will allow learners to examine the broad spectrum of work opportunities available in the recreation industry.There are additional costs associated with the certifications. Some of the certifications may be required to be completed in a camp or outdoor setting. Due to the nature of assessment for certifications, it is required to be in attendance for all sessions. "
"4","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1012","Modelling Healthy Lifestyle","Modelling Healthy Lifestyle Learners will become familiar with the personal dimensions of wellness (physical, spiritual, environmental, mental, emotional and social dimensions)"
"5","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1013","Recreation Programming","Recreation Programming Programming is a fundamental skill set that entry level recreation professionals require for special events, tournaments and programs. This course will introduce the principles of programming to the learner and take him or her through an examination of the major aspects of programming as a primary function of a modern recreation professional. Specifically, the course will examine the role of recreation programs in the delivery of recreation services; what people seek from recreation programs and special events; the role of the programmer in a recreation agency; the program participant as a customer and customer behaviour, needs assessment, program and special event development, program streams, program and special event marketing, budgeting and pricing, direct and indirect delivery, evaluation, and future trends. Learners will also explore the theory of tournament organization and scheduling. "
"6","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1014","Professional Practice I","Professional Practice I This course introduces the learner to the concept of professional conduct that is required in the workplace. Learners will focus on the interpersonal skills required in maintaining healthy working relationships. "
"7","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1016","Outdoor Recreation","Outdoor Recreation Outdoor Recreation is a study of leisure as a vehicle for personal growth, social development, adventure and challenge. This course will build an awareness of the Outdoor Recreation industry/field. This course will provide the opportunity for learners to engage in experiential education experiences via field trips. "
"8","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1020","Seminars for Healthy Communities II","Seminars for Healthy Communities II The Seminars for Healthy Communities II course is a continuation of certifications, workshops and seminars designed to assist the learner in developing a strong foundation as a professional in the recreation field. The workshops and certifications include:National Coaching Certification Program – Fundamental Movement SkillsHigh Five – SportAdaptive ActivitiesHigh Five – QuestIn this course the learner will build on their knowledge of the agencies and opportunities in the recreation field gained in the Seminars for Healthy Communities I course. The learner working in small groups will facilitate a class exploration of specific agencies including roles and responsibilities. The learner will identify opportunities for work experience.There are additional costs associated with the certifications. Some of the certifications may be required to be completed in a camp or outdoor setting. Due to the nature of assessment for certifications, it is required to be in attendance for all sessions. "
"9","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1022","Building Healthy Communities","Building Healthy Communities This course will build on the learning outcomes delivered in the Modeling Healthy Lifestyle course. Learners will have an opportunity to expand their understanding from the personal focus of health and wellness to the broader concept of community health. Learners in this course will become familiar with the Determinants of Health. Learners will explore the combined influence of the determinants of health and how they impact participation in recreation and leisure services. Learners will study government response to the physical inactivity and obesity epidemic facing our communities. "
"10","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1023","Applied Recreation Programming","Applied Recreation Programming This course provides the opportunity for the learner to apply the principles of recreation programming. This course in programming will concentrate on leadership concepts and practices, group facilitation and practical experience in programming. Learners will participate in groups to plan, implement and evaluate a recreation program and special event/tournament. "
"11","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1024","Professional Communication I","Professional Communication I This course further investigates professional conduct that is required in the workplace. Learners will focus on communication skills, written and oral. "
"12","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1027","Community Development for Recreation","Community Development for Recreation Recreation professionals promote growth in healthy communities using a community development model. The course will investigate advocacy and knowledge exchange as a key part of community development. Learners will explore networking and collaboration. The purpose of this course is to explore the dynamics of community change as well as practical approaches for taking action to facilitate community change. The course focuses on the role of recreation as a service and the role of the recreationist as change agent and advocate. "
"13","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1028","Risk Management","Risk Management The majority of this course will deal with risk management in leisure, sport, ecotourism and outdoor recreation settings. This course will review the processes and steps required to manage risk, both physical and legal. Methods will include lecture, case studies, Socratic method, and class discussion of actual cases. "
"14","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1029","Foundations of Exercise","Foundations of Exercise This introductory course provides a theoretical foundation for those looking for a career in the fitness field. The wellbeing of communities, individuals and the environment is a major focus for the leisure industry; therefore, it is important for recreation professionals to have a broad understanding of the fitness field. "
"15","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 1050","Work Experience I","Work Experience I Work experience provides the learners with the opportunity to develop a better understanding of their career choice while they learn more about the conditions they will encounter as employees. "
"16","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 2010","Seminars for Healthy Communities III","Seminars for Healthy Communities III The Seminars for Healthy Communities III course is a continuation of certifications, workshops and seminars designed to assist the learner in developing a strong foundation as a professional in the recreation field. The workshops and certifications include:Active TransportationSport ExplorationMental Health AwarenessHigh-Five"
"17","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 2012","Sport Philosophy and Ethical Issues","Sport Philosophy and Ethical Issues This course focuses on acceptable ethics and codes of conduct related to the role of the recreation professional. Learners will have the opportunity to investigate ethical issues as well as develop strategies to deal with moral dilemmas. The course also looks at the role of sport and its influence on ethical decision making. Learners will be challenged to reflect on their personal and professionally held values systems as they apply to ethics and ethical decision-making in recreation and the issues of personal well-being, physical and mental training, and emotional experience in sport.The learner will be challenged to question the nature of competition, the importance of winning, and issues involving social bias and oppression, political ideals, and globalization in sport. The course provides opportunities to debate ethical issues such as those concerning doping, cheating, body image, self-harm, and harm to others in competition, training and exercise, the relationship of leisure to work (work-life balance), the politics of gender in recreation and sport, the impact of wealth on the ability to experience leisure and stay healthy and fit, and the basic values inherent in both elite sport participation and grass roots recreation, violence and corruption in sport, racism in leisure, LGBTQI in sport and recreation, as well as others. "
"18","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 2014","Professional Communication II","Professional Communication II This course further investigates professional conduct that is required in the workplace and its relation to social media usage as well as research. Learners will be introduced to desktop publishing, and database management. They will be exposed to tools used to design and create brochures, newsletters and other publications. Learners will identify the keys points to evaluate an effective web site. The course will also provide an introduction to data management. "
"19","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 2017","Recreation Facilities","Recreation Facilities This course will provide an overview of recreation facility development and operation. Specifically, the course will focus on types of facilities as well as a basic development process, design, operation, maintenance and marketing of these facilities. Specific issues that face recreation facility operators will also be examined including access for those with disabilities, life cycle planning, facility users – facility staff interactions and fiscal management. The course will examine some of the basic physical operational aspects of common recreation facilities. Learners will investigate the importance of maintaining the wellbeing of both natural and built environments. "
"20","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 2018","Recreation Management","Recreation Management This course will provide an overview of recreation management by outlining what generic management is and what its components are and then extrapolating to recreation agency management and administration. Basic introductory management theory will be covered including the four traditional elements of management: planning, organizing, leading and controlling. Traits of successful managers, managerial styles, management skills, organizational culture, relationships of managers to organizational effectiveness and efficiency are all topics included in this course. The course will also explore volunteer management and how it is similar to, but also different from, the management of paid staff. "
"21","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 2019","Exercise for Healthy Communities","Exercise for Healthy Communities The purpose of this course is to introduce the learner to three components of the National Fitness Leadership Alliance training. The learner will focus on group exercise, older adult exercise, and resistance training. "
"22","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 2020","Seminars for Healthy Communities IV","Seminars for Healthy Communities IV The Seminars for Healthy Communities IV course is a continuation of certifications, workshops and seminars designed to assist the learner in developing a strong foundation as a professional in the recreation field. The workshops and certifications include:Nova Scotia Food HygieneSport Exploration 2Athletics Canada"
"23","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 2023","Applied Recreation Planning","Applied Recreation Planning This course will provide the opportunity for the learner to enhance their understanding of the steps required to create a strategic plan for municipal community recreation services. This course in recreation planning, will offer learning opportunities that support community strategic plan development from various strategic focus areas such as: physical activity, active transportation, bikeway planning, trail signage, or facility master plan. Learners will observe, critique and support various phases of community recreation strategic plan development. "
"24","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 2024","Professional Practice II","Professional Practice II This course further investigates professional conduct that is required in the workplace. This course focuses on job readiness for the profession. Learners will conduct meetings, set agendas and record minutes, conduct interviews, complete a resume and portfolio. "
"25","Nova Scotia Community College (NSCC)","Community Recreation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=COMR&pln=COMMNREC","RECH 2028","Recreation Marketing","Recreation Marketing This course will introduce and provide an overview of Marketing as a business discipline with emphasis on the marketing of recreation agencies, their products and services. Marketing theory will be the basis for this course. The evolution of marketing, the marketing mix, the importance of marketing in a competitive world, the importance of having a customer focus in marketing, market segmentation and target marketing are all topics covered in this course. Marketing for not-for-profit recreation agencies will also be examined. "
