"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Construction Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CMTG&pln=CONSTMGTD","CADD 1010","Computer Aided Drafting I","Computer Aided Drafting I In this introduction to computer-aided drafting, students gain knowledge in the use of principles of computer-aided drafting software. The primary emphasis is the application of AutoCAD, an industry-standard computer-aided drafting program. Specific hardware used in the computer-aided drafting environment is introduced and utilized. "
"2","Nova Scotia Community College (NSCC)","Construction Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CMTG&pln=CONSTMGTD","CMTG 1021","Construction Materials I","Construction Materials I This course is designed to introduce the learner to the art of building and renovating. The course will examine the use of a variety of building materials and how they are used in conjunction with one another to perform as a complete building system. Several complete building systems will be discussed to cover such information as their historical development, a review of how the material is obtained and processed, an outline of the people and organizations that work with the material, a description of the tools and working methods, and a discussion of the role of various systems in relation to alternative systems. Learners will also be introduced to a variety of construction equipment used in the industry. The focus of this semester is on wood, light frame wood construction techniques, the exterior and interior finishes for wood light frame construction, masonry, and steel frame construction. "
"3","Nova Scotia Community College (NSCC)","Construction Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CMTG&pln=CONSTMGTD","CMTG 1022","Construction Practices","Construction Practices This course will introduce the learner to the basics of concrete technology including materials, tools and working methods, discuss the construction industry and introduce the concepts of construction project management and scheduling. Municipal zoning bylaws will also be examined. "
"4","Nova Scotia Community College (NSCC)","Construction Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CMTG&pln=CONSTMGTD","CMTG 1023","Construction Materials II","Construction Materials II This course is designed to introduce the learner to the art of building and renovating. The course will examine the use of a variety of building materials and how they are used in conjunction with one another to perform as a complete building system. Several complete building systems will be discussed to cover such information as their historical development, a review of how the material is obtained and processed, an outline of the people and organizations that work with the material, a description of the tools and working methods, and a discussion of the role of various systems in relation to alternative systems. Learners will also be introduced to a variety of construction equipment used in the industry. The focus of this course is on concrete construction, including sitecast and precast concrete framing systems, roofing, glass and glazing, cladding, and selection of interior finishes including walls, partitions, ceilings and floors. "
"5","Nova Scotia Community College (NSCC)","Construction Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CMTG&pln=CONSTMGTD","CMTG 1024","Construction Estimating I","Construction Estimating I This course is designed to introduce the learner to the accepted industry methods of reading, interpreting, and calculating material quantities from drawings and specifications, developing unit pricing and using these to estimate the cost of construction. Learners will start out with small trade estimates and as they progress, will perform complete cost estimates for construction projects. This course will include concrete work, and site work including excavation, backfilling, disposal of surplus excavated materials, and other miscellaneous site work. Learners will be exposed to both Imperial and Metric methods of measurement and will develop the skills necessary to convert units from one system to the other for pricing purposes. Included in the course are periods of supervised estimating lab time. "
"6","Nova Scotia Community College (NSCC)","Construction Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CMTG&pln=CONSTMGTD","CMTG 1025","Contracts and Regulations I","Contracts and Regulations I This course is designed to introduce the learner to standard construction contracting procedures and to the national, provincial and municipal regulations that affect the construction industry. The focus of this course is the law of contracts, a detailed study of the CCDC 2 (1994) Stipulated Price Contract, the significance of drawings and specifications and standard specifications, the standard CCA subcontract document, bid depositories, construction security and bonding, letters of intent, the Builders Lien Act, Statutory Declarations, letter of intent and an introduction to the requirements for a safe worksite. "
"7","Nova Scotia Community College (NSCC)","Construction Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CMTG&pln=CONSTMGTD","CMTG 3022","Construction Estimating II","Construction Estimating II This course provides the learner with the skills necessary to read drawings, interpret and calculate material quantities and estimate the cost of construction using accepted industry methods. The focus of this course will be large detailed estimating projects covering concrete, formwork, excavation and backfill, as well as estimates in wood frame and masonry construction. Included in the course are periods of supervised estimating lab time. "
"8","Nova Scotia Community College (NSCC)","Construction Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CMTG&pln=CONSTMGTD","CMTG 3023","Construction Technology I","Construction Technology I This courses focuses on construction details and requirements for all stages of construction projects. This course will cover rules and regulations relating the design and construction of buildings and other structures, and will include a detailed study of the National Building Code. Environmental regulations and issues will also be examined. "
"9","Nova Scotia Community College (NSCC)","Construction Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CMTG&pln=CONSTMGTD","CMTG 3024","Construction Management I","Construction Management I This course is designed to introduce the learner to construction management duties as they relate to Site Supervision and Site Safety. This course focuses on the functions of management, duties and responsibilities of a superintendent and field engineer, ethical behaviour, record keeping and document control, conducting job site meetings, project quality control, material handling and effective project delivery. "
"10","Nova Scotia Community College (NSCC)","Construction Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CMTG&pln=CONSTMGTD","CMTG 3025","Construction Estimating III","Construction Estimating III This course is designed to introduce the learner to the accepted industry methods of reading, interpreting and calculating material quantities from drawings and specifications, developing unit pricing and using these to estimate the cost of construction. Learners will start out with small trade estimates and as they progress, will perform complete cost estimates for construction projects. The focus of this semester is on masonry, structural steel, drywall, built-up roofing and miscellaneous architectural trades as well as a unit price estimate for a highway underpass. Learners will be exposed to both Imperial and Metric methods of measurement and will develop the skills necessary to convert units from one system to the other for pricing purposes. Included in the course are periods of supervised estimating lab time. "
"11","Nova Scotia Community College (NSCC)","Construction Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CMTG&pln=CONSTMGTD","CMTG 3026","Construction Technology II","Construction Technology II The course will cover aspects of municipal topics such as aggregates, soils and asphalts as building materials. Testing methods and procedures will be covered. "
