"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Continuing Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HHCR&pln=CONTCARE","CONC 1002","Body Mechanics and Activity","Body Mechanics and Activity This course will provide the learner with a basic knowledge of the principles of body mechanics as well as the positioning, transferring and mobility of individuals. This knowledge will be applied during the performance of all personal care and care setting management activities in the classroom, lab and clinical settings. Learners will demonstrate professional conduct competencies at all times in the lab setting. "
"2","Nova Scotia Community College (NSCC)","Continuing Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HHCR&pln=CONTCARE","CONC 1003","Personal Care","Personal Care In this course the learners will attain principles pertaining to personal care. The learners learn, practice and demonstrate the practical skills necessary to safely and effectively provide personal care to the individual. Learners will demonstrate professional conduct competencies at all times in the lab setting. "
"3","Nova Scotia Community College (NSCC)","Continuing Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HHCR&pln=CONTCARE","CONC 1004","Care Setting Management","Care Setting Management This course prepares the CCA to perform care setting management tasks across a variety of care settings. Learners will develop skills to ensure the safety and security of the person as well as be prepared to organize and complete care setting management tasks according to the scope of employment. They will also learn how to set priorities and develop time management skills. "
"4","Nova Scotia Community College (NSCC)","Continuing Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HHCR&pln=CONTCARE","CONC 1005","Nutrition and Meal Preparation","Nutrition and Meal Preparation This course introduces the learner to the principles of nutrition with a focus on meeting the individual dietary needs of persons of all ages. It prepares the CCA to plan meals, including developing grocery lists, preparing and serving meals specific to individual needs. "
"5","Nova Scotia Community College (NSCC)","Continuing Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HHCR&pln=CONTCARE","CONC 1011","Personal and Professional Development","Personal and Professional Development This course prepares the learner to become a contributing member of the health care team. The CCA must demonstrate professional behaviour which reflects an understanding of personal values and beliefs, as well as ethical and legal implications of care. Knowledge and understanding of the roles of various members of the health care team enables the CCA to develop both personally and professionally. The learner will also explore how lifestyle choices and personal health practices contribute to the personal and professional development of the CCA. "
"6","Nova Scotia Community College (NSCC)","Continuing Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HHCR&pln=CONTCARE","CONC 1012","Communications for the Continuing Care Assistant","Communications for the Continuing Care Assistant This course provides the learner with an introduction to basic communication skills required by workplaces within the continuing care sector. The learner is introduced to concepts in interpersonal communication, written communication and documentation, and basic computer applications used in today’s workplace. The learner will also explore effective job search techniques. "
"7","Nova Scotia Community College (NSCC)","Continuing Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HHCR&pln=CONTCARE","CONC 1013","Professional Practice for Continuing Care","Professional Practice for Continuing Care This course further investigates professional conduct that is required in the workplace while demonstrating effective communication and conflict management strategies. Learners also explore strategies for building resilience while working in the health sector. Learners will also apply effective job search techniques. "
"8","Nova Scotia Community College (NSCC)","Continuing Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HHCR&pln=CONTCARE","CONC 1016","Body Structures and Functions and Related Health Issues","Body Structures and Functions and Related Health Issues This course will enable the learner to acquire a basic knowledge of the body’s normal structure and function. It provides an introduction to common health issues of each body system and the implications for care. "
"9","Nova Scotia Community College (NSCC)","Continuing Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HHCR&pln=CONTCARE","CONC 1019","Learning Essential Approaches to Palliative Care","Learning Essential Approaches to Palliative Care The course is designed to prepare individuals to support persons who are in the final stages of the life cycle. Emphasis will be placed on the care and support of the person and family during the grieving and dying stage, including carerequired in the after death period. The outcomes of this course will be met through the delivery of the Learning Essential Approaches to Palliative care course developed by Pallium Canada. The student must attend all sessions of the course to meet the requirements. "
"10","Nova Scotia Community College (NSCC)","Continuing Care","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HHCR&pln=CONTCARE","CONC 1033","Skills and Medications","Skills and Medications Learners will be introduced to basic pharmacological concepts specific to their role as a CCA. They will develop an awareness of common medications used across care settings and will receive specific education in the application of some medicated creams, ointments and drops. As well, they will continue to develop skills related to the role of a CCA. "
