"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","BIOL 1025","Biology for Viticulture","Biology for Viticulture Students will examine fundamental plant functions and processes, anatomy, morphology and physiology of grape vines and will begin to develop their Botanical vocabulary. Hands on activities in the greenhouse will be incorporated in the course including dissection and propagation of plants. "
"2","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","BUSI 1090","Introduction to the Wine Industry in Nova Scotia","Introduction to the Wine Industry in Nova Scotia This course provides an introduction to one of the province’s fastest growing industries: the Nova Scotia wine industry. Students engage in both classroom and offsite visits to Nova Scotia wineries to better understand how they operate as businesses in both the wine and tourism industries. Students develop an understanding of the soil and climates that create the distinctive premium-quality grapes in the region. They will also begin to appreciate, identify and distinguish the grape varietals and the award winning wines that are crafted here in the province. Nova Scotia wine organizations, wine tour operators and the wineries themselves are examined in addition to the legislation that governs the provincial wine industry. "
"3","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"4","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","COMM 1228","Communications II","Communications II This course further develops essential communications skills with a focus on basic writing. This course provides the student with the opportunity to develop written work typical of the industry related to their program of study. "
"5","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","HLAN 3006","Integrated Pest Management","Integrated Pest Management This course introduces the concepts and control methods for a holistic approach to Integrated Pest Management, learning to identify and solve plant health problems. Learners will be introduced to pests and their impacts on the economic and aesthetic value of horticultural and landscape plants. "
"6","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","MKTG 1150","Wine Marketing and Sales","Wine Marketing and Sales Learners will be introduced to concepts of sales and marketing and their application in the wine industry. Wineshop and direct sales strategies will be investigated. Learners will develop marketing plans directed towards wines made at the Teaching Winery. "
"7","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"8","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
"9","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","SAFE 1020","Introduction to Confined Space","Introduction to Confined Space The learner is introduced to the basic requirements and procedures involved with confined spaces. The definition and associated hazards of confined space are discussed as well as methods of confined space rescue. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"10","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","SAFE 1022","Introduction to Fall Arrest and Protection","Introduction to Fall Arrest and Protection The learner is introduced to fall protection, fall prevention and fall arrest concepts and responsibilities at the workplace. Guardrails, travel restraints, roof work, fall arrest components will be discussed and the learner will be given the opportunity to demonstrate the use of selected equipment. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"11","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","VITI 1005","Planning and Establishing the Vineyard","Planning and Establishing the Vineyard This course introduces learners to essential concepts of planning and setting up a vineyard in Atlantic Canada. Students will also begin to develop essential skills in early vineyard preparation, such as site preparation, planting, trellis installation and maintenance, and basic pruning techniques. The course delivery will include a site design and evaluation project and observation of the characteristics of local vineyards, including the College’s teaching vineyard. Discussion and research will develop an appreciation of organic versus conventional approaches. Skills will be developed through hands-on practice in early season vineyard maintenance tasks and pruning methods. "
"12","Nova Scotia Community College (NSCC)","Cool Climate Wine and Viticulture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=WINE&pln=VITICULTUR","VITI 1105","Canopy & Vineyard Health Management","Canopy & Vineyard Health Management This course introduces canopy management, pest and disease control and vineyard nutrition. With intentional consideration to the growing season in Atlantic Canada, learners will perform vineyard tasks in a precise and timely manner to ensure production of premium quality grapes. Knowledge and skill development will involve a combination of theoretical and practical lessons focused on early- to mid-season vineyard maintenance and operation. Students will be prepared to critically assess and implement conventional and organic practices. "
