"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Criminal Justice","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRIM&pln=CRIMJUSTIC","CRIM 1000","Introduction to Criminal Behaviour","Introduction to Criminal Behaviour This course is designed to allow the learner to explore the various factors that contribute the development of criminal behaviour. Content will include theoretical approaches, psycho-social factors associated with criminal behaviour and dynamic risk factors. "
"2","Nova Scotia Community College (NSCC)","Criminal Justice","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRIM&pln=CRIMJUSTIC","CRIM 1002","Interpersonal Communications for Justice Workers","Interpersonal Communications for Justice Workers This course is designed to introduce the learner to interpersonal skills. Areas to be covered include verbal and nonverbal communication, and active listening. "
"3","Nova Scotia Community College (NSCC)","Criminal Justice","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRIM&pln=CRIMJUSTIC","CRIM 1006","Tactics for Justice Workers I","Tactics for Justice Workers I This course through simulated experiences provides an opportunity for learners to experience situations with individuals who are displaying behaviours that are viewed by justice workers as being inappropriate. "
"4","Nova Scotia Community College (NSCC)","Criminal Justice","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRIM&pln=CRIMJUSTIC","CRIM 1009","Canadian Criminal Justice","Canadian Criminal Justice The subject matter addressed includes the justice system’s response from commission of offence through to final disposition, court structures, policing, and the organization of federal and provincial correctional organizations. Also included are historical and background perspectives, issues, trends, and patterns in policing, the courts and in corrections. "
"5","Nova Scotia Community College (NSCC)","Criminal Justice","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRIM&pln=CRIMJUSTIC","CRIM 1010","Diverse Populations","Diverse Populations This course is designed to allow the learner to acquire the necessary knowledge to address the needs of the diverse client profiles that the Justice System serves. "
"6","Nova Scotia Community College (NSCC)","Criminal Justice","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRIM&pln=CRIMJUSTIC","CRIM 1011","Introduction to Forensic Mental Health Issues","Introduction to Forensic Mental Health Issues The course provides learners the opportunity to broaden their level of knowledge and understanding of mental health issues and the impact of mental health issues on the justice system. This course will build on the understanding of the complexities, challenges and intervention strategies for working with justice clients in a variety of justice settings including policing, corrections and the courts. "
"7","Nova Scotia Community College (NSCC)","Criminal Justice","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRIM&pln=CRIMJUSTIC","CRIM 1012","Information Seeking Interviews for Criminal Justice","Information Seeking Interviews for Criminal Justice This practice course incorporates two major components. The learner will develop an effective information seeking process that is congruent with contemporary justice practices. The learner will also explore the differences between a retribution and rehabilitation framework during the information seeking component of an interview / intervention. "
"8","Nova Scotia Community College (NSCC)","Criminal Justice","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRIM&pln=CRIMJUSTIC","CRIM 1014","Healthy Lifestyles for Practice","Healthy Lifestyles for Practice The purpose of this course is to give the learner an opportunity to design and implement a fitness plan that supports working within justice occupations. Experientially, learners will examine the interconnections between attitude, rest, leisure, diet and exercise while designing a stress resiliency plan appropriate for the field of justice. "
"9","Nova Scotia Community College (NSCC)","Criminal Justice","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRIM&pln=CRIMJUSTIC","CRIM 1016","Tactics for Justice Workers II","Tactics for Justice Workers II This course challenges learners to broaden their knowledge and application of defence and control skills by displaying collaborative and teamwork approaches within Federal and Provincial legislation and standards. "
"10","Nova Scotia Community College (NSCC)","Criminal Justice","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=CRIM&pln=CRIMJUSTIC","CRIM 1019","Law for Criminal Justice","Law for Criminal Justice This course will introduce learners to a critical examination of criminal justice practices within the context of relevant law and legislation. Emphasis is placed on the changing workplace and the demands these changes place on new employees. "
