"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 1600","Dental Sciences","Dental Sciences This course includes an overview of general anatomy and physiology. The learner will be introduced to oral embryology and histology, head and neck anatomy including landmarks of the face and oral cavity, and oral pathology. "
"2","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 1603","Foundations of Clinical Practice","Foundations of Clinical Practice This course will introduce the learner to the foundations of clinical practice. Areas of study include the fundamentals of professional practice, medical emergencies, vital signs, microbiology, infection control, sterilization, pharmacology and drug administration including topical and local anesthetic. The course will also provide an introduction to the categorization of dental instruments for general restorative procedures. "
"3","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 1610","Dental Radiology","Dental Radiology This course is designed to provide the learner with the information required to perform dental radiograph procedures. Emphasis is placed on the safe use of radiology equipment and the application of theory. "
"4","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 1611","Preventive Dentistry I","Preventive Dentistry I In this course, the learner will obtain theoretical knowledge focusing on prevention of oral health diseases, including dental caries and periodontal disease. The foundation of plaque index recording, the caries process, individualized oral hygiene instruction (OHI), application of topical fluoride and desensitizing agents will also be discussed. General knowledge of nutrition is included as it pertains to dental health. "
"5","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 1612","Dental Specialties I","Dental Specialties I This course is an overview of the dental specialty areas of orthodontics, pedodontics, dentistry, cosmetic, and forensic dentistry. Study of the materials, instruments and equipment associated with specialized procedures performed in a general dental practice are emphasized. "
"6","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 1615","Dental Computer Applications","Dental Computer Applications This course is an introduction to the use of dental software for practice management. Dental patient scheduling, use of dental fee guide, dental insurance claim processing (including manual applications) and financial arrangement will be simulated using a dental software program. "
"7","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 1616","Dental Business Communication","Dental Business Communication This course provides the learner with an overview of the communication and administrative skills required in a dental practice. Learners will apply interpersonal and written communication skills. They will learn systems for the organization of dental records and inventory management. "
"8","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 1617","Dental Records","Dental Records This course provides the learner with knowledge regarding tooth morphology, the importance of dental records and the sections of the dental chart. The learner will receive instruction in accurate recording of patient assessment information with the geometrical, anatomical and periodontal charts that are utilized in a dental clinic. "
"9","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 1620","Clinical Rotation (1-Week In-House Clinic)","Clinical Rotation (1-Week In-House Clinic) Learners will be required to participate in a one-week preventive patient clinic. This course allows the learner an opportunity to contribute to a service learning experience, consistent with NSCC’s values. Semesters I and II theory and hands-on skills are integrated in this clinic. "
"10","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 1623","Restorative Procedures","Restorative Procedures This course will provide the learner with the theoretical information necessary to assist with dental restorative procedures. Studies will cover general properties of restorative dental materials, their composition and uses and the knowledge to properly prepare and manipulate these materials used in a dental practice. "
"11","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 1630","Dental Assisting Skills I","Dental Assisting Skills I The course will focus on chairside and laboratory procedures that require the anticipation of the operator’s needs, the ability to deliver instruments and materials with maximum efficiency and safety, as well as laboratory procedures that are the responsibility of the dental assistant. A professional team concept will be emphasized and expected from the learner. Learners will be required to participate in a one day observation experience in a general dental practice. "
"12","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 2603","Chairside Procedures","Chairside Procedures This course will cover the ergonomics of the dental team, instrumentation, and recognition of special needs patients. The fundamentals of safe work procedures will be introduced. The theory for application and removal of isolation techniques, including dental dam, dental laboratory materials, impressions and techniques will be covered. The course will also cover identification and basic function of dental equipment. "
"13","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 2611","Preventive Dentistry II","Preventive Dentistry II This course provides the learner with the knowledge to perform coronal polishing, pit and fissure sealants, care of dental prostheses and specialty dental restorations. The learner will design and deliver a dental survey and an individualized preventive program, demonstrating the role of the dental health educator in providing community dental health education. "
"14","Nova Scotia Community College (NSCC)","Dental Assisting - Level II","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DASG&pln=DENTALASII","DENT 2612","Dental Specialties II","Dental Specialties II This course is an introduction to the dental specialty areas of fixed and removable prosthodontics, periodontics, endodontics, oral and maxillofacial surgery, including dental implants. Study of the materials, instruments and equipment associated with the procedures performed in a general dental practice are emphasized. "
