"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Diesel Repair - Industrial and Marine","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DRIM&pln=DIREPINMAR","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"2","Nova Scotia Community College (NSCC)","Diesel Repair - Industrial and Marine","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DRIM&pln=DIREPINMAR","COMM 1228","Communications II","Communications II This course further develops essential communications skills with a focus on basic writing. This course provides the student with the opportunity to develop written work typical of the industry related to their program of study. "
"3","Nova Scotia Community College (NSCC)","Diesel Repair - Industrial and Marine","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DRIM&pln=DIREPINMAR","DRIM 1002","Fuel Injection","Fuel Injection"
"4","Nova Scotia Community College (NSCC)","Diesel Repair - Industrial and Marine","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DRIM&pln=DIREPINMAR","DRIM 1003","Lubricating Systems","Lubricating Systems Learners will explain the operation and overhaul components of a diesel engine lubricating system. "
"5","Nova Scotia Community College (NSCC)","Diesel Repair - Industrial and Marine","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DRIM&pln=DIREPINMAR","DRIM 1004","Cooling Systems","Cooling Systems Learners will explain and service cooling system components on both industrial and marine diesels. "
"6","Nova Scotia Community College (NSCC)","Diesel Repair - Industrial and Marine","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DRIM&pln=DIREPINMAR","DRIM 1005","Electrical Systems","Electrical Systems This course introduces the functions of industrial and marine diesel electrical systems. The learners are given the opportunity to inspect, adjust, service and troubleshoot electrical systems. "
"7","Nova Scotia Community College (NSCC)","Diesel Repair - Industrial and Marine","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DRIM&pln=DIREPINMAR","DRIM 1007","Drives","Drives"
"8","Nova Scotia Community College (NSCC)","Diesel Repair - Industrial and Marine","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DRIM&pln=DIREPINMAR","DRIM 1011","Safety, Tools and Equipment","Safety, Tools and Equipment This course introduces basic workplace safety and the safe use of shops, their tools and equipment, relating to industrial and marine industries. Learners will be expected to demonstrate shop safety practices, use of protective equipment, use and maintenance of tools and fastening devices. Learners will also demonstrate the use of shop equipment. Course material addresses requirements of the Workplace Hazardous Material Information System (WHMIS) and Occupational Health and Safety (OHSA) related to the heavy equipment industry. "
"9","Nova Scotia Community College (NSCC)","Diesel Repair - Industrial and Marine","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DRIM&pln=DIREPINMAR","DRIM 1012","Diesel Fundamentals I","Diesel Fundamentals I Learners will be able to overhaul several different makes of diesel engines using service manuals, proper tools and proper procedures. "
"10","Nova Scotia Community College (NSCC)","Diesel Repair - Industrial and Marine","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DRIM&pln=DIREPINMAR","DRIM 1040","Hydraulics & Pneumatics","Hydraulics & Pneumatics Learners will explain the function of both hydraulic and pneumatic systems. The course will allow learners to apply their knowledge to the servicing of hydraulic and pneumatic systems and their components. "
