"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Digital Animation - 3D Animation Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DATD&pln=DA-3D","DATD 1002","Sculpture","Sculpture Learners will experience and create 3D forms with their hands through the process of building models with a variety of materials. "
"2","Nova Scotia Community College (NSCC)","Digital Animation - 3D Animation Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DATD&pln=DA-3D","DATD 1015","Digital Painting I","Digital Painting I This course introduces learners to painting with digital software. A variety of tools and painting techniques will be covered, as well as some art aesthetics and design principles. Learners will discuss the merits of their paintings and how they can be improved. "
"3","Nova Scotia Community College (NSCC)","Digital Animation - 3D Animation Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DATD&pln=DA-3D","DATD 1500","Animation Production I","Animation Production I In this course learners will work on an animation production. The importance of setting realistic goals, creating a schedule and following it to meet deadlines will be emphasized. Strong communication skills are crucial to keep all stakeholders informed and to avoid costly mistakes. "
"4","Nova Scotia Community College (NSCC)","Digital Animation - 3D Animation Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DATD&pln=DA-3D","DATD 2000","Life Drawing II","Life Drawing II A hands on in studio and on location life drawing course which expands the learners’ fundamental drawing skills developed in Life Drawing I, which are the foundation required to pursue a career as a 2D or 3D Animator. By working as a team to critique, mount and exhibit their work in a public exhibition space learners will develop their team and interpersonal skills, while presenting and speaking about their work in a professional manner. "
"5","Nova Scotia Community College (NSCC)","Digital Animation - 3D Animation Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DATD&pln=DA-3D","DATD 2005","Character Design","Character Design This course covers how to design characters. Learners will improve their drawings skills, constructing characters in a structural manner. There will be discussion of the animation principle of appeal, and what makes a character design appropriate for a particular story. "
"6","Nova Scotia Community College (NSCC)","Digital Animation - 3D Animation Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DATD&pln=DA-3D","DATD 2010","Structural Drawing","Structural Drawing"
"7","Nova Scotia Community College (NSCC)","Digital Animation - 3D Animation Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DATD&pln=DA-3D","DATD 2015","Digital Painting II","Digital Painting II This course expands on the knowledge gained from Perspective Drawing and Structural Drawing and Anatomy I. This course will emphasize the use of the computer as a tool for illustration. This course focuses on using the computer and specific software to further develop their traditional illustration skills. Learners will examine and continue to develop their skill at applying proportions, dynamic composition, lighting and shading in their artwork. "
"8","Nova Scotia Community College (NSCC)","Digital Animation - 3D Animation Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DATD&pln=DA-3D","DATD 2030","Animation and Modelling","Animation and Modelling The course will introduce learners to different areas of concentration within the 3D animation field. Through a project learners will learn the process involved with transferring a character concept into a finished 3D model ready for rigging. Learners will also be presented with character set-ups which will allow learners to learn animation solutions to a pre-approved scenario. "
"9","Nova Scotia Community College (NSCC)","Digital Animation - 3D Animation Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DATD&pln=DA-3D","DATD 2500","Professional Portfolio Project","Professional Portfolio Project In this course, learners will participate in intensive portfolio development and animation industry readiness workshops, seminars, in class projects and training. Learners will engage with faculty and industry for mentorship and feedback on the development of their career focused portfolio. Learners will engage is a series of workshops on topics related to industry preparedness. "
"10","Nova Scotia Community College (NSCC)","Digital Animation - 3D Animation Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DATD&pln=DA-3D","DATD 3000","Life Drawing III","Life Drawing III An in studio and on location course designed to expand and focus the freehand drawing, design and visualization skills developed in the first year, as directly applied to Animation in 2D and 3D. Learners will further develop their craft of creating dynamic drawings of human and animal forms in motion, with an increased awareness of conveying emotion in their work. Learners will also engage in the process of a gallery education by critiquing and exhibiting their work. "
