"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 1010","Foundations of Inclusive Practice","Foundations of Inclusive Practice The content of this course is based on the concept of full citizenship as outlined in the principles of the present UN Convention on the Rights of Persons with Disabilities. The historical, present and future applications of disability support will be explored. Students will learn about legislature, policies and programs related to inclusion, the practice of reciprocity and full citizenship for children and adults living with disabilities. Local programs and services will be explored in the context of developing a strong foundational knowledge of the disability support field. "
"2","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 1012","Introduction to Disabilities","Introduction to Disabilities This course introduces the learner to neurodevelopmental disorders including: intellectual, developmental and physical/disease related disabilities across the life span. Learners will also identify the common barriers experienced by persons living with disabilities and exploring support strategies that encourage independence. "
"3","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 1013","Introduction to Professional Practice","Introduction to Professional Practice This course introduces the learner to the concept of professional behaviours. The learner will engage in a self-assessment process and demonstrate professional behaviours in the classroom setting. "
"4","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 1014","Interpersonal Skills","Interpersonal Skills This course introduces the learner to effective interpersonal communication. Effective communication is examined as a process and a skill. Factors that influence effective communication are considered. The necessity of a positive attitude is examined as well as the importance of empathy in a service-based relationship. The course provides the learner with the necessary communication skills to work effectively as a member of the support team. The learner will explore relationship building and maintenance skills, building working relationships, and managing relationship conflict. "
"5","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 1015","Principles of Learning I","Principles of Learning I Learners will be introduced to behavioural terminology and the principles of learning. Learners will foster positive behavioural strategies that support the principles of interdependence using a multidisciplinary approach. Behavioural assessment tools will also be introduced and explored. "
"6","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 1020","Supporting Activities of Daily Living","Supporting Activities of Daily Living Using the philosophical foundations of disability support, this course will prepare learners to support individuals in activities of daily living that promote positive self-image, self-esteem and interdependence. Learners will demonstrate professional conduct and competencies at all times in the lab setting. "
"7","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 1021","Introduction to Mental Health","Introduction to Mental Health This course introduces the learner to the concepts of mental health and the components of a health-enhancing lifestyle. Learners will be invited to reflect on their own experience of health, barriers to healthy choices and resources that may impact on their well-being. The learner will examine biological and psychological factors related to mental health and illness, ranging from functional to dysfunctional thoughts and behaviours. Current theories, therapies and intervention strategies are explored. "
"8","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 1023","Cultural Humility and Professional Ethics","Cultural Humility and Professional Ethics Students examine and apply their personal values in the context of their professional obligations and ethical standards. Topics such as diversity, cultural humility, and cultural competence are explored from a self-assessment perspective. "
"9","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 1026","Therapeutic Communication and Documentation","Therapeutic Communication and Documentation This course focuses on specific theory and practical skills in communication related to supporting persons with disabilities. The learner will explore various techniques for supportive communication, as well as special considerations related to the disability support field. Learners will build skills in areas including but not limited to: rapport building, informed decision making, language and capacity building, supporting change behaviours, conflict management and crisis intervention techniques.Learners will also become familiar with the legal and practical implications of documentation. Learners will gain practical skills using objective and goal directed language while completing various types of documentation related to the field. "
"10","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 1050","Practicum I","Practicum I This practicum provides learners with an opportunity to apply classroom theory and skills to the field of disability supports. To assist the learner in gaining an understanding and experience in the full scope of their role, they will support individuals in carrying out activities of daily living. This includes residential, employment support, educational and/or community based environments. "
"11","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 2013","Advocacy and Leadership","Advocacy and Leadership This course develops leadership competencies in order to prepare students for advocacy roles in the field. Learners will develop skills in self-advocacy as well as strategies for building resilience and self-advocacy skills in the persons they are supporting. "
"12","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 2014","Assistive Technologies and Communication Strategies","Assistive Technologies and Communication Strategies This course examines various assistive technologies and alternative communication strategies used in supporting individuals. "
"13","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 2015","Principles of Learning II","Principles of Learning II Learners will develop, apply and evaluate a variety of positive behavioural change strategies for individuals with disabilities in a wide range of settings. Learners will be able to support, implement, monitor and evaluate the effectiveness of positive behavioural supports programs within their scope of practice utilizing an interdisciplinary approach. "
"14","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 2016","Introduction to Life Planning","Introduction to Life Planning Learners will be introduced to the basic philosophy and concepts of person-directed life planning. The learner will learn to support others in their move towards full community inclusion through the exploration of personal choices. "
"15","Nova Scotia Community College (NSCC)","Disability Supports and Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=DSSP&pln=DISSUPPSER","DSSP 2017","Nutrition and Meal Preparation","Nutrition and Meal Preparation Learners will gain an understanding of basic nutrition in order to promote a healthy lifestyle for the persons they support. Learners will develop skills in supporting others in cooking, budgeting and meal planning. Special dietary needs as well as feeding procedures will also be explored. "
