"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Early Childhood Education","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ECED&pln=EARCHIEDUC","ECSP 1000","Fundamentals of Early Childhood Education","Fundamentals of Early Childhood Education This course provides an overview of the historical, societal, and theoretical origins of early childhood education. Learners will be exposed to the rationale for and process of process of planning, implementing, and evaluating developmentally appropriate programs for children from birth to age twelve in a variety of early learning and care settings. Issues and current dilemmas in early childhood education will be examined. Emphasis will be placed on the Canadian perspective of early childhood education. "
"2","Nova Scotia Community College (NSCC)","Early Childhood Education","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ECED&pln=EARCHIEDUC","ECSP 1002","Observing and Recording Young Children","Observing and Recording Young Children This course will provide the student with the opportunity to develop skills in observation and appropriate recording of behaviours, and physical changes of young children. Students will investigate the rationale and processes for making formal documentation and apply the techniques in a variety of early childhood settings. "
"3","Nova Scotia Community College (NSCC)","Early Childhood Education","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ECED&pln=EARCHIEDUC","ECSP 1004","Aesthetics & Creativity","Aesthetics & Creativity This course is designed to assist the learner in developing an appreciation of the role of aesthetics and creative art in the overall development of children and the early childhood educator. The learner’s creative expression and sense of aesthetics will be enhanced through “hands-on” experiences with a wide range of materials, techniques and experiences. The learner will select, employ, evaluate and compile a variety of teaching strategies and materials that will enhance the aesthetic and creative development of the child from birth to age twelve. "
"4","Nova Scotia Community College (NSCC)","Early Childhood Education","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ECED&pln=EARCHIEDUC","ECSP 1005","Positive Child Guidance","Positive Child Guidance This course addresses typical characteristics and needs of children as they proceed through chronological and developmental stages and teaches developmentally appropriate guidance strategies. Emphasis will be placed upon strategies that enhance the child’s self esteem and stimulate the development of self-control. The student will develop strategies which enhance children's self-esteem and assist children in learning about universal values and principles. "
"5","Nova Scotia Community College (NSCC)","Early Childhood Education","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ECED&pln=EARCHIEDUC","ECSP 1006","Health and Safety","Health and Safety This course will provide opportunities for students to explore appropriate means of implementing the Nova Scotia regulations concerning health and safety in child care settings. The students will plan and implement health promotion and safety strategies when working with children and families. Students will explore the effect that family violence has on young children and recognize the signs of child abuse and neglect. Students will also investigate the value of self-care. "
"6","Nova Scotia Community College (NSCC)","Early Childhood Education","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ECED&pln=EARCHIEDUC","ECSP 1008","Building and Supporting Professional Relationships","Building and Supporting Professional Relationships This course is designed to enable students to recognize the importance of and to develop strategies for establishing positive communication between parents, peers, child-related professionals and community members. Students will learn the importance of communication and ethical behaviour in creating an atmosphere of trust, respect and professionalism. They will be exposed to current issues, the importance of advocacy, research and trends in early learning and care and related fields. "
"7","Nova Scotia Community College (NSCC)","Early Childhood Education","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ECED&pln=EARCHIEDUC","ECSP 1009","Emerging Literacy in the Early Childhood Years","Emerging Literacy in the Early Childhood Years This course exposes the student to a variety of language and literacy experiences appropriate for use from infancy through age twelve. Students will review language development as well as gain a sound theoretical basis for planning. Students will implement listening and speaking, reading and storytelling, poetry, flannel stories, puppetry, print-script, reading readiness and early literacy experiences. Emphasis will be placed upon the early childhood educators’ role in promoting language and literacy in a developmentally appropriate setting. Students will discover how to choose methodologies and materials which support an anti-bias approach, within an inclusionary atmosphere of diversity. "
"8","Nova Scotia Community College (NSCC)","Early Childhood Education","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ECED&pln=EARCHIEDUC","ECSP 1010","Family Studies","Family Studies During the past few decades, family life in Canada has been undergoing many changes. This course deals with a variety of family challenges and family issues that have a direct relevance to the field of early learning and care. The course theory and assignments as well as class activities and discussions will help learners manage future work situations. "
"9","Nova Scotia Community College (NSCC)","Early Childhood Education","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ECED&pln=EARCHIEDUC","ECSP 1011","Nutrition for Young Children","Nutrition for Young Children This course provides the learner the opportunity to explore nutritional needs of children as well as those of the child care educator. Learners will investigate nutritional planning, purchasing and cost control, safe food handling, feeding and eating habits. "
"10","Nova Scotia Community College (NSCC)","Early Childhood Education","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ECED&pln=EARCHIEDUC","ECSP 1012","Administering Early Childhood Services","Administering Early Childhood Services This course is designed to provide students with the basic information required to open, operate and/or manage an early childhood service. Information regarding licensing procedures and provincial legislation for a variety of early childhood programs will be reviewed. Students will gain information on setting and stating policies, writing business plans, budgeting, income tax and designing and will gain information about and practice using a wide range of report forms. In addition, needs assessments and effective marketing and advertising strategies will be studied. Students will participate in a variety of theoretical and practical experiences to facilitate the acquisition of the necessary skills and knowledge. "
