"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","COMM 1245","Technical Communications I","Technical Communications I This course introduces students to the writing, oral presentation, critical thinking and interpersonal communications skills required of technical professionals in the workplace. The fundamentals of clear, concise writing and presenting will be reviewed and refined. Experience will be gained in organizing, writing and presenting technical information. In addition, career development skills and portfolio preparation will be discussed. There will be several opportunities, through assignments and lab work, to develop portfolio components. Students will learn how to collect appropriate work samples and documentation from other courses in the program as well as from other sources. "
"2","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","COMM 2245","Technical Communications II","Technical Communications II This course focuses on the interpersonal, written and oral technical communication skills necessary for working independently and as part of a team in a technical environment. Further skill development in written forms of technical documentation required for the workplace as well as report creation and oral presentation skills will continue to be emphasized. Team building principles, group dynamics and collaborative writing will be discussed. Students will participate in meetings and take responsibilities in a group project from its inception to completion and evaluation. Students will continue to enhance and apply their research skills and project management principles will also be introduced. Successful job interviews and the portfolio will be discussed. "
"3","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELMT 3012","Applied Math I","Applied Math I In this course the learner will improve algebraic proficiency skills to the level required by first year technicians studying the electrical and mechanical fields. The course concentrates on the skills that will allow the learner to begin solving equations and formulae encountered in the industry. The course emphasizes practical problem solving while it attempts to increase the learners' overall competency in mathematics. "
"4","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELMT 3015","Applied Math II","Applied Math II This course is designed as a continuation of ELMT 3012. This course will challenge learners to improve their algebraic proficiency skills to the level required by technicians entering the workforce in the electrical and mechanical fields. The course concentrates on the skills that will allow the learner to efficiently solve complex equations and formulae encountered in the industry. The course emphasizes practical problem solving while it attempts to increase the learners' overall competency in mathematics and physics. "
"5","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 1001","DC Theory","DC Theory Technicians must have a solid background in electrical theory in order to properly install and troubleshoot. This course is designed to introduce learners to the concepts and theories of electricity and DC circuits. The course is arranged in logical, sequential order to give the learner a solid foundation in understanding the concepts of electricity. Basic math is used in explaining and solving electrical problems. The course introduces basic electricity, wire sizing, electrical quantities and Ohm’s Law, series and parallel resistive direct current circuits. Safety is paramount in this course and is emphasized throughout. "
"6","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 1003","Residential Wiring Fundamentals","Residential Wiring Fundamentals This course covers theory and practice for residential wiring. Learners will interpret and apply proper wiring standards to the Canadian Electrical Code requirements. Learners will install cables, boxes, devices, heaters, controls, service entrances, and communication cabling. Learners will interpret schematic drawings and symbols. "
"7","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 1004","AC Theory","AC Theory This course provides learners with an introduction to alternating current and a comparison to direct current. AC voltage, frequency and waveforms are discussed. Series and parallel circuits containing resistance, inductance and capacities along with examples of mathematical problems and solutions are covered. "
"8","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 1006","Industrial Wiring Fundamentals I","Industrial Wiring Fundamentals I In this course learners will receive instruction in commercial and industrial wiring installation and programmable logic controllers. Learners will be required to incorporate the Canadian Electrical Code throughout the course. "
"9","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 1013","Electrical Machines","Electrical Machines This course provides knowledge and techniques for analysis of the flow of energy from the electrical power distribution system through the electrical machine to the mechanical load. The principles of magnetism and electromagnetic induction are applied to the various types of AC/DC motors and generators. Their construction, operating principles and performance characteristics are studied. Learners will analyze three phase circuits and dynamic interaction between electrical machines and their mechanical loads. "
"10","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 1014","Motor Control and Relay Logic","Motor Control and Relay Logic This course provides the learner with a sound practical knowledge of industrial motor control, ladder logic and sequential control system fundamentals. Conventional control circuits for industrial motors will be analyzed, constructed and tested. Sequential control problems will be studied in order to design relay logic controller solutions. Practical design methodology and implementation will be stressed. The learner will also be introduced to the concept of a programmable logic controller (PLC). "
"11","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 1022","Workshop Practices and Introduction to the Canadian Electrical Code","Workshop Practices and Introduction to the Canadian Electrical Code This course is an introduction to workshop practices relating to the Electrical Technology industry. Topics covered will be tool safety, Canadian Electrical Code introduction. "
"12","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 1107","Commercial Print Reading","Commercial Print Reading This course covers the theory and practice required to read plans and blueprints. Learners apply the fundamentals of blueprint interpretations. Learners will also read floor scaled plans, elevation plans, section drawings, detailed drawings, plot plans, and specifications related to the electrical trade. Estimating skills for projects are also covered in this course. "
"13","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 2001","Integrated Energy Systems / Smart Grid Technology","Integrated Energy Systems / Smart Grid Technology Building on the green energy focus, this course offers an invigorating vision of our energy future. You will explore how the Smart Grid works as an enabling engine to our environment, our economy, and our future. Discussions will include such topics as, “What is the Smart Grid?” and “The Grid as It Stands: What’s at Risk?” You will also look at current Smart Grid efforts and analyze how they’re succeeding as well as investigate how a smarter electric grid can engage renewables at scale, enable the market for electric transportation, and usher in a new age of sustainable practices. "
"14","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 2004","Semiconductor Circuits","Semiconductor Circuits This course introduces semiconductor devices such as rectifier diodes, light-emitting diodes, regulators, solid-state relays, and thyristors. Learners will study and measure the performance of power supplies and inverters using standard test equipment and, optionally, simulation software. "
"15","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 2006","Industrial Wiring Fundamentals II","Industrial Wiring Fundamentals II In this course learners will receive instruction in commercial and industrial wiring installation and programmable logic controllers. Learners will be required to incorporate the Canadian Electrical Code throughout the course. You will install basic motor control systems and construct PLC programs as related to automated control systems. "
"16","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 2100","Photovoltaic Design and Installation","Photovoltaic Design and Installation This course is a comprehensive presentation of our solar resource with a complete outline of photovoltaic energy production; how it is stored and applied. You will be looking at various energy storage solutions and exploring advantages of solar energy and how set up an industry standard system. "
"17","Nova Scotia Community College (NSCC)","Electrical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ELTN&pln=ELECTCN","ELTN 2107","Residential Print Reading","Residential Print Reading This course covers the theory and practice required to read residential plans and blueprints. Learners apply the fundamentals of blueprint interpretations. Learners will also read floor scaled plans, elevation plans, section drawings, detailed drawings, plot plans, and specifications related to the electrical trade. Estimating skills for projects are also covered in this course. "
