"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Electro Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMTN&pln=ELEMECTCN","COMM 1245","Technical Communications I","Technical Communications I This course introduces students to the writing, oral presentation, critical thinking and interpersonal communications skills required of technical professionals in the workplace. The fundamentals of clear, concise writing and presenting will be reviewed and refined. Experience will be gained in organizing, writing and presenting technical information. In addition, career development skills and portfolio preparation will be discussed. There will be several opportunities, through assignments and lab work, to develop portfolio components. Students will learn how to collect appropriate work samples and documentation from other courses in the program as well as from other sources. "
"2","Nova Scotia Community College (NSCC)","Electro Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMTN&pln=ELEMECTCN","COMM 2245","Technical Communications II","Technical Communications II This course focuses on the interpersonal, written and oral technical communication skills necessary for working independently and as part of a team in a technical environment. Further skill development in written forms of technical documentation required for the workplace as well as report creation and oral presentation skills will continue to be emphasized. Team building principles, group dynamics and collaborative writing will be discussed. Students will participate in meetings and take responsibilities in a group project from its inception to completion and evaluation. Students will continue to enhance and apply their research skills and project management principles will also be introduced. Successful job interviews and the portfolio will be discussed. "
"3","Nova Scotia Community College (NSCC)","Electro Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMTN&pln=ELEMECTCN","ELMT 1000","Wiring Methods and Materials I","Wiring Methods and Materials I This course is designed to teach learners how to install wiring for single, multi-family dwellings and determine service size requirements for residential installations using the Canadian Electrical Code regulations. The different wiring methods such as non-metallic sheath cable, conduit wiring and Tech 90 are also explored. "
"4","Nova Scotia Community College (NSCC)","Electro Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMTN&pln=ELEMECTCN","ELMT 1001","Mechanical Fittings","Mechanical Fittings This course is designed to provide the learner with the basic knowledge of safety practices and standards within the mechanical profession. The intent is to make the learner aware of safety hazards in the workplace, how to work safely and responsibly where these hazards exist. Learners will be given instruction in the use of cutting and non-cutting hand tools, precision and semi-precision measuring devices and layout procedures. Measurements and projects will focus on tolerances, fits and limits. Learners will also learn attributes and designations of various fasteners and screw threads utilized in the industry. "
"5","Nova Scotia Community College (NSCC)","Electro Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMTN&pln=ELEMECTCN","ELMT 1002","Direct Current Fundamentals","Direct Current Fundamentals Learners will study and apply electron theory to construct series, parallel and series/parallel Direct Current (DC) circuits. The use of electrical meters will be utilized in solving complex circuit problems, and calculating power, energy and line loses. "
"6","Nova Scotia Community College (NSCC)","Electro Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMTN&pln=ELEMECTCN","ELMT 1003","Alternating Current Fundamentals","Alternating Current Fundamentals Learners will demonstrate how to design, construct, and test complex AC circuits with resistance, inductance and capacitance utilizing various test equipment and software tools. "
"7","Nova Scotia Community College (NSCC)","Electro Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMTN&pln=ELEMECTCN","ELMT 1004","Rotating Machine Operations","Rotating Machine Operations During this course, learners will demonstrate the correct use and operation of drill presses, metal cutting lathes, metal sawing machines, grinders, and milling machines in accordance with the Nova Scotia Occupation Health and Safety Act (NSOHSA). Upon completion of this course, the learner should be capable of machining components to specific tolerances on all five machine groups. "
"8","Nova Scotia Community College (NSCC)","Electro Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMTN&pln=ELEMECTCN","ELMT 1005","Welding Principles","Welding Principles This course is designed to introduce the safe use and operation of welding equipment including: Oxy-Acetylene (weld and metal cutting), Arc Welding (AC and DC applications) and the theory of Gas Metal Arc Welding (GMAW). The learner will also be capable of reading welding blueprints as per Canadian Welding Bureau (CWB) code, and have the ability to fabricate a broad section of common welding assignments and tasks that apply to non-structural members and operations not requiring Canadian Welding Bureau certification. "
"9","Nova Scotia Community College (NSCC)","Electro Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMTN&pln=ELEMECTCN","ELMT 1006","Mechanical Blueprint Reading","Mechanical Blueprint Reading This course is designed to teach learners how to read first and third angle projection blueprints. The assignments consist of assembly drawings relating to typical functioning equipment and are used to give the learner practice in determining design function of the machine, function of individual parts, tolerances and fits required for proper parts operation. "
"10","Nova Scotia Community College (NSCC)","Electro Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMTN&pln=ELEMECTCN","ELMT 1010","Work Experience","Work Experience The work experience component provides the learner with an opportunity to apply new skills and concepts appropriate for entry-level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. "
