"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1002","Weather Interpretation for Decision Making","Weather Interpretation for Decision Making Through an analysis of real world examples, learners in this course will practice reading and interpreting weather reports and projections, and learn how this information can support recommendations for dealing with emergency management scenarios. The course provides an overview of global and regional weather systems and processes, examines forecasting reports and special weather bulletins, and analyzes the depiction models used by emergency management professionals in support of decision making. "
"2","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1003","Business Continuity Planning I","Business Continuity Planning I This course follows the ISO 22301 model and covers all aspects of business continuity and emergency planning. Learners review the standards and professional practices, identify regulations, terminologies and principles, and apply concepts to industry. "
"3","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1004","Emergency Public Information Management","Emergency Public Information Management This course reviews how the media operates in an emergency, how to proactively work with the media during an emergency, and how to communicate through media to reach key audiences and stakeholders. Learners will contribute to the development of an emergency public information plan, and gain a solid grounding on how public information fits into the Incident Command System. "
"4","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1006","Leadership and Influence","Leadership and Influence This course examines the different types of leadership, and nurtures the entrepreneurial skills necessary for effective leadership given various situational determinants. Learners will identify leadership traits, engage in critical self-reflection, develop a plan for personal leadership growth, explore how to foster a collaborative culture, and examine change management and conflict resolution strategies. "
"5","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1007","Emergency Coordination Centre","Emergency Coordination Centre Students will develop an understanding of Emergency Coordination Center operations along with their emergency responsibilities to work effectively within an Emergency Coordination Centre. The focus will be on developing participant’s procedural, functional and operational capacity in preparation for community Emergency Coordination Centre activation. "
"6","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1008","Foundations of Emergency Management","Foundations of Emergency Management This course reviews the various acts, legislations and regulations governing municipal, provincial and federal agencies. Concepts of emergency management and the models, systems, and processes required to effectively mitigate, plan, respond and recover from various disasters are explored. Students are introduced to emergency management that involves multiple jurisdictions at municipal, provincial, and national to gain an understanding of the roles and responsibilities of the emergency manager during planned and emergency events. "
"7","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1010","Critical Infrastructure Protection","Critical Infrastructure Protection This course attempts to answer the question, ""what should be protected and how?"" A historical perspective of how various critical infrastructures have evolved and the quantitative approaches commonly used to evaluate them is explored. Learners apply quantitative vulnerability analysis to a variety of infrastructure sectors and investigate how best to allocate limited funding to minimize overall risk. "
"8","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1011","Incident Command Systems","Incident Command Systems This course covers basic principles associated with Incident Command System (ICS) include organization, facilities, operational guidelines and standard terminology. Learners explore principles of ICS as are used in incident and crisis situations and preplanned event management. Emphasis is on the flexibility of an ICS to start from small scale incidents and expand into large-scale, multi-jurisdictional operations. Learners discuss planning, operational, logistical and fiscal considerations related to the management of complex incidents and events. They review the aspects of information gathering and dissemination including best practices for promoting enhanced planning and better control of information flow to safely and effectively make strategic response decisions. "
"9","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1012","Emergency Exercise Design","Emergency Exercise Design In this course, learners develop emergency exercise programs for their agencies or jurisdiction. Learners will design and conduct notification exercises, drills, tabletop and full-scale functional exercises. Such exercises test emergency plans to the fullest and identify potential plan gaps, while providing suggested corrective actions. Additionally, coverage of exercise evaluation provides knowledge and skills to manage exercise evaluation activities before, during and after an emergency management exercise. "
"10","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1013","Business Continuity Planning II","Business Continuity Planning II Building on the theoretical concepts addressed in Business Continuity Planning I, this course sees the learner create a mock business continuity plan for an Atlantic Canadian company, a process that includes research, risk assessment, plan development, exercise planning and implementation, and a lessons learned exercise. "
"11","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1014","Emergency Response and Recovery","Emergency Response and Recovery In this course learners delve into the components of recovery and analyze how emergency management professionals contribute to the process of helping citizens return to normal, following an emergency. Learners examine historical events that have changed the nature of emergencies and discuss the impact on agencies responsible for recovery. "
"12","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1016","Hazard ID Risk Assessment","Hazard ID Risk Assessment Through case studies and critical analysis, learners explore the methods, tools and approaches necessary to identify and respond effectively and strategically to the multitude of risk within an emergency management framework "
"13","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1017","Capstone Project","Capstone Project Learners complete a research project on a select topic in emergency management, with specific focus on recovery. This provides opportunity to conduct an independent research project which is original, sustainable and creative. The project demonstrates the learner’s knowledge of theory and the ability to apply it in the field. "
"14","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","EMER 1100","Work Experience","Work Experience The work experience component provides the learner with an opportunity to apply skills and concepts appropriate for entry level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. "
"15","Nova Scotia Community College (NSCC)","Emergency Management","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=EMER&pln=EMERGENCY","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
