"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1100","Renewable Energy Technologies I","Renewable Energy Technologies I Renewable Energy Technologies harness natural forces such as solar, wind and tidal to generate energy. The energy captured by renewable systems provides a clean alternative to conventional fossil fuel technologies. With increasing social and economic pressures being applied to the global market place, companies and individuals are looking to renewable energy technologies to supplement and/or replace aging power systems. Learners will explore existing renewable energy technologies while learning how and where to apply them. Natural Resources Canada’s RETScreen (R) software will be used extensively throughout the class, with the expectation that learners will be capable of creating a new project using site collected data. "
"2","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1102","Introduction to Data Collection Analysis and Reporting","Introduction to Data Collection Analysis and Reporting Introduction to Data Collection, Analysis and Reporting will introduce the learner to basic concepts and methods used to manage, interpret and present technical data. Emphasis will be placed on the effective use and development of data collection methods as well as data analysis using tools and software that are standard in industry. Particular focus will be given to applying statistical analysis to engineering problems requiring data interpretation. "
"3","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1103","Principles of Energy Management","Principles of Energy Management Energy efficiency and conservation are increasingly important topics in today’s global market. The reduction of energy consumption through alternative design and renewable energy sources is becoming more prominent; however, the proper management of existing energy systems has the potential to significantly reduce both energy usage and greenhouse gas emissions. Principles of Energy Management will be a focused study of existing energy management best practices and statistical analysis of energy consumption patterns. "
"4","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1104","Communications I","Communications I This course introduces students to the research, writing, oral presentation, critical thinking and interpersonal communications skills required of technical professionals in the workplace. Students will also identify personal characteristics which impact academic and career success. "
"5","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1105","Thermodynamics I","Thermodynamics I Thermodynamics I will introduce the fundamental laws of thermodynamics using practical applications. Learners who successfully complete Thermodynamics I will be able to use thermodynamic equations and engineering problem-solving techniques in the analysis of thermodynamic processes and systems. "
"6","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1113","Applied Mathematics I","Applied Mathematics I Applied Mathematics I is designed to give a review of basic algebra, geometry, functional notation, linear equations, quadratic equations, trigonometric functions, exponents, logarithms, complex numbers, analytic geometry and systems of equations. The concept of the limit and the concept of the first derivative, a special limit, will be studied (time permitting). The course objective is to give learners a basic understanding of mathematical principles so that learners can apply these principles to courses in the engineering technology programs and to prepare for the study of calculus. The use of computer software as a mathematical tool for electrical engineering design will be encouraged. The learner will be encouraged to maintain a mathematics journal that may become part of their personal college portfolio. "
"7","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1200","Renewable Energy Technologies II","Renewable Energy Technologies II Renewable Energy Technologies harness natural forces such as solar, wind and hydro to generate energy. The energy captured by renewable systems provides a clean alternative to conventional fossil fuel technologies. Learners will explore the use of renewable energy systems for the residential market (single and multi-residential buildings). The course will focus on collecting real site data and applying the information to the design of a hybrid renewable system. All feasibility calculations will be done using the RETScreen (R) computer models. "
"8","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1203","Sustainable Design","Sustainable Design Sustainable design encompasses everything from product design to building decommissioning. Consideration must be given to complete life cycle analysis in order to effectively weigh economic, environmental and social options. The course will prepare learners to perform complete life cycle assessments of products and materials and will be presented as a means of reducing total energy consumption throughout the design process. Learners will work individually and as part of a team to assess existing products, and make recommendations on the selection of building materials. A capstone project will look at developing a functional product or building material using completely recycled or salvaged materials. "
"9","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1204","Communications II","Communications II This course introduces students to the formal technical report writing skills required of technical professionals in the workplace. The fundamentals of clear, concise writing and presenting will be reviewed and refined. In addition, job search documents will be created. "
"10","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1213","Applied Mathematics II","Applied Mathematics II Topics included in this course are limits, slope of the tangent to a curve, differentiation by the delta process, derivatives of polynomials, applications involving derivatives, finding points of extrema, using differentiation to aid curve sketching and to find maximums and minimums, and the introduction to the concept of differentials, and to integrate polynomial functions and approximate numerically the area under a curve. "
"11","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1301","Building Systems","Building Systems Reducing and conserving the energy consumed by a building requires working knowledge of typical building systems. Learners will undertake a focused study of building systems for residential applications. Through visual and non-destructive assessments, the learners will work through the development of accurate heating and cooling loads using a suite of software models developed by Natural Resources Canada. The course will focus its attention on typical building design, common building materials and the associated thermal performance. Using data collection and standardized forms learners will work towards preparing efficient building upgrades for existing buildings. "
"12","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1302","Engineering Graphics","Engineering Graphics In this introduction to Computer Aided Drafting (CAD) software, learners gain knowledge in the use and principles of Computer Aided Drafting. The primary emphasis is the application of AutoCAD®, an industry-standard Computer Aided Drafting software program. Specific hardware used in the CAD environment is introduced and utilized. "
"13","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1318","Project I","Project I This course initiates a major technical report on a design/research project. To succeed in this project, learners are given the opportunity to apply planning and scheduling skills and the knowledge of project management and team building. Financial considerations are also included. In consultation with a technical supervisor, the learner will use problem solving techniques and formal design procedures. "
"14","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1319","Energy Systems and Assessments","Energy Systems and Assessments Energy systems are used in all aspects of our daily life and can be complex industrial processes or simplistic residential systems. Energy Systems and Assessments will explore the common types of generation, distribution and consumption systems used in industrial, commercial and residential applications. These energy systems must be measured, modelled and monitored in order to actively manage the energy consumption. This course will prepare learners to perform comprehensive energy audits of processes and buildings. Course work will focus on real life case studies and field work and where applicable, use metering equipment and simulation software as a means of accurately measuring/modelling energy loads. Upon completion of the course learners will be capable of performing a detailed energy audit and presenting the audit findings in an opportunity report. "
"15","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1320","Electrical Systems","Electrical Systems Electrical Systems will introduce the learner to the basic concepts of electricity necessary for Energy Sustainability Engineering Technology. Topics include direct/alternating current, voltage, resistance, Ohm's Law, power, capacitors magnetic circuits, motors and generators. Focus will be given to calculating power and efficiency, applying mathematical formulae and using electrical metering equipment. "
"16","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 1322","Engineering Business","Engineering Business This course provides an overview of fundamental business processes and fosters the understanding necessary for contributing to business decision making. Students learn how the work of the technologist is shaped by business considerations, and practice the creative, analytical, and communications skills necessary for developing a business case. "
"17","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 2404","Communications III","Communications III This course develops formal technical report writing and presentation skills required of technical professionals in the workplace. Job search strategies will be discussed, targeted job search documents (resume, cover letter, and portfolio) will be produced, and mock interviews will be conducted. "
"18","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 2405","Thermodynamics II","Thermodynamics II Thermodynamics II will build on the fundamental laws of thermodynamics using practical applications. Learners who successfully complete Thermodynamics II will be able to use thermodynamic equation and engineering problem solving techniques in the analysis of complex thermodynamic processes and systems. Focus will be given to power cycles, heat engines, system efficiencies and boundary layer heat transfer. "
"19","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 2406","Industry Standards in Energy Efficiency","Industry Standards in Energy Efficiency This course provides a comprehensive overview of techniques, approaches, materials and technologies used in creating greener buildings and communities. It will provide an introductory level of familiarity with the various standards in energy efficiency. "
"20","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 2408","Measurement Verification and Controls I","Measurement Verification and Controls I This course will introduce learners to the concept and application of Measurement and Verification and how these activities interface with the design and development of control systems for energy management. Emphasis will be placed on how critical data is captured and interpreted. This course will explore the common types of sensors and processors used in industrial, commercial and residential applications. The intent of this course will be to provide the learners with the required skills to assess the design and performance of integrated control and monitoring systems. "
"21","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 2501","Advanced Building Design","Advanced Building Design Reducing the impact humans and buildings have on the environment are important design considerations in today's building industry. Standards such as the Model National Energy Code and ASHRAE's Energy Standard for Buildings (90.1) are considered minimum guidelines for energy; yet neither standard addresses the broader topic of environmental sustainability. The course will focus its attention on advanced building design using the integrated sustainable design approach which has become more popular with rating systems such as LEED for New Construction. Using preliminary architectural drawings, building standards and modelling software students will work towards preparing an integrated sustainable building design report for a proposed new building. "
"22","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 2504","Communications IV","Communications IV This course supports the work of the Senior Project, developing their design, project management, technical documentation and presentation skills. They will submit progress reports and maintain records of progress meetings and design reviews. They will use project management techniques such as Work Breakdown Structures and Gantt Charts. "
"23","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 2508","Measurement Verification and Controls II","Measurement Verification and Controls II Building on the learning outcomes and principles explored in Measurement Verification and Controls I, this course will provide learners with the opportunity to gain real world project experience in the design, development, installation, commissioning and operation of measurement, verification and control systems. Emphasis will be placed on employing industry accepted Measurement and Verification (M&V) Protocols to evaluate the performance of Energy Conservation Measures and Energy Management Systems. "
"24","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 2512","Geographic Information Systems","Geographic Information Systems This project-based course will introduce learners to concepts related to GIS and spatial data. The course will provide learners with the opportunity to create output products using modern, industry standard software packages. Major components of a GIS, the functionality of these components, and the interrelationship between GIS and other sciences and technologies will be explored. "
"25","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 2515","Project Development and Management","Project Development and Management Project development and management is the application of logic to the individual tasks that define and constrain the successful delivery of a project. Through the application of standardized estimating and scheduling procedures, project managers and their teams can more effectively track and control the primary objectives of the project (quality, time, budget and safety). Project Development and Management will expose students to the underlying principles of good project planning and management, while exploring the various techniques and tools available to industry. "
"26","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 2610","Engineering Law and Ethics","Engineering Law and Ethics Engineering Law and Ethics deals with the responsibility Technical Professionals have with issues surrounding integrity and accountability. The structure and intent of governing acts on the Provincial and Federal level are explored, as well as applicable professional codes of ethics. Issues that arise through technological development and application will be considered from a legal, ethical and sustainable development perspective. "
"27","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 2650","Senior Project","Senior Project Learners will work on their chosen technical project and monitor their progress by submitting progress reports, participating in progress meeting minutes, and a research journal. They will also use project management tools such as flow charts and Gantt Charts. The project will culminate with a formal technical report and presentation. Workshops and tutorials will be scheduled as required by the learners. "
"28","Nova Scotia Community College (NSCC)","Energy Sustainability Engineering Technology (ESET)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESET&pln=ENERSUSENG","ESET 3600","Work Experience II","Work Experience II Working with an applied learning partner, the learner will demonstrate occupational, employability and essential skills that meet current workplace practice and standards. This external applied learning experience contributes to a well-rounded education and serves as a bridge to the labour market. "
