"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"2","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","COMM 1228","Communications II","Communications II This course further develops essential communications skills with a focus on basic writing. This course provides the student with the opportunity to develop written work typical of the industry related to their program of study. "
"3","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","COSM 1002","Bacteriology/Infection Control","Bacteriology/Infection Control This course provides practice and theory in the study of microbes and methods of their control in the salon environment. "
"4","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","COSM 1210","Salon Accounts Manager","Salon Accounts Manager This course is designed to introduce the learner to salon management software used in maintaining client records. Learners will also be introduced to salon management software used to manage inventories and maintain the system. "
"5","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","ESTH 1001","Professional Development","Professional Development This course deals with personal and professional health, physical presentation, human relations, and professional attitude. The history of esthetics and the role of the Cosmetology Association of Nova Scotia will also be covered. The student will develop and demonstrate positive professional attitude and will be evaluated on interactions with others, appropriate dress code and code of ethics. "
"6","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","ESTH 1003","Nail Anatomy","Nail Anatomy This course deals with the basic anatomy and physiology, as well as the structure, growth and composition of the nails. Associated diseases and disorders and cumulative trauma disorders are also included. "
"7","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","ESTH 1008","Natural Nail Care","Natural Nail Care The importance of maintaining well-groomed nails has become a significant part of our culture for both men and women. This course provides the theoretical knowledge of performing natural nail care, as well as an introduction to artificial nailproducts. "
"8","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","ESTH 1009","Epilation","Epilation In this course, the learners will learn the morphology of hair and its growth stages. The learners will also learn the techniques available for hair removal and demonstrate procedures with both hard and soft wax. The learner will also be introduced to ancient methods of hair removal still used today and become proficient in strip-less wax. "
"9","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","ESTH 1021","Product Chemistry","Product Chemistry In this course the learners will learn basic chemistry and how it relates to skin care products, the drugs used to treat the skin and the advanced ingredient technology used in today’s skin care. "
"10","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","ESTH 1022","Natural Sciences and Nutrition","Natural Sciences and Nutrition In skin care, the practical hands-on work is the final result of months of preparation. One must possess a basic understanding of what is underneath the hands before the hands can be effective. In this course, the learner will learn about the largest organ of the body, the skin, and how it functions and is supported by the body systems and structure. The learner will also study the basic building blocks of nutrition and how deficiencies will affect the skin and nails. The diseases and disorders that are frequently seen in an esthetic salon will be explored. "
"11","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","ESTH 1023","Facial Treatments I","Facial Treatments I In this course the learners will learn the methods for gathering client information, how to analyze the skin, the procedures and machines for facial treatments and how to recommend home care. "
"12","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","ESTH 1027","Makeup Artistry I","Makeup Artistry I This course deals with colour theory and makeup applications. The learner will learn the theory of colour, the principles of contouring, face shapes and profiles, as well as the makeup products and tools available to the esthetician. Basic makeup application and client consultation are also covered. "
"13","Nova Scotia Community College (NSCC)","Esthetics and Spa Therapies","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=ESPA&pln=ESTHSPA","ESTH 1060","Esthetic Skills Lab I","Esthetic Skills Lab I This course allows the learner to develop and practice skills of the Esthetic program at an introductory level. Learners will demonstrate professional conduct competencies at all times in the lab setting. "
