"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Finance","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FINC&pln=FINANCE","FINC 3960","Work Experience","Work Experience The work experience component provides the learner with an opportunity to apply new skills and concepts appropriate for entry-level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. This is a course of 175 hours spread over five weeks. "
"2","Nova Scotia Community College (NSCC)","Finance","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FINC&pln=FINANCE","FINC 5100","Regulatory Compliance and Risk Management","Regulatory Compliance and Risk Management The financial industry experiences operational and financial risks. Regulators have a key role in developing and adhering to regulations that address these risks. The stability of financial services sectors depends partly on the strength of the regulations that have been developed to mitigate those risks. This course will introduce learners to various risks and how they impact financial institutions and the products that they offer. The ever-dynamic Canadian and global financial regulatory compliance environment will be explored. Topics will also include emerging risks related to cybersecurity and money laundering. "
"3","Nova Scotia Community College (NSCC)","Finance","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FINC&pln=FINANCE","FINC 5110","Financial Planning I","Financial Planning I The Financial Planning I® course is delivered under agreement with the Canadian Securities Institute (CSI) using their course materials to prepare students for the Financial Planning I® exam. CSI describes the course as “designed to help you deliver the most effective financial plan analysis to your valued clients, based on their personal requirements and provides you with comprehensive knowledge about financial planning. Upon successful completion, you will be able to implement best practices in budgeting, borrowing, constructing and analyzing personal financial statements.Topics include: the financial planning process, personal budgeting and borrowing, investment and taxation, retirement planning, estate planning, and providing financial services advice.Students must also be registered in the related course with the CSI. For more information, please go to the Canadian Securities Institute website at www.csi.ca. "
"4","Nova Scotia Community College (NSCC)","Finance","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FINC&pln=FINANCE","FINC 5120","Canadian Securities I","Canadian Securities I The Canadian Securities Course® is delivered under agreement with the Canadian Securities Institute (CSI) in two parts using their course materials to prepare students for the Canadian Securities Course® exam. CSI describes the course as offering the opportunity to “learn to make sense of a complex financial world. You'll gain the knowledge you need to make smart investment decisions, become a confident advisor and build a solid foundation for your career. Recognized as the industry benchmark, the Canadian Securities Course (CSC®) delivers the financial training employers demand. The course provides an introduction to bonds and debentures, common and preferred shares, basic derivatives, securities markets and financial intermediaries, consolidated financial statements, and macroeconomics. Students must also be registered in the related course with the CSI. For more information, please go to the Canadian Securities website at www.csi.ca. "
"5","Nova Scotia Community College (NSCC)","Finance","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FINC&pln=FINANCE","FINC 5130","Professional Communication","Professional Communication This course introduces learners to contemporary strategies of successful communication in professional contexts that enable them to recognize the importance of positive, professional communication. Learners will explore how communication can create an atmosphere of trust, respect and professionalism. Topics will include how to analyze audience, situation, and medium to create messages that build productive relationships; and how to develop a sensitivity to language and tone to communicate their intended purpose and receive their intended result. "
"6","Nova Scotia Community College (NSCC)","Finance","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FINC&pln=FINANCE","FINC 5140","Spreadsheets and Analytics and Finance","Spreadsheets and Analytics and Finance ""In this course, learners will explore the principles of financial data analysis using the advanced capabilities of Microsoft® Excel. Learners will gain in-depth understanding of important financial concepts such as performance evaluation, financial statement analysis, forecasting, capital budgeting and modern portfolio theory. Topics such as validating data, constructing financial models, performing what-if scenarios, evaluating financial alternatives, performing financial ratio analysis and create dynamic models will also be explored.This course aims to give learners a solid foundation in understanding and manipulating financial data to their advantage using Microsoft® Excel."" "
"7","Nova Scotia Community College (NSCC)","Finance","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FINC&pln=FINANCE","FINC 5150","Professional Relationship Management I","Professional Relationship Management I This course is an introduction to professional relationship management concepts. Topics will include verbal and non-verbal communication skills to build relationships, communicating complex ideas to general audiences, and sales strategy development. "
"8","Nova Scotia Community College (NSCC)","Finance","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FINC&pln=FINANCE","FINC 5200","Professional Relationship Management II","Professional Relationship Management II Building on the concepts introduced in Professional Relationship Management I, this course is designed to provide practical applications of professional relationship management concepts and explore the business environments in which these methods can be applied. Topics will include client relationship management, client prospecting, and establishing client loyalty. Through a series of practical and real-world activities, learners will acquire the skills necessary to work in a client-centric organization. "
"9","Nova Scotia Community College (NSCC)","Finance","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FINC&pln=FINANCE","FINC 5210","Hedge Funds Accounting, Administration and Analysis","Hedge Funds Accounting, Administration and Analysis The world of investments has been dominated by new investments products that are outpacing the traditional investments. The need to increase the investors’ returns has lead to both individual and institutional investors looking past traditional investment products such as bonds and equity which has led to the emergence of alternative investments such as hedge funds. This course will give learners an overview of the hedge fund industry and the various hedge fund investment strategies that are employed.The course will also focus on hedge funds with an emphasis on understanding the Net Asset Value (NAV) calculation process and regulatory environment in which hedge funds operates. Learners will gain “hands-on” practical knowledge of NAV preparation. Industry guest speakers and industry visits will provide real life perspective and discussions regarding emerging issues. Learners will be introduced to data sources such as Bloomberg and Spreadsheet-based investment portfolio analysis. "
"10","Nova Scotia Community College (NSCC)","Finance","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FINC&pln=FINANCE","FINC 5220","Canadian Securities II","Canadian Securities II The Canadian Securities Course® is delivered under agreement with the Canadian Securities Institute (CSI) in two parts using their course materials to prepare students for the Canadian Securities Course® exam. CSI describes the course as offering the opportunity to “learn to make sense of a complex financial world. You'll gain the knowledge you need to make smart investment decisions, become a confident advisor and build a solid foundation for your career. Recognized as the industry benchmark, the Canadian Securities Course (CSC®) delivers the financial training employers demand.” The course introduces managed and structured financial products, technical and fundamental analysis, tax issues, and securities administration. Students must also be registered in the related course with the CSI. For more information, please go to the Canadian Securities website at www.csi.ca. "
