"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Funeral and Allied Health Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FNRL&pln=FUNSERV","ANAP 1002","Anatomy and Physiology for Allied Health","Anatomy and Physiology for Allied Health This course provides an overview of the sciences of anatomy and physiology. Knowledge of the basic structure and functions of the integumentary, skeletal, muscular, nervous, endocrine, cardiovascular, lymphatic, respiratory, digestive, urinary, and reproductive systems is essential for a variety of Health and Human Service programs. The integration of these systems will be discussed. "
"2","Nova Scotia Community College (NSCC)","Funeral and Allied Health Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FNRL&pln=FUNSERV","BIOL 1000","Microbiology","Microbiology The understanding of microbiological concepts is vital to professionals in allied health services, preventing undue risk to themselves, colleagues and the public. This course will provide learners with an opportunity to study fundamental principles of microbiology and infectious disease as they relate to the human body.This course relies in extensive learner involvement. The course is predominantly project-based and presentation-based, with opportunity for learners to investigate areas of particular concern. "
"3","Nova Scotia Community College (NSCC)","Funeral and Allied Health Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FNRL&pln=FUNSERV","COMM 1205","Communications","Communications"
"4","Nova Scotia Community College (NSCC)","Funeral and Allied Health Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FNRL&pln=FUNSERV","FUSV 1000","Funeral Rites and Rituals","Funeral Rites and Rituals Judeo-Christian religions and Protestant denominations will be explored during this course. The evolution of funeral practices across these cultures is studied to broaden an understanding of the significance of specific religions. "
"5","Nova Scotia Community College (NSCC)","Funeral and Allied Health Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FNRL&pln=FUNSERV","FUSV 1001","Funeral Service Law and Ethics","Funeral Service Law and Ethics The funeral professional’s legal and ethical responsibilities will be introduced from “first call” to the final disposition of the deceased. Provincial legislation that applies to licensing and modes of disposition will be reviewed. "
"6","Nova Scotia Community College (NSCC)","Funeral and Allied Health Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FNRL&pln=FUNSERV","FUSV 1002","Psychosocial Aspects of Death and Dying","Psychosocial Aspects of Death and Dying This course is specifically intended to acquaint the student with the social psychology of grief, dying, death and bereavement. Students are expected to absorb the study material in a thoughtful and sensitive manner and to develop useful interpersonal and reflective skills. This course requires a pass mark of 60%, however, students enrolled in the Funeral and Allied Health Services Program require a pass mark of 75%. "
"7","Nova Scotia Community College (NSCC)","Funeral and Allied Health Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FNRL&pln=FUNSERV","FUSV 1004","Embalming Theory","Embalming Theory This course will outline the responsibilities of funeral service personnel in protecting personal and public health. An understanding of the theoretical principles of the practice of embalming and its development throughout history will be discussed. "
"8","Nova Scotia Community College (NSCC)","Funeral and Allied Health Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FNRL&pln=FUNSERV","FUSV 1018","Pathology","Pathology The understanding of human disease is vital to professionals in allied health professions. This course will cover concepts of common human diseases and disorders. "
"9","Nova Scotia Community College (NSCC)","Funeral and Allied Health Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FNRL&pln=FUNSERV","FUSV 1060","Theoretical Applications I","Theoretical Applications I Nova Scotia Community College learners enrolled in the Funeral and Allied Health Services program, increase their theoretical knowledge base and develop skills while apprenticing as funeral directors and embalmers. All six theoretical applications courses are designed to capture the application of theory in the funeral home setting and through engagements with the community. As the theory courses provide the foundation for the applied learning, it is expected that learners would continue with their online theory courses while completing each Theoretical Application course.Learners have the responsibility to demonstrate professional behaviour and attitudes appropriate to the workplace. It is important to adhere to the funeral home policies, and accept direction and appropriate feedback from licensed mentors. Learners enrolled in the NSCC Funeral and Allied Health Services program are College ambassadors and should adhere to its academic policies as well as the ethical and professional practice expected of professionals in the field.Funeral and Allied Health Services apprenticeship students must be aware of the importance of developing and demonstrating professional values, personal management skills and team work skills outlined in the professional conduct rubric relative to the professional conduct learning outcome. Assessment in all learning environments will include but will not be limited to the following professional values: accountability, confidentiality, dignity, integrity; teamwork skills: works well with others, participates in all assigned tasks; and personal management skills: positive attitude and behaviour, time management and responsibility, adaptability, willingness to learn, workplace safety, and deportment. The theoretical applications courses are competency based and outline the expectations for increasing levels of competency from one course to the next. It is expected that 75% of the tasks/competencies will be completed each semester in keeping with industry standard. 75% or above will secure a pass for the course, and below 75% as fail. Documented participation in funeral procedures including first calls, transfers, preparation of documentation required for all forms of disposition, preparation of human remains for viewing and transfer, assisted arrangements, funeral arrangement conferences, pre-arrangements, set-ups for visitation, tribute services, funerals, memorial services, directing funerals and committals and all tasks as requested by the licensed mentor necessary in the provision of funeral services to client families at a beginner level and with increasing levels of competency. All procedures performed by the learner are recorded and signed-off by the appropriate mentor/licensee in the Theoretical Applications handbook. "
"10","Nova Scotia Community College (NSCC)","Funeral and Allied Health Services","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=FNRL&pln=FUNSERV","FUSV 1070","Theoretical Applications II","Theoretical Applications II Nova Scotia Community College learners enrolled in the Funeral and Allied Health Services program, increase their theoretical knowledge base and develop skills while apprenticing as funeral directors and embalmers. All six theoretical applications courses are designed to capture the application of theory in the funeral home setting and through engagements with the community. As the theory courses provide the foundation for the applied learning, it is expected that learners would continue with their online theory courses while completing each Theoretical Application course. Learners have the responsibility to demonstrate professional behaviour and attitudes appropriate to the workplace. It is important to adhere to the funeral home policies, and accept direction and appropriate feedback from licensed mentors. Learners enrolled in the NSCC Funeral and Allied Health Services program are College ambassadors and should adhere to its academic policies as well as the ethical and professional practice expected of professionals in the field. Funeral and Allied Health Services apprenticeship students must be aware of the importance of developing and demonstrating professional values, personal management skills and team work skills outlined in the professional conduct rubric relative to the professional conduct learning outcome. Assessment in all learning environments will include but will not be limited to the following professional values: accountability, confidentiality, dignity, integrity; teamwork skills: works well with others, participates in all assigned tasks; and personal management skills: positive attitude and behaviour, time management and responsibility, adaptability, willingness to learn, workplace safety, and deportment. The theoretical applications courses are competency based and outline the expectations for increasing levels of competency from one course to the next. It is expected that 75% of the tasks/competencies will be completed each semester in keeping with industry standard. 75% or above will secure a pass for the course, and below 75% as fail. Documented participation in funeral procedures including first calls, transfers, preparation of documentation required for all forms of disposition, preparation of human remains for viewing and transfer, assisted arrangements, funeral arrangement conferences, pre-arrangements, set-ups for visitation, tribute services, funerals, memorial services, directing funerals and committals and all tasks as requested by the licensed mentor necessary in the provision of funeral services to client families at a beginner level and with increasing levels of competency. All procedures performed by the learner are recorded and signed-off by the appropriate mentor/licensee in the Theoretical Applications handbook. "
