"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"2","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","COMM 1228","Communications II","Communications II This course further develops essential communications skills with a focus on basic writing. This course provides the student with the opportunity to develop written work typical of the industry related to their program of study. "
"3","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1000","Gas Industry Safety and Codes","Gas Industry Safety and Codes Safety on the job is one of the most important factors to consider when doing any task, whether climbing a ladder or installing an appliance. This course covers safety from various perspectives: personal safety rules and protective gear, government acts and regulations, information on the Workplace Hazardous Materials Information System and fire safety practices. "
"4","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1001","Fuel Gas Characteristics and Handling","Fuel Gas Characteristics and Handling This course will cover the physical and chemical properties and characteristics of natural gas and propane as well as their combustion process. In addition, the investigation, detection and remediation of gas leaks and other hazardous substances will be covered. "
"5","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1002","Gas Pipe Fitting Practices l","Gas Pipe Fitting Practices l Correctly sizing the piping and tubing system depends on many factors: the length of the pipe, the supply pressure, any changes in direction of the pipe, etc. Installation requirements also depend on the location or whether the piping or tubing system is installed underground, above ground on a rooftop, etc. Whenever installing piping and tubing systems, they must be tested and inspected to ensure they meet the code requirements. This course will cover the supply chain of gas supply, transmission, distribution and delivery piping systems from the well head to the end user. The major emphasis will be placed on the delivery piping for both propane and natural gas downstream of the meter or storage container to the gas appliance. "
"6","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1003","Tools, Fasteners and Instruments","Tools, Fasteners and Instruments In this course, the learner will be given an overview of the more common types of fasteners and supports used in the gas industry, as well as the basic tools required to be used and understood. "
"7","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1004","Electrical l","Electrical l This course is designed to introduce basic electrical theory, concepts, safe work practices and applicable electrical codes for the Gas Technician trade. "
"8","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1005","Gas Appliances I","Gas Appliances I This course covers the details necessary for a gas technician to safely and efficiently install appliances. It also covers the requirements for converting appliances between propane and natural gas. "
"9","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1006","Technical Manuals and Drawings","Technical Manuals and Drawings In this course, learners will use reference manuals, interpret technical manuals and manufacturers’ specifications, draw basic piping drawings using the different drawing views, and interpret graphs and charts as they pertain to the natural gas and propane industry. "
"10","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1010","Forced Air and Central Heating","Forced Air and Central Heating This course will enable the learner to describe the correct forced-air furnace for an application, describe the installation process, diagnose mechanical faults and explain the operation of electrical circuits, all within a forced-air furnace. In addition, learners will cover common forced air add-on devices and their function. "
"11","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1011","Gas Appliances ll","Gas Appliances ll This course will cover the installation, service and maintenance of household, space-heating and decorative appliances as well as gas-fired refrigerators. "
"12","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1012","Hydronic and Domestic Hot Water","Hydronic and Domestic Hot Water This course will cover the installation of gas-fired water heaters, boilers and boiler distribution and control systems. In addition, gas-fired and hot water heating and combination systems will also be covered. Learners will determine the guidelines for converting a boiler, select and identify circulators and components and describe gas-fired pool heating systems. "
"13","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1013","Building as a System","Building as a System In this course, learners will cover the components of a building and their effect on mechanical systems, building science elements and energy conservation methods. In addition, the sources of pollution, their effect on indoor air quality and methods of ventilation and filtration systems as well as the principles of heat loss and gain will also be covered. "
"14","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1016","Work Experience","Work Experience The work experience component provides the learner with an opportunity to apply skills and concepts appropriate for entry level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. "
"15","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1017","Introduction to Regulators, Meters and Fuel","Introduction to Regulators, Meters and Fuel In this course, learners will review the criteria for installing the correct gas pressure regulators for a system. They will also read and clock low-pressure meters and identify and plan for the correct use of propane cylinders and tanks. "
"16","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","GTEC 1018","Introduction to Vent Systems","Introduction to Vent Systems This course will cover the code requirements and their application to venting systems, their location, sizing and termination. It will also cover how to locate and size air supplies for equipment. "
"17","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"18","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
"19","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","SAFE 1020","Introduction to Confined Space","Introduction to Confined Space The learner is introduced to the basic requirements and procedures involved with confined spaces. The definition and associated hazards of confined space are discussed as well as methods of confined space rescue. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"20","Nova Scotia Community College (NSCC)","Gas Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIAM&pln=GASINSSERV","SAFE 1021","Introduction to Hazard Identification","Introduction to Hazard Identification The learners are introduced to the types of hazards encountered in workplaces and the approach that should be followed when recommending and implementing appropriate controls. Two key elements of Hazard Identification are addressed: Hazard Assessment and Inspection. The Nova Scotia Occupational Health and Safety Act is discussed. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
