"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","COMM 2008","Communication and Portfolio Development","Communication and Portfolio Development"
"2","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","COMP 1030","Introduction to Computer Applications and Databases","Introduction to Computer Applications and Databases"
"3","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 1000","GIS I","GIS I"
"4","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 1006","Geodesy and Data Acquisition","Geodesy and Data Acquisition"
"5","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 1007","Terrain Analysis","Terrain Analysis"
"6","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 1008","Introduction to Remote Sensing","Introduction to Remote Sensing"
"7","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 1009","Introduction to Mapping","Introduction to Mapping"
"8","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 1010","Web GIS","Web GIS"
"9","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 2000","GIS II","GIS II"
"10","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 2001","Open Source GIS","Open Source GIS"
"11","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 2002","Mobile GIS","Mobile GIS"
"12","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 2005","Geoprocessing and Problem Solving","Geoprocessing and Problem Solving"
"13","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 2006","Environmental Analysis Studio","Environmental Analysis Studio"
"14","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 2007","Introduction to CAD","Introduction to CAD"
"15","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","GIST 2020","Applied Learning","Applied Learning"
"16","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"17","Nova Scotia Community College (NSCC)","Geographic Information Systems Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=GIST&pln=GEOINFSYT","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
