"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","ANAP 1003","Anatomy and Physiology I","Anatomy and Physiology I This course is designed to provide the learner with an understanding of the anatomy and physiology of the human body. The introduction will cover the chemical and cellular basis of life, cells, metabolism, and tissues. The systems that will be focused on in this course are: integumentary, muscular, skeletal, cardiovascular, blood, and blood forming organs. "
"2","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","ANAP 2003","Anatomy and Physiology II","Anatomy and Physiology II This course is a continuation of ANAP 1003 (Anatomy and Physiology I) and is designed to provide the learner with an understanding of human anatomy and physiology as it pertains to the following body systems: lymphatic and immune, respiratory, urinary and fluid/electrolytes, digestive and nutrition, male and female reproductive, obstetrical, neonatology, special senses (eye and ear), endocrine, and nervous.. "
"3","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","COMP 2008","Database Management","Database Management This course will enable learners to determine basic concepts and principles of database design and management. The focus of this course will be the analysis and interpretation of database tables and acquiring the skills to modify, sort and filter existing database structures and records using Microsoft Access. The learner will learn to compose selected queries and generate forms/reports applicable to the health information workplace. "
"4","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","COMP 2112","Applied Spreadsheets","Applied Spreadsheets This course introduces the student to electronic spreadsheets. Basic formulae and functions will be used to perform calculations on the spreadsheet data as well as applying formatting skills to enhance the appearance and clarity of printed spreadsheets and reports. Students will also learn to correct common errors, and to utilize sorting and filtering functions to increase efficiency.This course cannot be used to fulfill an elective requirement for students in Business Administration. "
"5","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 1000","Clinical Pathology for Health Information Management I","Clinical Pathology for Health Information Management I This course will take a systemic approach to clinical pathology and examine the diseases affecting the various systems of the body as studied in ANAP I. Signs and symptoms, etiology, diagnostics, interventions (including Pharmacology), and prognosis for various disorders are emphasized. "
"6","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 1002","Communication for Community Development and Health","Communication for Community Development and Health This introductory course develops communication skills that support study at the post-secondary level and that will meet the demands of the Healthcare industry. Learners will demonstrate skills in essay development, grammatically correct writing techniques, while applying the proper formatting for referencing and citations. "
"7","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 1004","Organization of Canadian Health Care","Organization of Canadian Health Care This course provides an overview of the organization of the Canadian health care system. The Canadian hospital structure is covered along with health insurance and government funding of health care. Learners will gain an understanding of the ethical, social, political and legislative framework in which they will assume their roles. Issues surrounding documentation of health information will be examined. "
"8","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 1005","Medical Terminology I","Medical Terminology I Learners will begin this course with an introduction to the components of medical words, how to analyse words using roots, prefixes, and suffixes, how to spell, define, pronounce, and apply medical terms that relate to specific body systems as studied in ANAP 1003. Common disease terms will be included along with abbreviations, diagnostic tests, clinical procedures, and therapies. "
"9","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 1007","Coding and Classification Systems I","Coding and Classification Systems I Learners will be introduced to classification, terminology systems, and data reporting to participate in the decision-making process in healthcare. This course begins the progressive, in-depth training on ICD-10-CA and CCI. The knowledge of a classification system and standards allows for an understanding of changes, updates, and mapping requirements. It is transferrable to terminologies as well. An emphasis will be placed on out-patient coding. "
"10","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 1008","Introduction to Health Information Management Practicum","Introduction to Health Information Management Practicum This practicum will provide the learner with an introduction to patient registration, registration systems and the flow of patient information and its documentation through the healthcare facility. It will also reinforce the need for patient confidentially, privacy and information security. "
"11","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 1009","Health Information Management I","Health Information Management I This introductory course will provide the learner with study in three areas of health information management competency: professional behaviour, ethics, and values of a health information management professional; the concepts, principles, and application of the rights and obligations related to access, privacy, and confidentiality of health information; and record management functions in all levels of healthcare. An introduction to statistics is included. "
"12","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 1010","Health Information Management Practicum I","Health Information Management Practicum I This practicum will include coding/classification work and on site observation/project work in an accredited urban or rural healthcare facility, under the supervision of a qualified health information manager. The intent of the practicum is to provide the learner with the opportunity to apply knowledge and skills in preparation for active participation in the health information management profession. "
"13","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 2000","Clinical Pathology for Health Information Management II","Clinical Pathology for Health Information Management II This course is a continuation of the Clinical Pathology 1 and will take a systemic approach to clinical pathology and examine the diseases affecting the various systems of the body as studied in ANAP II. The signs and symptoms, etiology, diagnostics, interventions (including pharmacology), and prognosis for various disorders are emphasized. "
"14","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 2002","Communicating for the HIM Professional","Communicating for the HIM Professional This course continues the development of the communication required to meet the demands of the Health Information Manager. Learners will demonstrate critical thinking and problem solving skills as they create reports related to the HI Manager’s role in record management, information technology procurement, systems maintenance and evaluation, and project management. "
"15","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 2004","Health Law","Health Law Learners will learn about health law as it applies to health information managers, legislation that governs health care providers, health facilities and agencies. There will be special emphasis on confidentiality, privacy, security, privacy impact analysis, risk management and risk analysis. "
"16","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 2005","Medical Terminology II","Medical Terminology II This course builds on the knowledge gained in HIMP 1005 (Medical Terminology I)and learners will apply medical words that relate to specific body systems as studied in ANAP 2003 (Anatomy and Physiology II). Common disease terms will be included along with abbreviations, diagnostic tests, clinical procedures, and various therapies. "
"17","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 2007","Coding and Classification Systems II","Coding and Classification Systems II This course is a continuation of Coding and Classification Systems I in which there will be an intermediate level of training on ICD-1-CA and CCI. Learning will move from outpatient coding to inpatient coding. "
"18","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 2009","Health Information Management II","Health Information Management II In this course, learners will be presented with concepts and theories for data management, data quality, and the uses for data required by the healthcare industry. Data standards and the internal, external, and governing agencies that establish and maintain data standards will also be discussed. "
"19","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 2011","Health Statistics","Health Statistics Learners will explore the process of collecting, organizing, computing, analyzing, and interpreting numerical data for decision making relevant to health information. The Health Information Management professional must be able to respond to queries, anticipate types of information needed, identify appropriate sources of data, understand limitations of data, and have sufficient skills to use software packages for analysis and presentation. "
"20","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 2012","Electronic Health Record","Electronic Health Record This course will help the learner understand the underlying concepts for the electronic health record and how various types of information systems used in healthcare must interact to securely exchange health information. "
"21","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 2013","Project Management and Teamwork","Project Management and Teamwork This course aids the learner in understanding the objectives and practices associated with project management. Learners will use team work principles to develop knowledge and skill in this area. They will develop an understanding of team processes, how teams grow and develop to get work done in organizations. "
"22","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 2014","Epidemiology","Epidemiology Epidemiology is the study of factors affecting health and illness in populations, and serves as the foundation of the logic of cause and effect patterns of disease, treatment interventions made in the interest of public health and predictive models for preventive medicine. It is fundamental to evidence-based medicine for identifying risk factors for disease and determining optimal treatment approaches to clinical practice. Epidemiology involves study design, data collection and analysis including the development of statistical models to test hypotheses and the documentation and presentation of results. "
"23","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 3007","Coding and Classification Systems III","Coding and Classification Systems III This course builds on the concepts learned in Coding and Classification Systems I and II. Learners will gain additional theory and practice in ICD-10-CA and CCI as well as gain knowledge of different classification and abstracting systems in Canada, e.g. SNOMED, DSM, and ICD-9, and ICD-O. "
"24","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 3009","Health Information Management III","Health Information Management III This advanced course will build on concepts learned in HIM I and II. Learners will develop analytical and statistical skills to extract and analyze data from multiple sources for presentation and reporting purposes. A strong foundation in the theory and concept of human resources, departmental management techniques, and risk management will be included. The learner will gain knowledge of management principles. At the completion of this course, the learner will complete a comprehensive exam preparation. "
"25","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 3015","Research Design & Methodology","Research Design & Methodology In this course, learners will study the basic principles and techniques used in conducting research for healthcare. It is important for the HIM professional to realize that the transition from quantitative to qualitative measurement scales is continuous, subject to preference and choice, and dependent on available measurement methods, practical circumstances, purposes of measurement, etc. It is also important for them to realize that recording of organs, disease entities, etc. is the recording of measurements – that may be based on objective methods or human assessment. "
"26","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","HIMP 3030","Health Information Management Senior Practicum","Health Information Management Senior Practicum This seven-week external practicum is the final component of the HIM program. This practicum represents a capstone learning experience and will provide an opportunity for learners to synthesize, integrate, and apply learning in a professional environment. Learners will pursue the practicum experience in health information and health related settings to perform tasks of the entry-level health information professional under the supervision of a CHIMA certified HIM professional. Where possible learners will complete this practicum in three areas: inpatient coding, decision support, and project management. "
"27","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"28","Nova Scotia Community College (NSCC)","Health Information Management (HIM)","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HIMP&pln=HEINFOMAN","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
