"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"2","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","COMM 1228","Communications II","Communications II This course further develops essential communications skills with a focus on basic writing. This course provides the student with the opportunity to develop written work typical of the industry related to their program of study. "
"3","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","HETR 1000","Oxy-Fuel Welding and Metallurgy","Oxy-Fuel Welding and Metallurgy Learners will be introduced to the properties of metals and apply safe work practices while demonstrating welding, cutting, and brazing operations using standard oxygen-acetylene equipment. Learners will also be given the opportunity to solder using flame or radiant heat. "
"4","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","HETR 1010","Wheels, Tires and Rims","Wheels, Tires and Rims Learners will be introduced to the components of the tires, rims and wheels and their functions. Learners will be given the opportunity to perform minor repairs and demonstrate preventative maintenance techniques using operator equipment manuals (OEM and service information documentation. "
"5","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","HETR 1016","Introduction to Electric Welding","Introduction to Electric Welding This course introduces the learner to the fundamental principles of Shielded Metal Arc Welding (SMAW) and Metal Inert Gas Welding (MIG). Learners will be given the opportunity to perform basic welding operations. "
"6","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","HETR 1020","Electrical I","Electrical I Learners will demonstrate electrical/electronic skills as it applies to magnetism, batteries, conventional lighting circuits, wiring harnesses and accessories for Heavy equipment. Learners will test and service electrical components using wiring schematics and diagnostic tooling and operator equipment manuals (OEM). Soldering techniques and circuit repair procedures will also be covered. "
"7","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","HETR 1030","Shop Fundamentals","Shop Fundamentals Learners will be introduced to Workplace Hazardous Material Information System (WHMIS) and Nova Scotia Occupational Health and Safety (NSOHSA) related to the heavy equipment industry and demonstrate safe work practices. Learners will have the opportunity to develop skills in safe shop practices that encompass the use of personal protective equipment, tools and fastening devices, shop equipment, service information documentation, operator equipment manuals (OEM) and the movement of heavy equipment and vehicles. "
"8","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","HETR 1200","Work Experience","Work Experience The work experience component provides the learner with an opportunity to apply new skills and concepts appropriate for entry-level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. "
"9","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","HETR 2010","Engines and Engine Systems I","Engines and Engine Systems I The learners will examine internal combustion engine compression ignition and spark ignition systems as they pertain to two and four stroke engines. Engine system theory will be reinforced through learner demonstration of proper engine rebuilding procedures using service information documentation and operator equipment manuals (OEM). "
"10","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","HETR 2011","Braking Systems I","Braking Systems I In this course, the learner will identify and describe the function of the components of hydraulic and electric brake systems. As well, the learner will demonstrate routine servicing tasks using service information documentation and operator equipment manuals (OEM). "
"11","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","HETR 2012","Braking Systems II","Braking Systems II In this course, learners will be introduced to the function and components of the basic air brake system. The learner will be given the opportunity to demonstrate routine service of this system in accordance with the Canadian Motor Vehicle Safety Standards (FMVSS 121). "
"12","Nova Scotia Community College (NSCC)","Heavy Duty Equipment Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HDEQ&pln=HDEQREPAIR","HETR 2030","Hydraulics I","Hydraulics I In this course the learners will be introduced to the principles of hydraulics as they relate to heavy equipment hydraulic systems. Learners will be given the opportunity to diagnosis and repair hydraulic systems using service information documentation and operator equipment manuals (OEM). Various hydraulic training aids will be used as well as on actual equipment. "
