"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Heavy Equipment Operator","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HEOP&pln=HEAVYEQOP","HEOP 7003","Industrial Safety and Job Readiness","Industrial Safety and Job Readiness This course is designed to show the learners the need for strong safe work practices while operating or working around heavy equipment. The course content exposes learners to actual worksite hazard scenarios and analyses on procedures to prevent and/or correctly deal with these situations. Learners review the ethical and legal issues that they may encounter as a Heavy Equipment Operator (HEO) and will also be introduced to the skills and knowledge required for obtaining employment in the field. "
"2","Nova Scotia Community College (NSCC)","Heavy Equipment Operator","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HEOP&pln=HEAVYEQOP","HEOP 7006","Systems Theory","Systems Theory This course is designed to give learners the necessary understanding of the various systems related to modern heavy equipment and its operation. The course content will enable learners to have a basic, working knowledge of common hand tools, diesel engine operation, hydraulic systems, pneumatic systems, DC electrical systems along with the sequences to which they interact and control each other throughout their operation. Major emphasis is placed on preventive maintenance and the monitoring of these systems from the perspective of a Heavy Equipment Operator (HEO). "
"3","Nova Scotia Community College (NSCC)","Heavy Equipment Operator","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HEOP&pln=HEAVYEQOP","HEOP 7007","Operations Theory","Operations Theory This course is designed to familiarize learners with the various types and components of modern heavy equipment. It will also help to identify key terms and definitions used commonly in this industry to assist in the complex building processes where construction operator’s work with numerous other trades to complete assigned tasks at scheduled intervals. The course content exposes learners to actual site scenarios and existing plans in several stages of completion. This section also enforces the need for operators to be aware of many necessary regulations and guidelines (e.g. separation distances) to reduce the risk of environmental and labour fines to the developer and employer. "
"4","Nova Scotia Community College (NSCC)","Heavy Equipment Operator","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HEOP&pln=HEAVYEQOP","HEOP 7008","Operations Practical","Operations Practical This course is designed to familiarize learners in the hands-on safe operation of heavy equipment. In this component, learners will take their previous theoretical training and apply it in a practical, industry-like setting where all workplace rules, regulations and policies are strictly enforced. It will also help in the identification of the many key terms and definitions taught in the classroom. As learners are assisted in accomplishing the plans and theory, they will have a broader understanding of the responsibility and dedication necessary to become successful in this field. The course content exposes learners to actual site scenarios and existing plans in several stages of completion. This section also enforces the need for operators to be aware of many necessary regulations and guidelines. "
"5","Nova Scotia Community College (NSCC)","Heavy Equipment Operator","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HEOP&pln=HEAVYEQOP","HEOP 7009","Work Experience","Work Experience This course is designed to expose learners to the actual working industry and the many components of it. By working on actual job sites, they will see a variety of tasks and differing methods of operation. Onsite supervision is a major asset as learners will gain more practical experience and specific task instruction from the employers. "
"6","Nova Scotia Community College (NSCC)","Heavy Equipment Operator","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HEOP&pln=HEAVYEQOP","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"7","Nova Scotia Community College (NSCC)","Heavy Equipment Operator","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HEOP&pln=HEAVYEQOP","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
"8","Nova Scotia Community College (NSCC)","Heavy Equipment Operator","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HEOP&pln=HEAVYEQOP","SAFE 1021","Introduction to Hazard Identification","Introduction to Hazard Identification The learners are introduced to the types of hazards encountered in workplaces and the approach that should be followed when recommending and implementing appropriate controls. Two key elements of Hazard Identification are addressed: Hazard Assessment and Inspection. The Nova Scotia Occupational Health and Safety Act is discussed. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"9","Nova Scotia Community College (NSCC)","Heavy Equipment Operator","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HEOP&pln=HEAVYEQOP","SAFE 1022","Introduction to Fall Arrest and Protection","Introduction to Fall Arrest and Protection The learner is introduced to fall protection, fall prevention and fall arrest concepts and responsibilities at the workplace. Guardrails, travel restraints, roof work, fall arrest components will be discussed and the learner will be given the opportunity to demonstrate the use of selected equipment. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"10","Nova Scotia Community College (NSCC)","Heavy Equipment Operator","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HEOP&pln=HEAVYEQOP","SAFE 1023","Introduction to Lock Out/Tag Out","Introduction to Lock Out/Tag Out Lock-out Tag Out introduces the learner to the hazards related to energized systems and procedures to ensure worker safety. Related legislation and risk management is discussed and the learner is exposed to the various types of lock-out devices. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
