"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Heritage Carpentry","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HCAR&pln=HERCARPENT","CARP 1010","Construction Safety","Construction Safety This course is designed to provide an overview of the Occupational Health and Safety Act (OHSA) as applied to the carpentry trade as well as the knowledge and skills that will allow the learners to work safely. This course includes Workplace Hazardous Material Information System (WHMIS) and construction-specific safety regulations (fall protection, scaffolding). This course emphasizes the need to wear personal protection equipment and the importance of safe use and maintenance of equipment. "
"2","Nova Scotia Community College (NSCC)","Heritage Carpentry","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HCAR&pln=HERCARPENT","CARP 1011","Tools I (Hand Tools)","Tools I (Hand Tools) This course is designed to teach the selection, safe use and care for a wide-variety of hand tools and non-powered equipment. Also included will be the use of fasteners and wood joints as used to securely join materials in carpentry projects. The application of safe work habits and good housekeeping in a workshop setting will be included. "
"3","Nova Scotia Community College (NSCC)","Heritage Carpentry","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HCAR&pln=HERCARPENT","CARP 1012","Tools II (Portable Power Tools)","Tools II (Portable Power Tools) This course is designed to teach the safe operation and maintenance of common portable power tools utilized in the carpentry trade. "
"4","Nova Scotia Community College (NSCC)","Heritage Carpentry","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HCAR&pln=HERCARPENT","CARP 1013","Foundations I (Site Layout)","Foundations I (Site Layout) This course is designed to include the fundamental principles of site layout, the theory of basic footing forms and foundations. Safe excavation practices will be emphasized and covered in detail. "
"5","Nova Scotia Community College (NSCC)","Heritage Carpentry","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HCAR&pln=HERCARPENT","CARP 1016","Foundations II (Forms and Footings)","Foundations II (Forms and Footings) This course is designed to introduce basic footing forms and theory of foundations. Building on CARP 1016 (Foundations I (Site Layout)), this course will examine form construction and estimation of quantities is included. Energy efficient principles will be discussed. "
"6","Nova Scotia Community College (NSCC)","Heritage Carpentry","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HCAR&pln=HERCARPENT","CARP 1017","Tools III (Stationary Power Tools)","Tools III (Stationary Power Tools) This course is designed to cover the safe and efficient operation of the stationary power tools used in the carpentry trade. Learners will be evaluated on safe practices and accuracy in the use of this equipment. "
"7","Nova Scotia Community College (NSCC)","Heritage Carpentry","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HCAR&pln=HERCARPENT","CARP 1023","Construction Mathematics and Estimating I","Construction Mathematics and Estimating I This course is designed to reinforce basic mathematical skills and introduce mathematical concepts and operations used in the construction trades. Course material provides a basic and broad overview of estimating materials. The necessary calculations will be introduced as the course progresses. "
"8","Nova Scotia Community College (NSCC)","Heritage Carpentry","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HCAR&pln=HERCARPENT","CARP 1100","Work Experience I","Work Experience I The work experience component provides the learner with an opportunity to apply new skills and concepts appropriate for entry-level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. "
"9","Nova Scotia Community College (NSCC)","Heritage Carpentry","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HCAR&pln=HERCARPENT","CARP 1201","Framing I","Framing I This course is designed to enable the learner to layout and assemble floor, deck, and wall systems. Energy efficient principles will be discussed. "
"10","Nova Scotia Community College (NSCC)","Heritage Carpentry","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HCAR&pln=HERCARPENT","CARP 1202","Framing II","Framing II In this course, the learner is provided with the theory and practical experience required to layout and frame and interior partitions. Learners will become familiar with procedures for both loadbearing and nonloadbearing walls. An introduction to roof framing systems is also provided. "
