"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Horticulture and Landscape Technology - Operations Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTOPERAT","HGRO 1100","Work Experience","Work Experience The work experience component provides the learner with an opportunity to apply skills and concepts appropriate for entry level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. "
"2","Nova Scotia Community College (NSCC)","Horticulture and Landscape Technology - Operations Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTOPERAT","HGRO 3002","Propagation I","Propagation I This course introduces learners to the reproduction of woody and herbaceous plant material, focusing on developing various practical and technical skills applicable in the greenhouse and nursery industries. The course uses the Canadian Standards for Nursery Stock (Canadian Nursery Landscape Association) for the production of greenhouse and nursery stock. "
"3","Nova Scotia Community College (NSCC)","Horticulture and Landscape Technology - Operations Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTOPERAT","HGRO 4001","Propagation II","Propagation II This course focuses on specialized propagation methods for woody and herbaceous plant material. Technical skills developed during the course will use the Canadian Standard for Nursery Stock for the production of greenhouse and nursery stock for winter and spring propagation. "
"4","Nova Scotia Community College (NSCC)","Horticulture and Landscape Technology - Operations Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTOPERAT","HLAN 3004","Landscape Plant Materials II","Landscape Plant Materials II The focus of Landscape Plant Materials II is on identifying plant material in the autumn season using skills acquired in Landscape Plant Materials I and the universal language of Botanical Latin. Learners will be exposed to specific plant species, cultivar and variety. All plant material will be researched as they relate to family organization and their relationship with other plant communities. "
"5","Nova Scotia Community College (NSCC)","Horticulture and Landscape Technology - Operations Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTOPERAT","HLAN 4003","Plants in the Landscape","Plants in the Landscape Plants in the Landscape focuses on native plants and their allies in the natural environment. Emphasis is on recognizing dormant plants building on skills developed in Horticulture Science and Landscape Plant Materials I and II. "
"6","Nova Scotia Community College (NSCC)","Horticulture and Landscape Technology - Operations Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTOPERAT","HLTG 1005","Research, Practice and Application","Research, Practice and Application This course will allow learners to manage specific Horticulture Operations and/or Landscape environments at Kingstec Campus or in the community. The course incorporates conducting practical experiments, conducting applied research, compiling data, managing the project, consulting with industry and developing supporting rationale to create the formal written and oral project results. The culmination of this project is to present research findings in a public forum. "
"7","Nova Scotia Community College (NSCC)","Horticulture and Landscape Technology - Operations Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTOPERAT","HLTG 1006","Landscape Analysis and Planning","Landscape Analysis and Planning The course is designed to provide a basic understanding of site analysis, customer survey and landscape planning strategies, exploring topics such as scale, plant symbols, plan layout and drafting tools. Learners will understand and practice manual drafting and computer-aided design (CAD) as they relate to the landscape planning process using established landscape plan protocol. "
"8","Nova Scotia Community College (NSCC)","Horticulture and Landscape Technology - Operations Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTOPERAT","HLTG 1014","Site and Environment Management","Site and Environment Management This course is designed to provide an opportunity for learners to relate their skills to managing a greenhouse or a nursery site. By developing inputs and ensuring sustainable plant growth, learners will further develop independent learning, self-discovery and practice their project management skills to industry standard. As the green industry moves to environmental sustainability and increased regulatory practices, this course will cover strategies and creative solutions that reflect the fundamental principles of sustainable horticulture and will be demonstrated within learner’s project plans. "
"9","Nova Scotia Community College (NSCC)","Horticulture and Landscape Technology - Operations Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTOPERAT","HLTG 2020","Plant Production and Retail Principles III","Plant Production and Retail Principles III Building on the skills first covered in Plant Production and Retail Principles I and II, learners will manage the green areas and oversee the semester’s retail sales event, which involves mentoring year one learners and directing the event from set up through to tear down. "
"10","Nova Scotia Community College (NSCC)","Horticulture and Landscape Technology - Operations Concentration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=HLTG&pln=HORTOPERAT","HLTG 3006","Operations Production and Maintenance I","Operations Production and Maintenance I This course provides learners with practical experience in cold frame and cool house production. Kingstec’s living lab will provide opportunities to work with a wide range of plant material throughout the semester. Hardy and tropical plants will be maintained within our extensive nursery facilities. "
