"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","COMM 1245","Technical Communications I","Technical Communications I This course introduces students to the writing, oral presentation, critical thinking and interpersonal communications skills required of technical professionals in the workplace. The fundamentals of clear, concise writing and presenting will be reviewed and refined. Experience will be gained in organizing, writing and presenting technical information. In addition, career development skills and portfolio preparation will be discussed. There will be several opportunities, through assignments and lab work, to develop portfolio components. Students will learn how to collect appropriate work samples and documentation from other courses in the program as well as from other sources. "
"2","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","COMM 2245","Technical Communications II","Technical Communications II This course focuses on the interpersonal, written and oral technical communication skills necessary for working independently and as part of a team in a technical environment. Further skill development in written forms of technical documentation required for the workplace as well as report creation and oral presentation skills will continue to be emphasized. Team building principles, group dynamics and collaborative writing will be discussed. Students will participate in meetings and take responsibilities in a group project from its inception to completion and evaluation. Students will continue to enhance and apply their research skills and project management principles will also be introduced. Successful job interviews and the portfolio will be discussed. "
"3","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 1003","Work Measurement","Work Measurement In this course, learners will demonstrate and practice the techniques of motion and time study for conducting job analysis, work sampling, scheduling and measuring work performance in the management of work systems. Work measurement is one of the fundamental skills in the field of industrial engineering technology, and is a critical data gathering technique for process improvement. The skills learned in this course will be leveraged throughout the program in reducing costs, improving work flow and enriching working environment. "
"4","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 1004","Engineering Economics","Engineering Economics The learner will study aspects of finance, economics, and accounting needed for decision making in a business environment. The course will provide the learner with the skills to make accurate assessments from a financial, global and sustainable point of view. Concepts include interest rates, time value of money, cash flow analysis, cost benefit, comparison methods, inflation, depreciation and financial accounting. "
"5","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 1005","Engineering Graphics/AutoCAD","Engineering Graphics/AutoCAD This one-semester course provides the learner with an introduction to AutoCAD. The learner will be provided with the skills necessary to create and interpret engineering drawings and familiarizes the learner with industry drawing standards. "
"6","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 1011","Project Based Learning","Project Based Learning Project based learning is an integral part of the industrial engineering technology program. This learning experience may represent cooperation between a project sponsor and the College or a project developed in the classroom, where learners and faculty determine scope. Projects are allocated individually (or within groups) under the supervision of instructors. Learners typically work on their projects at the College and utilize the simulation, sustainability, or other software available at the College. "
"7","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 1023","Statistical Analysis I","Statistical Analysis I This course will cover the many tools and techniques used in quantitative statistical analysis. Topics include correlation and regression probability, distributions, hypothesis testing and several others. The application of statistical methods is a skill industrial engineering learners will practice extensively in their future work environment, as they gather information and evaluate for decision making. "
"8","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 1024","Project Management","Project Management This course will provide the learner with skills to manage a project in a dynamic business environment. Learners will review the components of a project that require organization and planning prior to execution. They will also manage a project during the course to experience the challenges and opportunities that transpire during project implementation. The project management experience will enable them to not only plan, but also monitor progress, track changes and report status updates throughout implementation. "
"9","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 1025","Operations Management I","Operations Management I In this course, learners will be introduced to concept of supply chain management. The integrated links across the supply chain that impact forecasting, operations, inventory, material and resource requirements in an organization will be evaluated. The learner will analyse the relationships between the organizational strategy and operations management through logistics, purchasing, and resourcing. "
"10","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2001","Business/Industry Project I","Business/Industry Project I In this course learners will work with an industry partner to facilitate a project applying industrial engineering concepts and skills. To succeed in these projects, learners will acquire planning and scheduling skills and the knowledge of project management and team building. Financial considerations including time value of money, cash flow and estimating are also included. In consultation with a technical supervisor, the learner will use problem solving and process improvement techniques. "
"11","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2002","Facility Design and Implementation","Facility Design and Implementation This course will discuss the fundamental principles of facilities design, process and plant layout and material flow. The impacts of flow and efficiency processes related to facility layout and location will be analysed. The course will emphasize use of drawing aids such as AutoCAD and MS Visio in the techniques. Qualitative techniques and methodologies for analysis and evaluation will be utilized. "
"12","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2003","Change Management and Facilitation","Change Management and Facilitation This course will complement the IET skill set by presenting insights into human behaviour components of an organization. These concepts are needed to mobilize and sustain change within an organization. The challenges and opportunities for positively influencing change in an organization are studied in this course. Theories will be studied to understand the different ways in which people experience change. In addition, the course will also explore methods for facilitating discussions, training sessions and implementation of changes in an organization. "
"13","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2004","Process and Production Systems","Process and Production Systems In this course, learners will experience other manufacturing techniques and their application to manufacturing, transportation networks, healthcare and other process related sectors. This course will include topics such as SMED, business process management and Quick Response. "
"14","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2005","Operations Management II","Operations Management II Learners will resolve industrial/manufacturing and business problems through detailed analysis. In this course, learners will continue to delve into operations management and study the integrated links across the supply chain operations. They will apply scientific methods and techniques to help make decisions related to materials and inventory planning, capacity and production planning, logistics, resource scheduling and material handling or transportation that are affected by changes in supply and demand. This course will use operations research to delve into more complex problems of optimizing resource allocation considering cost and schedule. "
"15","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2006","Material Science","Material Science This course will cover the major classifications of materials an Industrial Engineering Technologist may encounter. Learners will study and test materials to deduct conclusions of their physical and mechanical properties. The course will use an equivalent amount of lab time to investigate theories and methods of material science and metrology discussed in lectures. "
"16","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2011","Work Experience","Work Experience Work Experience is an integral part of the industrial engineering technology program. This learning experience may represent cooperation between a project sponsor. Projects are allocated individually (or within groups) under the supervision of instructors. Learners typically work on their projects at the College and utilize the simulation, sustainability, or other software available at the College. "
"17","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2020","LEAN Enterprise and Process Improvement","LEAN Enterprise and Process Improvement In this course, learners will experience LEAN philosophies and their application to manufacturing, transportation networks, healthcare and other process related sectors. Lean will be studied in line with the methodologies used in process improvement. The application of LEAN thinking will prepare the learner for a business environment that is focused on the customer while eliminating waste and adding value. This mindset is critical in today’s competitive, global environment. LEAN has become the bread and butter in today’s industrial engineering environments. Various tools and techniques for defining problems, analyzing data, comparing improvement opportunities and implementing innovative and sustainable solutions are practiced. The learner will develop a process improvement toolkit that can be accessed throughout their industrial engineering technologist career. "
"18","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2021","Business/Industry Project II","Business/Industry Project II Learners will continue working on their chosen senior industry project and monitor their progress by submitting progress reports, participating in progress meeting minutes, and a research journal. They will also use project management tools such as flow charts and Gantt Charts. The project will culminate with a formal technical report and presentation. Workshops and tutorials will be scheduled as required by the learners. "
"19","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2022","Simulation","Simulation This course will use computer-based simulation software to model various industrial issues. Simulation software will be used to analyze process, production, material handling or supply chain issues in manufacturing, healthcare, transportation, food service, or other process-related industries. "
"20","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2024","Manufacturing Processes","Manufacturing Processes This course will involve a high level overview of the various manufacturing processes that industrial engineering technologists will experience. "
"21","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2030","Sustainability Analysis","Sustainability Analysis The course will use sustainability software to interpret the impact of processes on the environmental component of sustainability. A life cycle assessment of a product or service will be analyzed in terms of environmental impact and a checklist of alternative processes will be explored based on ISO 14000 standards. "
"22","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2031","Ergonomics and Risk Management","Ergonomics and Risk Management This course will incorporate both occupational ergonomics and human factors in the design of process, systems, tools and innovations with which people interact. A proactive approach will be taken to assess physical, cognitive, and organizational aspects of occupational ergonomics to the work environment. The impact of human factors in manufacturing, healthcare and other quality processes will be studied. This topic will then focus on the risk management process. Risks will be assessed according to the organizational values, such as health and safety, financial and environmental. Learners will practice techniques for risk assessment and discuss mitigations that may be employed to control employee and organizational exposure to risk. As a component of risk management, the concept of ergonomics and its impact on employee safety, health and productivity will be studied at length. "
"23","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","IETG 2032","Quality and Statistical Analysis","Quality and Statistical Analysis This course will introduce learners to quality management in production or service oriented organizations. The learner will study the fundamental quality management principles. It will also review the impact to customer through innovation and strategy of organizational quality. The relevance of teamwork to quality is explored. Various tools and techniques for defining problems, analyzing, comparing improvement opportunities and implementing innovative and sustainable solutions are practiced using statistical tools and techniques learned from Statistical Analysis I. These statistical tools will involve in-depth learning of the statistical process control methods, design of experiment techniques, practical application of correlation and regression analysis and other non-parametric statistical methods of analysis. "
"24","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","MATH 1055","Calculus l","Calculus l The course introduces learners to the study of differential and integral calculus. Differentiation topics include limits, slope of the tangent to a curve, differentiation by the delta process, derivatives of polynomials, applications involving derivatives, finding extrema and curve sketching. Integration topics include the concept of integrating polynomial functions and numerically approximating the area under a curve. "
"25","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","MATH 1070","Applied Math for Engineering Technology","Applied Math for Engineering Technology This course provides students with a basic understanding of applied mathematical principles for use by technicians and technology programs. Applied Math l is designed to cover basic algebra, geometry, functional notation, linear equations, quadratic equations, trigonometric functions, exponents, logarithms, complex numbers, analytic geometry and systems of equations. The use of computer software as a mathematical tool will be explored. Students will be encouraged to maintain a math journal that may become part of their personal College portfolio. "
"26","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"27","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
"28","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","SAFE 1020","Introduction to Confined Space","Introduction to Confined Space The learner is introduced to the basic requirements and procedures involved with confined spaces. The definition and associated hazards of confined space are discussed as well as methods of confined space rescue. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"29","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","SAFE 1021","Introduction to Hazard Identification","Introduction to Hazard Identification The learners are introduced to the types of hazards encountered in workplaces and the approach that should be followed when recommending and implementing appropriate controls. Two key elements of Hazard Identification are addressed: Hazard Assessment and Inspection. The Nova Scotia Occupational Health and Safety Act is discussed. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"30","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","SAFE 1022","Introduction to Fall Arrest and Protection","Introduction to Fall Arrest and Protection The learner is introduced to fall protection, fall prevention and fall arrest concepts and responsibilities at the workplace. Guardrails, travel restraints, roof work, fall arrest components will be discussed and the learner will be given the opportunity to demonstrate the use of selected equipment. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"31","Nova Scotia Community College (NSCC)","Industrial Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=IETG&pln=INDENGTECH","SAFE 1023","Introduction to Lock Out/Tag Out","Introduction to Lock Out/Tag Out Lock-out Tag Out introduces the learner to the hazards related to energized systems and procedures to ensure worker safety. Related legislation and risk management is discussed and the learner is exposed to the various types of lock-out devices. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
