"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Industrial Instrumentation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDI&pln=INDINSTRU","COMM 1245","Technical Communications I","Technical Communications I This course introduces students to the writing, oral presentation, critical thinking and interpersonal communications skills required of technical professionals in the workplace. The fundamentals of clear, concise writing and presenting will be reviewed and refined. Experience will be gained in organizing, writing and presenting technical information. In addition, career development skills and portfolio preparation will be discussed. There will be several opportunities, through assignments and lab work, to develop portfolio components. Students will learn how to collect appropriate work samples and documentation from other courses in the program as well as from other sources. "
"2","Nova Scotia Community College (NSCC)","Industrial Instrumentation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDI&pln=INDINSTRU","COMM 2245","Technical Communications II","Technical Communications II This course focuses on the interpersonal, written and oral technical communication skills necessary for working independently and as part of a team in a technical environment. Further skill development in written forms of technical documentation required for the workplace as well as report creation and oral presentation skills will continue to be emphasized. Team building principles, group dynamics and collaborative writing will be discussed. Students will participate in meetings and take responsibilities in a group project from its inception to completion and evaluation. Students will continue to enhance and apply their research skills and project management principles will also be introduced. Successful job interviews and the portfolio will be discussed. "
"3","Nova Scotia Community College (NSCC)","Industrial Instrumentation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDI&pln=INDINSTRU","IITN 1000","Physics I","Physics I In order to measure and control process variables, the technician must have an appreciation for the physical properties of these variables. The technician must also be familiar with the mechanics used in the various types of sensors and transducers. This course introduces physics principles and their application in the context of instrumentation. The course concentrates on the skills that will allow the learner to understand physical concepts and use this understanding to solve equations and formulae encountered in industry. Content is comprehensive to give learners a good foundation of physics, as applied in the technician's environment. "
"4","Nova Scotia Community College (NSCC)","Industrial Instrumentation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDI&pln=INDINSTRU","IITN 1004","Industrial Electronic Fundamentals","Industrial Electronic Fundamentals Today most industrial instrumentation equipment is electronic or microprocessor based. In order to properly install and maintain this equipment, an Instrumentation Technician must have a basic knowledge of various electronic devices, circuits and digital logic gates. This course covers the operation and application of various electronic devices and circuits used in measurement and control equipment. Learners will apply their knowledge of electronics to understand the operation of components in metering circuits, bridge networks and solid state switching devices used in measurement and control circuits. Circuit analysis is performed using a combination of electronic trainers and software programs. Emphasis is placed on power supplies, filters and regulators. "
"5","Nova Scotia Community College (NSCC)","Industrial Instrumentation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDI&pln=INDINSTRU","IITN 1005","Wiring Methods I","Wiring Methods I In this course learners will be introduced to wiring systems as they apply to an industrial setting. Course topics include cable tray and conduits, single and multi-conductor cables, cable glanding, terminations, wiring identification. Theory will be reinforced through practical applications in the electrical shop during the course and projects throughout the entire program. Also included is the proper use of High Voltage safety personal protective equipment and safe work practices. The Canadian Electrical Code will be emphasized for all course material. "
"6","Nova Scotia Community College (NSCC)","Industrial Instrumentation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDI&pln=INDINSTRU","IITN 1008","Physics II","Physics II In this course, learners will improve physics skills to the level required by technicians entering the workforce in the instrumentation and electrical fields. The course concentrates on the skills that will allow learners to understand physical concepts and use this understanding to solve equations and formulae encountered in industry. Content is comprehensive to give learners a good understanding of physics, as it applies in a technician's environment. "
"7","Nova Scotia Community College (NSCC)","Industrial Instrumentation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDI&pln=INDINSTRU","IITN 1011","DC Fundamentals","DC Fundamentals Instrumentation Technicians must have a solid background in electrical theory in order to properly install and troubleshoot instruments and control loops. Many instrumentation circuits are interlocked with electrical equipment. This course is designed to introduce learners to the concepts and theories of electricity and DC circuits. The course introduces basic electricity, wire sizing, electrical quantities and Ohm’s Law, series and parallel resistive direct current circuits. Along with electrical theory, learners are introduced to electrical measuring instruments and use various lab projects to confirm theories and concepts. Safety is paramount in this course and is emphasized throughout. "
"8","Nova Scotia Community College (NSCC)","Industrial Instrumentation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDI&pln=INDINSTRU","IITN 1012","AC Fundamentals","AC Fundamentals Instrumentation Technicians must have a solid background in electrical theory in order to properly install and troubleshoot instruments and control loops. Many instrumentation circuits are interlocked with electrical equipment. This course is designed as the second building block in electrical theory following on from DC circuits. Learners will study the concepts of AC electricity and apply them to resistive, inductive and capacitive circuits. The course also covers three phase circuits, including wye and delta connections, power and power factor as well as calculations involving three phase quantities. Similar to DC circuits, the learner will work on lab projects to reinforce theoretical concepts and safety is emphasized throughout. "
"9","Nova Scotia Community College (NSCC)","Industrial Instrumentation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDI&pln=INDINSTRU","IITN 1101","Introduction to Instrumentation","Introduction to Instrumentation This course gives the learner the basic concepts and terminology used in industrial instrumentation. It is designed to introduce learners to the concepts of process measurement and control as they apply to instrumentation. Material covers terminology, process variables, standard signals, standard symbols, on-off control, feedback, components of a control loop and types of final control devices. "
"10","Nova Scotia Community College (NSCC)","Industrial Instrumentation","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INDI&pln=INDINSTRU","IITN 1102","Tools, Fasteners & Fabrication","Tools, Fasteners & Fabrication Learners will be given instruction in the use of cutting and non-cutting hand tools, precision and semi-precision measuring devices, and layout procedures. Learners will display the ability to use semi-precision and precision tools to measure and layout specific projects as designated by the instructor. Measurements and projects will focus on tolerances, fits, and limits. Learners will also learn attributes and designations of various fasteners and screw threads utilized in the industry. "
