"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","COMM 2215","Communications","Communications"
"2","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","ENTR 4000","Applied Entrepreneurship","Applied Entrepreneurship This course is designed so students can apply the basic principles of accounting, management, marketing and finance to the establishment and development of a small business. Emphasis is on planning and future management of the small business, including topics such as starting new firms, purchasing existing firms, franchising, entrepreneurship, personnel, and marketing. Students will use various methods including research, case analysis, and interviews to acquire the necessary skills and techniques to develop a business plan. Co-requisites can be taken with or prior to taking Applied Entrepreneurship. "
"3","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","FITT 4102","International Marketing","International Marketing The International Marketing course guides the student through the steps needed to prepare for selling products and services to the international customer. A review of the principles of marketing, market research, as well as political, legal, regulatory and cultural considerations relating to international marketing is included. Pricing, promotional and e-marketing strategies as they relate to the international market are also discussed. One of the most important tools for achieving international success is a well-researched and evolving international marketing plan. This course will assist the student to prepare an effective international marketing plan for a customer or organization. "
"4","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","FITT 4103","International Trade Finance","International Trade Finance Through the study of International Trade Finance, the student will develop the practical skills needed by world-class trade professionals to handle the financing aspects of international trade transactions. "
"5","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","FITT 4104","Global Supply Chain Management","Global Supply Chain Management This course focuses on the essential basics of global supply chain management. The student will understand the importance of supply chain management in the success of all international trade ventures, including the exporting and importing of raw materials and finished products. Standard trade documentation and Incoterms are also covered. As well as the principles for managing production, inventory, delivery and returns efficiently and cost effectively. Methods to reduce supply chain risk and enhance performance are also included. "
"6","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","FITT 4105","International Market Entry and Distribution","International Market Entry and Distribution This course focuses on how to evaluate market entry strategies and how to select a strategy that is appropriate to the proposed venture(s). While examining possible entry strategies, students will develop a better understanding of the roles that investment and partnering play in facilitating international trade activities. "
"7","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","FITT 4106","International Trade Research","International Trade Research This course describes the essential basics of international trade research. It explains the importance of research in the success of all international trade ventures, including exporting, importing and foreign direct investments. The use of research to develop intelligence about international markets and competing organizations is also covered. The various stages of a professional research process are discussed in some depth, including: defining research objectives; creating a research brief; selecting research design and data sources; collecting the information; analyzing and organizing the information to address the research objectives and effectively communicating the results. "
"8","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","FITT 4107","Legal Aspects of International Trade","Legal Aspects of International Trade This course reviews the basic legal principles applicable to any businessperson or corporation carrying on the many differing activities that comprise a Canadian business venture. Included is an overview of the Canadian legal system, Canadian laws of contract, intellectual property, product liability, and sale of goods. It also addresses business transactions in an international setting including the resolution of international disputes, legal aspects of carriage of goods, payment, finance, and export controls. "
"9","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","INTB 3010","World Geography for Business","World Geography for Business This course provides an introduction to physical and human geography in the context of the global business market. The evolving political, economic and social landscape of various regions and countries affect our everyday life today, more than ever before. Driven by transportation advances, fast and easy access to information and technology advances such as e-commerce, competition comes from new areas of our world and is predicted to continue to intensify. Consumer trends circle the globe at lightning speed, and many customers possess impressive world knowledge via overseas travel and online learning options. Global alliances are also becoming more commonplace and are affecting the way businesses operate all over the world. In this course, the learner is required to research countries and regions to better understand the issues that shape their identity and that influence their geographic, political, economic and social relationships. Further study investigates regional and national strengths, sociocultural uniqueness and contemporary issues of significance to the global business professional. "
"10","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","INTB 3050","International Business: Professionalism and Project Management","International Business: Professionalism and Project Management Students in this course will learn about various career options in international business while they apply, enhance and refine team skills and take part in a large project. The semester long project will involve trips to exporting businesses, visits from guest speakers, networking with program alumni and other related activities. Mainly this course focuses on exposing learners to various types of international business and various roles within those businesses while also give participants an opportunity to be exposed to fundamental project planning skills. "
"11","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","INTB 3101","Introduction to International Business","Introduction to International Business This course provides a comprehensive overview of key aspects of global business in the 21st century. It allows the student to understand the key forces driving the international economy and it also provides a basic introduction to the skills required of successful international trade practitioners in today’s global business environment. "
"12","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","INTB 3205","International Business Culture","International Business Culture This course provides learners with an introduction to the cultural diversity of the global marketplace. The course will emphasize the geographical perspective in the investigation and analysis of the major culture realms with the aim of providing learners with key concepts and analytic processes so that they will be able to research potential markets in a cultural context. "
"13","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","INTB 4206","Exporter Support and Online Operations","Exporter Support and Online Operations This course provides learners with a solid introduction to the resources available to help exporters access foreign markets. Learners will also become familiar with new technologies that enable international business website operations and key concepts that support international online financial transactions and e-business. "
"14","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","INTB 5450","Independent Applied Research Lab","Independent Applied Research Lab This course provides the learner with the opportunity to expand his/her skills and knowledge in an area of international business that is of personal interest. The subject matter to be learned is chosen by the learner and agreed upon by the instructor based on the needs of the individual learner. "
"15","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","INTB 5997","Internship","Internship For the learner your Internship experience is an opportunity to put your knowledge and skills to the test and to prove to yourself and your employer(s) that you are a capable and motivated employee. This is your opportunity to demonstrate your skills, knowledge, initiative, attitude, and you willingness to seek out and take advantage of opportunities to learn from your co-workers and supervisors. You are also an ambassador for Nova Scotia Community College and for other students who follow you. The best advertising for the Internship program is a satisfied employer who wants another good Intern just like the last one. "
"16","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","MGMT 3020","Applied Ethical Decision Making","Applied Ethical Decision Making This course introduces the student to the ethical dimensions of decision making. While concentrating on workplace decisions, consideration for personal values and ethics will form a foundation for this course. Four areas of study are: personal values and ethics, business ethics, ethical issues related to the professional area of study, and creating ethical workplace relationships with various stakeholders. There will be an emphasis on the application of theories, concepts and principles to contemporary business issues. Students who successfully complete Applied Ethical Decision Making (MGMT 3020), Business Law (LEGL 2000), and Environmental Sustainability in Business (BUSI 3000) may choose to be exempt from Contemporary Business Issues (BUSI 3005). "
"17","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","MKTG 2015","Professional Selling","Professional Selling The main focus of this course is selling skills which are advantageous in the work force. Many of these skills are introduced through theory and practice. Learners will use these skills in virtually any profession they enter. This course introduces consultative selling techniques to develop strategies and tactics that “get, keep and grow” customers.Learners can receive a certificate from the Canadian Professional Association (CPSA) for successfully completing the “Professional Selling” course, and other specific courses in the Business Administration program. "
"18","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"19","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
"20","Nova Scotia Community College (NSCC)","International Business","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=INTB&pln=INTERBUSIN","SCMA 2000","Procurement and Supply Management","Procurement and Supply Management This course focuses on matters and issues of strategic and tactical importance in procurement. The course explores key business processes that support organizations procurement objectives at both the strategic and tactical level. The course will examine key procurement processes and activities including make-buy decisions, supplier evaluation and selection, price & cost analysis, and eProcurement on the basis of theories, models, and industry practice. The course is designed to expose learners to various fundamental theories, models and ideas and to promote a better understanding of how these theories, models and ideas are applied in actual business situations. "
