"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Law and Security","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LWSC&pln=LAWSECURIT","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"2","Nova Scotia Community College (NSCC)","Law and Security","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LWSC&pln=LAWSECURIT","COMM 1228","Communications II","Communications II This course further develops essential communications skills with a focus on basic writing. This course provides the student with the opportunity to develop written work typical of the industry related to their program of study. "
"3","Nova Scotia Community College (NSCC)","Law and Security","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LWSC&pln=LAWSECURIT","CORR 2004","Canadian Criminal Justice","Canadian Criminal Justice The subject matter addressed includes the justice system’s response from commission of offence through to final disposition, court structures, policing, and the organization of federal and provincial correctional organizations. Also included are historical and background perspectives, issues, trends, and patterns in policing, the courts and in corrections. "
"4","Nova Scotia Community College (NSCC)","Law and Security","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LWSC&pln=LAWSECURIT","PROS 1002","Interpersonal Communication Skills I","Interpersonal Communication Skills I This course is designed to build interpersonal skills. The learner will develop beginning skills in the application of a model to support effective communication in the security setting. Areas to be covered include communication elements, verbal and nonverbal communication. "
"5","Nova Scotia Community College (NSCC)","Law and Security","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LWSC&pln=LAWSECURIT","PROS 1004","Defence Tactics I","Defence Tactics I Defence tactics is a 60-hour course. Training involves one, 2-hour session per week. This course is designed for the learners to develop a basic repertoire of skills and knowledge to evaluate and react to situations, which may require use of force. Principles and tactics taught will allow the learner a clearer understanding of the use of force continuum and, in turn, help to facilitate appropriate perception, evaluation of, and response to subject control problems and physical assaults. The course will cover pressure points, motor points, use of restraint equipment and impact weapons as well as theoretical framework of the PPCT force continuum. A “sound physical health” medical certificate is required. "
"6","Nova Scotia Community College (NSCC)","Law and Security","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LWSC&pln=LAWSECURIT","PROS 1020","Work Experience","Work Experience The learner will be able to demonstrate and practice some of the knowledge and skills learned throughout the program, and at the same time gain valuable experience in a law or security environment. "
"7","Nova Scotia Community College (NSCC)","Law and Security","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LWSC&pln=LAWSECURIT","PROS 1100","Fundamentals of Law and Security","Fundamentals of Law and Security This 60 hour, pre-employment training course is designed to provide the learner with the occupational and behavioural skills and attitudes necessary to function professionally as a security professional in the private security/policing industry. The subjects covered are intended to provide the learner with a sound basis on which to deal with a myriad of on-the-job security responsibilities in an appropriate manner. The course meets and surpasses training standards set by the Canadian General Standards Board Standards for Uniformed Security Guards and Nova Scotia Protective Security Services requirements. "
"8","Nova Scotia Community College (NSCC)","Law and Security","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LWSC&pln=LAWSECURIT","PROS 1101","Interviews and Investigations Techniques","Interviews and Investigations Techniques This 60 hour course is designed to provide the learner with a working knowledge of interviews and investigations in industry. Particular emphasis will be placed on the knowledge and skills necessary to conduct routine security investigations including: informal and formal interviews; collection, labelling, protection, and presentation of evidence; and basic surveillance techniques. A minor criminal investigation and workplace accident scenario will serve as the focal point to develop learner investigative skills. The learner will be required to participate in role-play exercises. "
"9","Nova Scotia Community College (NSCC)","Law and Security","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LWSC&pln=LAWSECURIT","PROS 1104","Physical Security Survey","Physical Security Survey This 60-hour course is designed to familiarize the learner with the knowledge and skills necessary to complete an effective physical security survey. Physical security lighting, perimeter barriers, lock and key control, alarm and access control systems, and an introduction to the Canadian Government Industrial Security Manual will be covered. Learning will be enhanced through a realistic security survey to be conducted by learners working in teams. The goal of risk management is to manage risk effectively at the least possible cost. Before any risk can be eliminated (or reduced) it must be identified. One proven method of accomplishing this task is the security survey. Learner will acquire the knowledge and skills necessary to identify, appraise and reduce risk to property, information and personnel. "
"10","Nova Scotia Community College (NSCC)","Law and Security","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LWSC&pln=LAWSECURIT","PROS 1111","Defensive Driving","Defensive Driving The Canada Safety Council’s Defensive Driving Course has been designed to help you become a better driver. Good reasons to take DDC include: Exit Graduated Licensing; Improve your driving attitude "
