"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Library and Information Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LBTN&pln=LIBINFTECH","ARTS 1040","History of Western Civilization","History of Western Civilization This course introduces students to key developments in the History of Western Civilization while placing western civilization in a broader global perspective that balances the traditional Eurocentric nature. Within an overall context that emphasizes intellectual/philosophical, social, and political developments, the wide range of topics covered include the early civilizations of the Fertile Crescent and the Nile Valley, ancient Greece, the Roman Empire, the rise of Christian Europe, European society in the Middle Ages, the impact of the Age of Exploration, the Renaissance, the Reformation, and the rise of the modern nation state. The course is also intended to help students develop their research and communication skills using both traditional methods and electronic media and to promote confidence in their ability to make effective use of electronic information technology. "
"2","Nova Scotia Community College (NSCC)","Library and Information Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LBTN&pln=LIBINFTECH","ARTS 1060","English Literature","English Literature In this course students will be reading and writing about short fiction and poetry. Most of the stories and poems covered are by classic writers of the genres; some are by beginners or ""fresh faces"" as the text calls them (p. xxviii). The focus of the course is on critical reading and thinking about literature and on developing the writing skills that will allow students to express their ideas and make them better readers. "
"3","Nova Scotia Community College (NSCC)","Library and Information Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LBTN&pln=LIBINFTECH","COMM 1240","Business Communications in Libraries","Business Communications in Libraries This course introduces students to the essentials of business writing and communicating in libraries. Topics include the writing process, correct business formats, English grammar, interpersonal skills, and oral and written presentations. "
"4","Nova Scotia Community College (NSCC)","Library and Information Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LBTN&pln=LIBINFTECH","COMP 2105","Database I","Database I This course introduces the student to the fundamentals of database management including planning, design, creation and modification. Once created, students will add, edit and delete records contained in a database. Students will create queries to obtain specific information from a database, design forms for working with database records, and design reports to print out data in various formats. "
"5","Nova Scotia Community College (NSCC)","Library and Information Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LBTN&pln=LIBINFTECH","COMP 2110","Spreadsheets I","Spreadsheets I This course introduces the student to electronic spreadsheets including their design and creation. Formulae and functions will be used to perform calculations on the spreadsheet data providing business solutions. Students will apply formatting skills to enhance the appearance and clarity of printed spreadsheets as well as using graphs to represent spreadsheet data.This course is accepted toward certification with the Canadian Institute of Bookkeeping (CIB).This course cannot be used to fulfill an elective requirement for students in Office Administration. "
"6","Nova Scotia Community College (NSCC)","Library and Information Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LBTN&pln=LIBINFTECH","COMP 3111","Spreadsheets II","Spreadsheets II Building on the skills acquired in Spreadsheets I, students will use advanced spreadsheet concepts and tools to create spreadsheets for business applications. "
"7","Nova Scotia Community College (NSCC)","Library and Information Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LBTN&pln=LIBINFTECH","INFM 1000","Records Management I","Records Management I An organization's records can include a variety of forms including paper, electronic and optical. Efficient records management provides accurate and timely information for making effective business decisions. Records Management I is the study of the management of the processes, equipment, computer software, and personnel involved with these decisions. "
"8","Nova Scotia Community College (NSCC)","Library and Information Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LBTN&pln=LIBINFTECH","INFM 2000","Records Management II","Records Management II The efficiency of an organization depends on effective records management systems. Records Management II focuses on the creation, control, protection and disposition of information. In Records Management II, students apply the theories introduced in Records Management I. "
"9","Nova Scotia Community College (NSCC)","Library and Information Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LBTN&pln=LIBINFTECH","LIBR 1000","Introduction to Libraries","Introduction to Libraries This course introduces students to the history and development of libraries and to the various types of libraries: their goals, objectives, organization and services as well as the role of the library technician in these libraries. Learners are introduced to the professional organizations for library workers. Learners will also become familiar with traditional issues that have always affected libraries as well as current trends and new issues libraries face today. "
"10","Nova Scotia Community College (NSCC)","Library and Information Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=LBTN&pln=LIBINFTECH","LIBR 1002","Acquisition and Circulation Procedures","Acquisition and Circulation Procedures This course looks at library collections-how they are acquired, maintained, accessed and controlled. Students will become familiar with the basics of how libraries develop, acquire, track and maintain physical and digital collections and the theories and values that underlie library collection provision. "
