"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"2","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","COMM 1228","Communications II","Communications II This course further develops essential communications skills with a focus on basic writing. This course provides the student with the opportunity to develop written work typical of the industry related to their program of study. "
"3","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1000","General Safety","General Safety This course will introduce learners to safety practices relevant to the Machine Shop including general shop safety, safe rigging practices, WHMIS and Occupational Health and Safety. Upon completion of this course, learners will be able to identify common machine shop hazards, perform safe rigging for the machine shop, and understand their rights in safety matters. "
"4","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1003","Basic Sawing and Grinding Operations","Basic Sawing and Grinding Operations This course will cover the theory and use of the common machine shop tools such as the power cut-off saws, band saws, grinders, and hand presses and the safe methods of use for these machines and their attachments. Learners will also learn how to adjust, repair and maintain these machines and their accessories. "
"5","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1004","Drilling Operations","Drilling Operations This course will cover the theory and use of machine shop drilling machines including sensitive, upright and radial arm as well as the safe practice for the use of these machines and their attachments. Learners will learn the safe methods of operating these machines and practice these methods in the shop. They will also learn how to adjust, repair and maintain these machines and their accessories. In addition, they will receive training in drill sharpening and various drilling tools. The learner will also be instructed in cutting fluid use, selection, handling and safety. "
"6","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1005","Turning Operations I","Turning Operations I This course will introduce learners to metal cutting lathes and their operations. Within this course, lathe operation, set ups, maintenance and machine construction will be covered. Learners will demonstrate safe methods of operation of the lathe and practice these methods in the shop. "
"7","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1006","Engineering Drawings I","Engineering Drawings I This course will give the learner an overview of engineered drawings as it applies to their trade area including symbols, sketching and applying drawings to your work. "
"8","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1007","Mathematics I","Mathematics I This course will reinforce basic mathematical concepts and operations used in machining. The topic areas include whole numbers, fractions, ratio and proportion, rectangles and triangles, regular polygons and circles, solids and metric measure. "
"9","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1008","Introduction to Precision Measuring Tools","Introduction to Precision Measuring Tools This course will cover the theory and use of the machine shop precision measuring tools both metric and imperial. Learners will be taught proper care, maintenance, adjustment and calibration of these measuring tools. "
"10","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1012","Engineering Drawings II","Engineering Drawings II In this course learners are given the technical skills to interpret detailed engineering drawings. Learners are instructed in the application of tolerances, fits, threads and sectional views for the production of machined parts. "
"11","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1013","Mathematics II","Mathematics II Learners are introduced to mathematical problems commonly encountered by machinists. Topics include formula applications, plane geometry, and trigonometry, with the emphasis on the solution of problems relating to a wide range of shop applications. "
"12","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1015","Milling Operations I","Milling Operations I This course will introduce learners to basic milling operations. Within this course, milling machine operation, set up, maintenance and machine construction will be covered. Learners will demonstrate safe methods of operation of the milling machine and practice these methods in the shop. "
"13","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1017","Threading Operations I","Threading Operations I This course will introduce learners to common threaded fasteners and their uses. Learners will be instructed how to cut 60 degree threads. Learners will receive instruction in grinding various styles of threading tools, common set-ups and procedures for threading operations and measurement. "
"14","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1019","Turning Operations II","Turning Operations II This course will introduce learners to the use of the lathe and carbide tools in turning between centres and taper turning. Learners will be taught common set-ups and procedures used in lathe operation. Learners will also be introduced to safe methods of operation and practice these methods in the shop. "
"15","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1020","Introduction to Hand Tools","Introduction to Hand Tools This course will cover the safe use of the common hand tools and devices used in machine shop work. Learners will be taught how to select the proper tools and demonstrate the correct use and maintenance of those tools. Course material also covers the theory and use of common machine shop semi-precision measuring tools, both metric and imperial. Care, maintenance, adjustment and calibration of these measuring tools will be addressed. "
"16","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 1100","Work Experience I","Work Experience I The work experience component provides the learner with an opportunity to apply new skills and concepts appropriate for entry-level positions within the machining and manufacturing industry. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. "
"17","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 3000","CNC Fundamentals","CNC Fundamentals This course will introduce the learner to the fundamentals of Computer Numerical Control (CNC) machine tools, including history, advantages/disadvantages of CNC, basic machine construction, terminology and coordinate systems. General shop safety will be reviewed and safety specific to CNC machine tools will be covered. "
"18","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 3001","CNC Process Planning","CNC Process Planning Learners will plan and document procedures to bring a CNC process from startup to finished production. "
"19","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 3002","CNC Programming","CNC Programming This course covers basic Numerical Control (NC) language needed to program Computer Numerical Control (CNC) Machine Tools. "
"20","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 3003","CNC Operations","CNC Operations In this course the learner will set up parts, tools, work holding devices and machines necessary for the manufacture of parts on CNC machining and turning centres. "
"21","Nova Scotia Community College (NSCC)","Machining","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MACSD&pln=MACSHOPDIP","MACD 3004","Machining CAD","Machining CAD This course provides a review of blueprint reading and an introduction to computer-aided drafting (CAD) techniques as applied to the field of manufacturing technology. The course is intended to develop basic CAD drafting skills. "
