"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 3133","Applied Mechanics III","Applied Mechanics III This course involves with the skills and knowledge required to apply advanced principles of marine mechanics and to perform associated calculations needed to operate and maintain marine machinery by exposing the learner to apply principle of statics, calculate friction torque in plate and cone clutches, calculate displacement, velocity and acceleration in cams, engine mechanisms and gear systems, analyze forces and couples to balance reciprocating machinery. Introduces simple harmonic motion principles to solve problems in free and forced vibration, calculate hoop stresses, strain energy and resilience and apply thick shell formulae. Application of continuity equation to determine changes in fluid velocity, determine changes in fluid flows through pipe systems and centrifugal pumps will be explored. "
"2","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 3144","Applied Thermodynamics IV","Applied Thermodynamics IV This course introduces concepts of gas power cycles and their applications: Otto cycle, Diesel cycle, Brayton Cycle. It covers the application of thermodynamic principles to the design, analysis, and optimization of the basic energy conversion systems: power generation, refrigeration, air-conditioning, and combustion. The tools to determine engineering design quantities and estimate their effects on the basic performance characteristics of the energy conversion systems are discussed. "
"3","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 3412","Naval Architecture II","Naval Architecture II This course provides fundamental tools, techniques and principles of naval architecture in terms of stability and integrity. The topics covered include: hull form definition, principal dimensions, ships' lines, form coefficients, floatation, lightweight, deadweight. Centre of gravity, centre of buoyancy. Integration methods, hydrostatic curves, wetted surface. Stability criteria, transverse statical stability, metacentric height, effects of changes in weight on stability, free surface effects are explained. Inclining experiment, dry-docking and grounding, longitudinal stability, longitudinal metacentric height, trim, TPC immersion, moment causing trim, effect of added weights on draft, trim and heel are discussed. Stability at large angles, Bonjean curves, cross curves of stability, GZ curve are demonstrated. Damaged stability, permeability and bilging, list and trim due to damaged compartments, calculations by lost buoyancy and added weight method are explained. "
"4","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 3516","Engineering Knowledge, General VI","Engineering Knowledge, General VI This is a practical marine engineering course that introduces the learner to the equipment and systems found in almost every seagoing vessel. The detailed theoretical aspects of this subject matter will come about with high level of experience with different types of vessels. The course starts with ship propulsion and the flow conditions around the propeller(s). In this connection, the wake fraction coefficient and thrust deduction coefficient, etc. are mentioned. The total power needed for the propeller is found based on the above effective towing resistance and various propeller and hull dependent efficiencies which are also described. A summary of the propulsion theory is shown. The operating conditions of a propeller according to the propeller law valid for a propeller with fixed pitch are described for free sailing in calm weather, and followed up by the relative heavy/light running conditions which apply when the ship is sailing and subject to different types of extra resistance, like fouling, heavy sea against, etc. "
"5","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 3523","Engineering Knowledge, Motor III","Engineering Knowledge, Motor III This course involves the skills and knowledge required to service engines and engine components on a vessel. Properties of materials and methods used in construction of engine components are specified, dynamic stresses and loads, materials and service limitations of engine components are outlined, construction and operating cycle forces of diesel engine components are outlined, Principles of engine lubrication are explained, different lubrication systems and demands each puts on oil are explained, methods for lubricating marine diesel engine components are specified and common faults are interpreted, Sources of contamination and deterioration of lubricants are analyzed, treatment, monitoring and testing methods are explained, results are evaluated and appropriate action to be taken is outlined. "
"6","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 3614","Marine Electrotechnology IV","Marine Electrotechnology IV Marine Electro-technology is the one of series of courses which focuses to help the learners to develop the fundamental knowledge in various topics regarding about electro-technology. The fundamentals of Alternating Current such as electromagnetic induction, work and energy will be closed examined throughout the course. Design features of high-voltage installations are discussed; Construction features of the AC synchronous generator are explained, Effect of power factor on load characteristic of an AC generator is illustrated; Dangers associated with current and voltage transformers on high current and voltage systems are identified. "
"7","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 3623","Automation, Control and Instrumentation III","Automation, Control and Instrumentation III This course outlines the basic actions and functions of automation equipment in marine contexts, skills and knowledge required to operate control systems on board a commercial vessel; Analyze open and closed loop systems; Explain principles and operation of pneumatic control element and systems; Compare temperature transmitters; Discuss operating principles of resistance temperature detector and thermocouple; Explain operating principles and application of sensing and transmitting elements. "
"8","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 4145","Applied Thermodynamics V","Applied Thermodynamics V This course concerns with the application of the principles of the First and Second Law to model Vapor Power System, analyze Vapor Power Systems – the Rankine cycle, performance parameters for the overall system, understand effects of boiler and condenser pressures on performance of ideal Rankine cycle, compare between the Ideal Rankine Cycle and the Carnot cycle, irreversibilities and losses in real Rankine cycle Operation, superheat and reheat Cycles and explore other means to improve the efficiency of systems. In addition, application of the principles of steady and transient conduction heat transfer, natural and forced convection heat transfer and radiation heat transfer will be discussed. "
"9","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 4322","Engineering Materials II","Engineering Materials II This course is designed to provide the learner with the fundamental knowledge of the behaviour and characteristics of common engineering materials used on board ships; Destructive and non- destructive testing of material; distinguish among various properties of metals with respect to their impact on NDT methods. Engineering processes used in construction and repair accurately, test items for potential flaws/failures using the following NDT test methods: Radiography, Ultrasonic Inspection, Magnetic Particle Inspection, Dye Penetrant Inspection, Electromagnetic testing, Visual Inspection, Leak Testing, Hydro Testing, Eddy Current Testing and Hardness. "
"10","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 4422","Ship Construction II","Ship Construction II This course deals with ship types, stresses ships are subjected to, systems of framing, main structural elements of ships. Decks, sides, bottom, stiffening, hatch covers, bulkheads, stem and stern construction are explained. Rudders and stern frames, stern tubes, fittings, rudders and propellers, welding and cutting, fire protection, special types of ships, general design are explored. Construction features of SOLAS compliant vessels in terms of watertight integrity, ship dynamics, corrosion and its prevention, surveys and inspections in compliance with standards and regulations are discussed. "
"11","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 4517","Engineering Knowledge, General VII","Engineering Knowledge, General VII This course discusses the design features and operative mechanism of propeller shaft and associated ancillaries, testing of fuels and lubricants for contaminants, treatment of fuels and lubricants, auxiliary prime mover and associated systems, automation of refrigeration and air conditioning systems, risk identification and the safety precautions and procedures for safe working environment. "
"12","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 4518","Engineering Knowledge, General VIII","Engineering Knowledge, General VIII This course introduces the learner to bilge injection and ballast and prevention of pollution of the sea by oil. It describes sewage system, biological treatment system and contaminants that impair treatment process, discuss the preparation and practice of dry-docking, in-water survey and lay up and concludes with the discussions on the preparation and use of planned maintenance system, planned and unplanned maintenances and repair procedures. "
"13","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 4524","Engineering Knowledge, Motor IV","Engineering Knowledge, Motor IV This course deals with operation, surveillance, performance, assessment and maintaining safety of propulsion plant and auxiliary machinery. In particular, introduces learner with fuel injection, diesel engine performance evaluation, starting and reversing operation, control and safety, start up and shut down procedures for engine and other main machinery and associated. "
"14","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 4525","Engineering Knowledge, Motor V","Engineering Knowledge, Motor V This course is the continuation of engineering knowledge dealing with identification of symbols and components used in schematic drawings and design basic hydraulic circuit drawings, safety practices while working on high pressure hydraulic circuits and will be able to use best practices in fault finding techniques and procedures to reduce costly downtime. It covers design features and operative mechanism of marine diesel engine, marine gas turbine and associated auxiliaries developing good safety practices while working on ways to recognize faults and damage to major components. "
"15","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 4533","Engineering Knowledge, Steam III","Engineering Knowledge, Steam III This is a course in practical marine steam engineering knowledge that introduces the learner to the equipment and systems found in almost every seagoing vessel with steam plant. The detailed theoretical aspects of this subject matter will come about with high level of experience with different types of vessels. The course starts with marine boiler fundamentals, proceeding to steam turbines’ basic construction and operational principles as applied to marine main and auxiliary steam power plants. "
"16","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 4534","Engineering Knowledge, Steam IV","Engineering Knowledge, Steam IV This is the continuation of practical marine steam engineering knowledge courses that expand on learners’ knowledge discussing steam plant and steam systems, and auxiliary and associated systems, boiler and steam turbine survey and repair, evaporator, thermal fluid heating system, discusses functions and operation/control mechanisms of steam boiler and turbine, design features and operative mechanism of marine steam turbine and associated auxiliaries. "
"17","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 4542","Refrigeration and Air Conditioning II","Refrigeration and Air Conditioning II This course describes and explains the fundamentals of refrigeration cycles, system components, common refrigerants, theory of operation and preventive maintenance techniques as they apply in the marine industry. In addition, provides application of the basic theories and principles of refrigeration and air-conditioning appropriate to ship using schematics, assists learners to perform fault diagnostics and troubleshoot typical process control and system faults, numerate the different category of refrigerants and procedurally charge and recover refrigerants in accordance with the requirements and apply safety precautions and workshop management during operation. "
"18","Nova Scotia Community College (NSCC)","Marine Engineering Management Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MEMT&pln=MEMTECH","MENG 4615","Marine Electrotechnology V","Marine Electrotechnology V This course is the fifth of six courses which focus on system components and configuration for generator and distribution system automatic control; discuss conductors, the operation of semiconductor devices and insulation; explains integrated circuits; describes function test of electrical and electronic control equipment and safety devices. "
