"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Marine Geomatics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MGEO&pln=MARGEOM","MGEO 5001","Introduction to Hydrography","Introduction to Hydrography This multi-faceted course provides learners with an introduction to the concepts and practice of hydrography, marine geology and marine geomatics. Learners acquire a working knowledge of the techniques and skills of hydrographic surveying, marine positioning and marine geology data acquisition including: an introduction to coastal zone definitions, tides, hydrographic standards, horizontal positioning systems (historic and current), vertical positioning systems, an introduction to acoustics and navigation programs, basic mathematics and charting techniques. "
"2","Nova Scotia Community College (NSCC)","Marine Geomatics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MGEO&pln=MARGEOM","MGEO 5004","Computer Essentials for Marine Geomatics","Computer Essentials for Marine Geomatics In this course learners are introduced to data manipulation techniques using spreadsheet formulas and macros, as well as scripting tools. "
"3","Nova Scotia Community College (NSCC)","Marine Geomatics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MGEO&pln=MARGEOM","MGEO 5005","Fundamentals of GPS","Fundamentals of GPS The learner will be instructed in the use of Global Positioning System observations in the offshore environment for applications such as bathymetric positioning and marine seismic positioning. This module will discuss the accuracy of autonomous GPS as well as various types of real-time and post-processed pseudorange code and carrier phase GPS. Time standards as they are used in GPS will be covered. The basic principles of using GPS for calibration will be discussed. The use of GPS in integrated navigation systems will be covered. "
"4","Nova Scotia Community College (NSCC)","Marine Geomatics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MGEO&pln=MARGEOM","MGEO 5011","Fundamentals of GIS","Fundamentals of GIS This course will develop learners' skills in the area of applied software techniques for the storage, analysis, manipulation and presentation of Marine Geomatics applications using a desktop Geographic Information System. Skills necessary to manipulate and display Marine Geomatics applications for end-user analysis and interpretation using ArcView GIS software will be developed. Learners will be encouraged to explore other desktop Geographic Information Systems to develop the skills necessary for user readiness and adaptability for different desktop Geographic Information Systems software. "
"5","Nova Scotia Community College (NSCC)","Marine Geomatics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MGEO&pln=MARGEOM","MGEO 5012","Geodesy & Map Projections","Geodesy & Map Projections This course exposes learners to geodesy and map projections concepts and techniques as they are used in Marine Geomatics. The learner will be introduced to map projections, ellipsoids, datums and datum transformations; with emphasis on those encountered in the offshore marine environment. In addition, there will be hands-on exercises in computing coordinates using proprietary software. Commonly used quality control techniques for maintaining the integrity of the computed positions will be implemented as well. "
"6","Nova Scotia Community College (NSCC)","Marine Geomatics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MGEO&pln=MARGEOM","MGEO 5013","Fieldwork I","Fieldwork I This course facilitates learner preparedness for the required work experience component as outlined by the NSCC. Learners have an opportunity to enhance their professional working and communication skills to support the development of a written outline and presentation for their particular project. Learners also have an opportunity to prepare for the development of a portfolio as required by the College as they explore the concepts and criteria for the personal management of their learning, career planning and job search. Learners are further provided an opportunity to plan field camp activities including but not limited to: basic surveying techniques, sciences applications and participation in a mini fall field camp. "
"7","Nova Scotia Community College (NSCC)","Marine Geomatics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MGEO&pln=MARGEOM","MGEO 5022","Computer Aided Drafting and Design","Computer Aided Drafting and Design This course will develop learners' skills in the area of applied CAD software techniques for the storage, analysis, manipulation and presentation of marine geomatics data using AutoCAD Civil3D. "
"8","Nova Scotia Community College (NSCC)","Marine Geomatics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MGEO&pln=MARGEOM","MGEO 6007","GNSS Applications","GNSS Applications This course is divided into four modules, with three of these modules assigned to investigating the various GPS applications and the integration of these applications into GIS or CAD platforms. The fourth module will examine Remote Sensing applications by means of class instruction and two projects.In this course, the learner will further explore the five main categories of Global Positioning System applications, with emphasis on differential GPS, post processed pseudorange, real-time kinematic, and the use of static carrier phase GPS observations in establishing control for offshore applications. The principals, obtainable accuracies, and applications of the five main categories of GPS data acquisition will be delivered in both classroom demonstration and a self-directed hands-on learning environment. To achieve this, one project will be assigned for each module of the course. Project work and the chronology of events for this course will be dependent upon equipment availability. "
"9","Nova Scotia Community College (NSCC)","Marine Geomatics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MGEO&pln=MARGEOM","MGEO 6013","Fieldwork II","Fieldwork II This course facilitates learner preparedness for the required work experience component as outlined by the NSCC. Learners are exposed to more advanced hydrographic and terrestrial based systems, software, and methods. Learners have an opportunity to further develop their professional working and communication skills and enhance their professional portfolio as they explore the concepts and criteria for the personal management of their learning and career planning. Learners are further provided an opportunity to plan operations and to prepare equipment and design configurations for the upcoming Spring field camp activities including but not limited to: basic surveying techniques, sciences applications and participation in a mini fall field camp. "
"10","Nova Scotia Community College (NSCC)","Marine Geomatics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MGEO&pln=MARGEOM","MGEO 6020","Marine Geoscience","Marine Geoscience Advanced hydrographic applications such as Multibeam and Side Scan Sonar systems theory, including data collection, processing and presentation are examined in this intensive course. Advanced hydrographic processing techniques are analyzed, using current bathymetric and sonar image processing software. "
"11","Nova Scotia Community College (NSCC)","Marine Geomatics","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MGEO&pln=MARGEOM","MGEO 6025","CADD & Graphical Applications","CADD & Graphical Applications This course provides learners with more advanced concepts and commands within the CAD/GIS environment. Learners will compile geospatial information and manipulate data to create mapping products using current mapping software. This module will allow learners to build on skills developed in first semester CAD and GIS courses and will provide an opportunity to explore and practice more advanced applications of geographical data and its presentation. "
