"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","COMM 1021","Communications & Maritime English","Communications & Maritime English This course deals with maritime terminology and the use of written and verbal English sufficient to allow the use of engineering publications and the performance of engineering duties concerned with the ship's safety and operation. "
"2","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MANT 1121","Vessel Personnel with Security Responsibilities","Vessel Personnel with Security Responsibilities This course is intended to provide the knowledge required for seafarers with designated security duties in connection with a Ship Security Plan (SSP) to perform their duties in accordance with the requirements of Chapter XI-2 of SOLAS 74 as amended, the ISPS Code and Section A-VI/6 and Table A-VI/6-2 of the STCW Code, as amended. "
"3","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MEDC 1811","Marine Basic First Aid","Marine Basic First Aid This course provides learners with the knowledge and skills necessary to recognize an emergency, provide appropriate first aid at the scene, notify emergency medical services and promote a safety oriented life style for the prevention of accidents. This course meets the requirements for first aid training as set out by Transport Canada and Workplace Occupational Health and Safety. "
"4","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MEDC 1821","STCW Basic Safety","STCW Basic Safety This course provides all Seafarers with the basic understanding of the hazards associated with the Marine Environment and their own vessel; the prevention of shipboard incidents, including fire and procedures for abandonment. It provides Seafarers with the knowledge necessary to raise and react to alarms and to deal with emergencies. The course will ensure that all Seafarers are able to provide assistance in fire and abandonment in emergency situations. It will provide Seafarers with the knowledge and skills which will enable them to assist in their own survival and rescue. The course content meets Standards of Training and Certification of Watchkeeping Seafarers, MED with respect to STCW Basic Safety (MED BST). This course also aligns with Transport Publication 5562 of the Transport Canada certification standard for officer cadets. "
"5","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MEDC 1822","Proficiency in Survival Craft and Rescue Boats Other Than Fast Rescue Boats","Proficiency in Survival Craft and Rescue Boats Other Than Fast Rescue Boats This course is designed to provide seafarers with the basic understanding and knowledge of survival craft and rescue boats, other than fast rescue boats. It meets STCW 6.2 and Canadian requirements under Crewing Regulations for training of marine personnel"
"6","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MENG 1111","Applied Mathematics I","Applied Mathematics I This course is designed to give a review and strengthen the learners’ knowledge of elementary arithmetic such as the order of operations, with brackets, and arithmetic simplification of numbers and fractions, elementary algebra that involve one or more variables, functional notations and expressions, graphs in the rectangular coordinate system, and how to define range and domain for any graphs, linear and quadratic equations, system of linear equations and their applications, variation, exponents, radicals, logarithms. This course will provide the necessary tools for solving problems in the theoretical subjects in marine engineering. This is also a prerequisite course for Applied Mathematics II. "
"7","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MENG 1121","Industrial Chemistry","Industrial Chemistry Fundamental chemical concepts which form the basis for understanding of: water composition and water chemistry, water testing and treatment with particular emphasis on maintaining appropriate water characteristics for boiler feed water and preventing the formation of scales and sludge. Also included are: the chemistry of fuels and lubricants and characteristics of marine fuels and lubricants (in storage and during transfer), the chemical reactions leading to corrosion and corrosion prevention with differentiation of processes leading to pitting corrosion, fretting corrosion, and corrosion fatigue in materials exposed to sea water and generally used aboard ships. "
"8","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MENG 1131","Applied Mechanics I","Applied Mechanics I This is a basic course exposing the learner to basic concepts of mechanics and thermodynamics. It starts with mass and volume, speed, acceleration, and force concepts, introducing vectors in the process and their difference with respect to scalars. Energy, work, power in mechanical systems are then discussed including the principle of conservation of energy. Fluids are treated next, with the introduction of the concepts of pressure and temperature scales. Next, basic heat transfer is discussed including conduction, convection and radiation. The course closes with an introduction to the concept of static equilibrium which will be expanded upon on Applied Mechanics II. "
"9","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MENG 1210","Technical Drawing I","Technical Drawing I This course covers the theory and the practical applications needed to effectively communicate graphical technical concepts including engineering drawings reading, interpretation and sketching skills. "
"10","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MENG 1315","Skills Training I","Skills Training I This course will develop the learners’ proficiency in the safe use and care of all common hand tools, power tools, metal fasteners, adhesives and bonding materials normally used on board ships. This will be accomplished through the completion of bench fitting shop projects, which utilizes all the skills covered by the classroom instruction. This course will also develop the learners’ proficiency in machining processes and machine tools usage normally carried out on board ships. There will be appropriate balance of theoretical and practical aspects to this course with various projects to enhance learners’ practical skills. "
"11","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MENG 1511","Engineering Knowledge, General I","Engineering Knowledge, General I This course focuses on definitions, characteristics and description of positive displacement and dynamic pumps including review of working principles and construction features of different kind of pumps. The course will also introduce central priming systems, ejectors, various hydraulic systems used on board ships and oily water separator requirements and operation. "
"12","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MENG 1512","Engineering Knowledge, General II","Engineering Knowledge, General II This is second in the series of practical marine engineering courses that introduces the learner to certain equipment and systems found in almost every sea-going vessel. Working principles, running and maintenance of various fresh water generators, air compressors and oil separators and various requirements of their systems are described in this course. "
"13","Nova Scotia Community College (NSCC)","Marine Mechanical Technician","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MMTN&pln=MARMECHTHN","MENG 1521","Engineering Knowledge, Motor I","Engineering Knowledge, Motor I This is the first course in marine diesel engineering courses that describes the basic principles of design, construction and operation of two-stroke and four-stroke diesel engines and their application to ship propulsion and power generation. The course topics include Definitions and Terms; Theory of Four-Stroke and Two-Stroke Cycles; Constructional Details of Two-Stroke and Four-Stroke Diesel Engines; Methods of Scavenging and Supercharging. "
