"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Marine - Industrial Rigging","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MIRG&pln=MARINDRIG","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"2","Nova Scotia Community College (NSCC)","Marine - Industrial Rigging","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MIRG&pln=MARINDRIG","MATH 1111","Essential Math for Trades","Essential Math for Trades This course is designed to take the anxiety out of the using math skills to perform routine tasks. Learners will become comfortable adding, subtracting, multiplying, dividing, and measuring various kinds of numbers used in the Trades. "
"3","Nova Scotia Community College (NSCC)","Marine - Industrial Rigging","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MIRG&pln=MARINDRIG","MIRG 7000","Safety Orientation for Marine and Industrial Rigging","Safety Orientation for Marine and Industrial Rigging The learner is introduced to hazard assessment of a job site, the dangers related to working in confined spaces, trenching, and working at heights, as well as issues surrounding the transportation of dangerous goods. Regulatory requirements and individual responsibilities are discussed, and the learner is given the opportunity to operate a power elevated work platform and use a fall arrest system. Learners will be required to use power and hand tools safely. "
"4","Nova Scotia Community College (NSCC)","Marine - Industrial Rigging","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MIRG&pln=MARINDRIG","MIRG 7079","Shielded Metal Arc Welding for Rigging","Shielded Metal Arc Welding for Rigging This course will introduce the different aspects of Shielded Metal Arc Welding (SMAW) including identification of consumables, joint preparation, destructive and non-destructive testing. Learners will be introduced to arc cutting processes as well as the operation of oxy-fuel cutting equipment. "
"5","Nova Scotia Community College (NSCC)","Marine - Industrial Rigging","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MIRG&pln=MARINDRIG","MIRG 7080","Fabrication","Fabrication This course is designed to enable learners to fabricate rigging configurations using both fibre and wire rope. "
"6","Nova Scotia Community College (NSCC)","Marine - Industrial Rigging","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MIRG&pln=MARINDRIG","MIRG 7103","Work Experience","Work Experience During this work experience, learners will work alongside experienced employees in their chosen workplace. Learners will gain experience in various aspects of the rigging and hoisting industry. Learners will assess their own performance and be evaluated by an industry partner. Participants will identify personal outcomes they wish to attain during the work experience. "
"7","Nova Scotia Community College (NSCC)","Marine - Industrial Rigging","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MIRG&pln=MARINDRIG","MIRG 7130","Rigging Practical I","Rigging Practical I Using rigging hardware, learners will demonstrate knowledge of safe work practices as defined by industry standards. Emphasis will be given to working load limits, design factors, comparison of ropes, splicing techniques, and end fitting attachments. The importance of safe work practices in this area will be stressed. Emphasis will also be placed on regulatory requirements of lift gear inspection. Various samples of rigging hardware will be examined and inspected for possible defects. Decisions will be made on gear acceptance or rejection. "
"8","Nova Scotia Community College (NSCC)","Marine - Industrial Rigging","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MIRG&pln=MARINDRIG","MIRG 7131","Rigging Practical II","Rigging Practical II Using rigging hardware, learners will demonstrate knowledge of safe work practices as defined by industry standards. Emphasis will be given to working load limits, design factors, comparison of ropes, splicing techniques and end fitting attachments. The importance of safe work practices in this area will be stressed. Emphasis will also be placed on regulatory requirements of lift gear inspection. Various samples of rigging hardware will be examined and inspected for possible defects. Decisions will be made on gear acceptance or rejection. "
"9","Nova Scotia Community College (NSCC)","Marine - Industrial Rigging","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MIRG&pln=MARINDRIG","MIRG 7132","Rigging Theory","Rigging Theory Learners will understand safe work practices as defined by industry standards. Emphasis will be given to working load limits, design factors, comparison of ropes, splicing techniques and end fitting attachments. Emphasis will also be placed on regulatory requirements of lift gear inspection. Various samples of rigging hardware will be examined and inspected for possible defects. Decisions will be made on gear acceptance or rejection. "
"10","Nova Scotia Community College (NSCC)","Marine - Industrial Rigging","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MIRG&pln=MARINDRIG","MIRG 7136","Basic Hydraulics","Basic Hydraulics This thirty-hour course introduces the participants to hydraulics as it relates to industrial equipment. Topics covered in this course include basic hydraulic principles; identification of hydraulic components and functions; symbols and diagrams; safe work practices; cooling systems and basic maintenance. "
