"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Mechanical Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=METG&pln=MECENGTECH","COMM 1245","Technical Communications I","Technical Communications I This course introduces students to the writing, oral presentation, critical thinking and interpersonal communications skills required of technical professionals in the workplace. The fundamentals of clear, concise writing and presenting will be reviewed and refined. Experience will be gained in organizing, writing and presenting technical information. In addition, career development skills and portfolio preparation will be discussed. There will be several opportunities, through assignments and lab work, to develop portfolio components. Students will learn how to collect appropriate work samples and documentation from other courses in the program as well as from other sources. "
"2","Nova Scotia Community College (NSCC)","Mechanical Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=METG&pln=MECENGTECH","COMM 2245","Technical Communications II","Technical Communications II This course focuses on the interpersonal, written and oral technical communication skills necessary for working independently and as part of a team in a technical environment. Further skill development in written forms of technical documentation required for the workplace as well as report creation and oral presentation skills will continue to be emphasized. Team building principles, group dynamics and collaborative writing will be discussed. Students will participate in meetings and take responsibilities in a group project from its inception to completion and evaluation. Students will continue to enhance and apply their research skills and project management principles will also be introduced. Successful job interviews and the portfolio will be discussed. "
"3","Nova Scotia Community College (NSCC)","Mechanical Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=METG&pln=MECENGTECH","MATH 1055","Calculus l","Calculus l The course introduces learners to the study of differential and integral calculus. Differentiation topics include limits, slope of the tangent to a curve, differentiation by the delta process, derivatives of polynomials, applications involving derivatives, finding extrema and curve sketching. Integration topics include the concept of integrating polynomial functions and numerically approximating the area under a curve. "
"4","Nova Scotia Community College (NSCC)","Mechanical Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=METG&pln=MECENGTECH","MATH 1070","Applied Math for Engineering Technology","Applied Math for Engineering Technology This course provides students with a basic understanding of applied mathematical principles for use by technicians and technology programs. Applied Math l is designed to cover basic algebra, geometry, functional notation, linear equations, quadratic equations, trigonometric functions, exponents, logarithms, complex numbers, analytic geometry and systems of equations. The use of computer software as a mathematical tool will be explored. Students will be encouraged to maintain a math journal that may become part of their personal College portfolio. "
"5","Nova Scotia Community College (NSCC)","Mechanical Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=METG&pln=MECENGTECH","MATH 2055","Calculus II","Calculus II In this course, learners will use integration to determine volume, centroids, mean and root-mean-square (RMS) values, moments of mass and moments of inertia. Integral calculus will be applied to solve acceleration, velocity, displacement, exponential growth and decay and other rate of change problems. Differential calculus will be used to solve applied engineering problems using transcendental functions. "
"6","Nova Scotia Community College (NSCC)","Mechanical Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=METG&pln=MECENGTECH","MATH 3055","Calculus III","Calculus III Building on what learners have accomplished in Calculus l and ll, Calculus lll will cover various advanced applications for infinite series expansions to evaluate transcendental functions. Learners will also use first and second order homogenous and non-homogenous ordinary differential equations to solve applied-engineering problems. "
"7","Nova Scotia Community College (NSCC)","Mechanical Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=METG&pln=MECENGTECH","METG 1002","Engineering Graphics","Engineering Graphics This course provides an introduction to graphical communication in the field of Mechanical Engineering Technology. This course is intended to develop manual drawing skills in the preparation and interpretation of engineering drawings, to familiarize the learner with industry drawing standards, and to develop basic skills in mechanical blueprint reading. "
"8","Nova Scotia Community College (NSCC)","Mechanical Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=METG&pln=MECENGTECH","METG 1003","Engineering Mechanics I","Engineering Mechanics I This course introduces the learner to engineering subjects and problem solving techniques. Topics such as scalars, vectors, forces, moments and couples, structures, machines and friction will be considered. "
"9","Nova Scotia Community College (NSCC)","Mechanical Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=METG&pln=MECENGTECH","METG 1004","Fundamentals of Heat, Light and Sound","Fundamentals of Heat, Light and Sound This course introduces the fundamentals of heat, light and sound. Topics include thermal expansion, heat transfer, gas laws, wave motion, the nature of sound and hearing, the nature of light, and reflection and refraction of sound and light. Learners who successfully complete The fundamentals of heat, light and sound will apply problem solving techniques and experimentation to basic engineering situations. "
"10","Nova Scotia Community College (NSCC)","Mechanical Engineering Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=METG&pln=MECENGTECH","METG 1008","Mechanical CAD I","Mechanical CAD I This course provides the learner with an introduction to AutoCAD. Various drawing tools will be explored in the preparation of mechanical drawings. "
