"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","CADD 1000","AutoCAD Level I","AutoCAD Level I In this introduction to Computer Aided Drafting (CAD) software, students gain knowledge in the use and principles of Computer Aided Drafting. The primary emphasis is the application of AutoCAD®, an industry-standard Computer Aided Drafting software program. Specific hardware used in the CAD environment is introduced and utilized. "
"2","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","COMM 1227","Communications I","Communications I This course provides the student with an overview of the communication skills required by business and industry. Students will learn to apply these communication skills to be successful in their selected workplace setting. "
"3","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","COMM 1228","Communications II","Communications II This course further develops essential communications skills with a focus on basic writing. This course provides the student with the opportunity to develop written work typical of the industry related to their program of study. "
"4","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","MATH 1016","Math I","Math I In this course, the learner will improve math skills to a level required for entering the workforce. The course concentrates on the skills that will allow the learner to efficiently solve equations and formulas encountered in industry, these will include: fractions, decimals, metric measurements and problem solving. This course emphasizes practical problem solving while it attempts to increase overall competency in mathematics. "
"5","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","MATH 2000","Math II","Math II In this course, learners will cover; area, volume, circumference, and weights of various geometric shapes, problem-solving using tables of roots, trig functions, and orientation using angular measure. "
"6","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","MFPL 2100","Blueprint Reading III","Blueprint Reading III This course expands on Blueprint Reading I and II and allows learners to apply the information in the interpretation of marine drawings and pressure vessel drawings used in industry by metal fabricators. "
"7","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","MFPL 2200","Layout and Fabrication III","Layout and Fabrication III This course reviews the knowledge and skills required to transfer patterns to plate introduced in Layout and Fabrication I and II. Layout and Fabrication III allows learners to be introduced to more advanced shop equipment operations including sawing, plate bending, rolling and shearing, threading operations and pipe bending. These advanced operations will be applied in the shop to pressure vessel and structural steel fabrication projects. "
"8","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","MFPL 2300","Rigging and Material Handling II","Rigging and Material Handling II This course will expand upon skills gained in Rigging and Material Handling I, covering advanced rigging techniques and tools used specifically in the field of metal fabrication. The learner will demonstrate safe use of overhead crane and rigging hardware. Inspection of rigging and safe work practices will be stressed. "
"9","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","MFPL 2400","Marine Applications","Marine Applications Using skills gained in Blueprint Reading and Layout and Fabrication courses, Marine Applications will show learners how to apply these skills within the marine industry. This course will introduce the learner to marine terminology, fitting and fabricating techniques with an emphasis on production standards and accuracy. "
"10","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","MFPL 3000","Blueprint Reading IV","Blueprint Reading IV Blueprint Reading IV is an advanced level blueprint reading course for learners that have experience or previous courses in reading and sketching plans. This course will allow learners to gain specific training in the application of structural, pressure vessel and piping drawings. "
"11","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","MFPL 3100","Work Experience","Work Experience The work experience component provides the learner with an opportunity to apply new skills and concepts appropriate for entry-level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. "
"12","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","MFPL 3200","Semi-Auto Wire (4-Pos Fillet)","Semi-Auto Wire (4-Pos Fillet) This course is designed to further the learner`s knowledge and skills of Gas Metal Arc Welding (GMAW) and Flux-core Arc Welding (FCAW) processes in the Semi-Auto Wire Welding Processes I course. Within this course, the learner will be introduced to vertical and overhead welding as well as aluminium welding. "
"13","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","MFPL 3210","Intro to Metallurgical Principles and Heat Distortion","Intro to Metallurgical Principles and Heat Distortion This course builds on the properties of metals outlined in the first year and introduces learners to the effects of temperature on metals. Method of controlling heat distortion will be covered and learners will have the opportunity to apply the principles in a workshop setting. "
"14","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","MFPL 3220","Layout and Fabrication IV","Layout and Fabrication IV This course builds on the knowledge and skills required to transfer patterns to plate introduced in earlier courses. More advanced operations will be applied in the shop to structural steel fabrication projects. "
"15","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"16","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
"17","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","SAFE 1020","Introduction to Confined Space","Introduction to Confined Space The learner is introduced to the basic requirements and procedures involved with confined spaces. The definition and associated hazards of confined space are discussed as well as methods of confined space rescue. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"18","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","SAFE 1021","Introduction to Hazard Identification","Introduction to Hazard Identification The learners are introduced to the types of hazards encountered in workplaces and the approach that should be followed when recommending and implementing appropriate controls. Two key elements of Hazard Identification are addressed: Hazard Assessment and Inspection. The Nova Scotia Occupational Health and Safety Act is discussed. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"19","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","SAFE 1022","Introduction to Fall Arrest and Protection","Introduction to Fall Arrest and Protection The learner is introduced to fall protection, fall prevention and fall arrest concepts and responsibilities at the workplace. Guardrails, travel restraints, roof work, fall arrest components will be discussed and the learner will be given the opportunity to demonstrate the use of selected equipment. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"20","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","SAFE 1023","Introduction to Lock Out/Tag Out","Introduction to Lock Out/Tag Out Lock-out Tag Out introduces the learner to the hazards related to energized systems and procedures to ensure worker safety. Related legislation and risk management is discussed and the learner is exposed to the various types of lock-out devices. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"21","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","SAFE 1024","Introduction to Respiratory Protection","Introduction to Respiratory Protection The learner is introduced to the potential of atmospheric hazards in the workplace and the available personal protection and control methods to maintain a safe work environment. Discussion includes identification and testing for atmospheric hazards and workplace respiratory programs. The learner will be given the opportunity to select, use and maintain respiratory equipment. The course material is to be infused throughout the curriculum and may be delivered in the classroom, shop or other opportunity as designed and developed by the instructor. "
"22","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 1000","Safety Fundamentals","Safety Fundamentals In this course, the learner will demonstrate the use of trade tools. The learner will also cover the principles of the Occupational Health and Safety Act as it relates to industry. "
"23","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 1100","Oxy-Fuel Processes","Oxy-Fuel Processes This course introduces the learner to the set-up, assembly, disassembly and operation of oxy-fuel cutting and welding equipment. This course will also include storage, handling, identification and transporting of cylinders. "
"24","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 1200","Shielded Metal Arc Welding I","Shielded Metal Arc Welding I This course is designed to introduce the learner to the Shielded Metal Arc Welding (SMAW) process. The learner will identify, SMAW equipment, consumables and apply codes and standards including CSA W117.2. The learner will perform fillet and full penetration groove welds in the flat position. The learner will also perform an open root weld in the flat position using F3"
"25","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 1300","Blueprint Reading I","Blueprint Reading I This is an introductory course in basic blueprint reading. This course includes the identification of commonly used blueprint lines, drawings, dimensioning systems and welding symbols. Learners will be required to practice basic sketching techniques that assists in the interpretation of drawings and specifications. "
"26","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 1400","Rigging and Material Handling I","Rigging and Material Handling I In this course the learners will learn safe operating procedures and practices for material handling. This course will give the learner the opportunity to select and use rigging hardware, learners will demonstrate knowledge of safe work practices as defined by industry standards. "
"27","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 1500","Portfolio Work Experience","Portfolio Work Experience This course provides learners with the opportunity to engage with local industry and become familiar with jobsite conditions and requirements. "
"28","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 2000","Semi-Automatic Wire Welding Processes I","Semi-Automatic Wire Welding Processes I This course is designed to introduce the learner to the Gas Metal Arc Welding (GMAW) and Flux Cored Arc Welding (FCAW) processes. Information on electrode types, shielding gases and power sources will be covered. "
"29","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 2100","Blueprint Reading II","Blueprint Reading II This course includes the identification of commonly used blueprint terms and welding symbols. Learners will be required to practice material identification and interpretation of drawings and specifications. "
"30","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 2200","Layout and Fabrication I","Layout and Fabrication I The course introduces the skills required to transfer patterns to plate, layout, fabricate and assemble the required piece. "
"31","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 2300","Shielded Metal Arc Welding II","Shielded Metal Arc Welding II The learner will identify consumables, positions and apply codes and standards. The learner will perform surface welding, fillet and full penetration groove welds in the horizontal position. The learner will also perform open root welds in the horizontal position using F3-F4 type electrodes. "
"32","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 3000","Layout and Fabrication II","Layout and Fabrication II In this course learners will focus on structural steel, layout and fabrication techniques, bending equipment and procedures. "
"33","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WEMF 3100","Gas Tungsten Arc Welding I","Gas Tungsten Arc Welding I This course introduces the learner to the Gas Tungsten Arc Welding (GTAW) process. The course will involve identification of electrodes and their applications, consumables and shielding gases. "
"34","Nova Scotia Community College (NSCC)","Metal Fabrication","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MTLFB&pln=METALFAB","WORK 1100","Workplace Mentoring I","Workplace Mentoring I This unit of instruction is designed to assist learners in managing their learning as an apprentice in the workplace. Learners will study their own experiences with learning new skills and identify their own learning preferences as an aid to developing learning strategies. "
