"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Motor Vehicle Body Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MBRP&pln=MVBODYREP","ACRR 1000","Collision Repair and Workplace Safety","Collision Repair and Workplace Safety This course provides a basic awareness of workplace safety as it applied to motor vehicle body repair. Topics will include how to identify and use safety equipment and procedures that support a safe working environment. This course is delivered using a project-based approach and aligns with the safety requirements of the motor vehicle body repair industry and the Province of Nova Scotia. "
"2","Nova Scotia Community College (NSCC)","Motor Vehicle Body Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MBRP&pln=MVBODYREP","ACRR 1001","Hand and Power Tools","Hand and Power Tools This course introduces the theory and practical skills required to safely use the hand and power tools found in a motor vehicle body repair workshop. Topics will include how to identify, use and maintain tools powered by hand, pneumatics, electricity and hydraulics. This course is delivered using a project-based approach and aligns with the requirements of the motor vehicle body repair industry. "
"3","Nova Scotia Community College (NSCC)","Motor Vehicle Body Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MBRP&pln=MVBODYREP","ACRR 1002","Introduction to Automotive Welding and Cutting","Introduction to Automotive Welding and Cutting In this course learners will acquire the theory and practical skills necessary to perform welding and cutting operations commonly used in the auto collision repair trade. Learners will perform welding procedures using oxy-acetylene, Gas Metal Arc (GMAW), resistance spot and plasma arc cutting equipment. Learners will have the opportunity to purchase I-CAR Gold Class industry points. "
"4","Nova Scotia Community College (NSCC)","Motor Vehicle Body Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MBRP&pln=MVBODYREP","ACRR 1003","Metal Forming – Non-Structured","Metal Forming – Non-Structured This course introduces the common techniques of metal forming and shaping used in the motor vehicle body repair industry. Topics will include practicing uni-spotter, hammer and dolly and pick and pry techniques to address panel forming, dent removal and metal finishing. This is a skill development course and delivered using a project-based approach. "
"5","Nova Scotia Community College (NSCC)","Motor Vehicle Body Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MBRP&pln=MVBODYREP","ACRR 1004","Body Filler","Body Filler"
"6","Nova Scotia Community College (NSCC)","Motor Vehicle Body Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MBRP&pln=MVBODYREP","ACRR 1007","Spray Gun Techniques","Spray Gun Techniques This course introduces the practical skills required to use a spray gun for priming and refinishing used in the motor vehicle body repair workshop. Topics include the different spray gun equipment, spraying techniques and equipment maintenance. This is a skill development course and delivered using a project-based approach. "
"7","Nova Scotia Community College (NSCC)","Motor Vehicle Body Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MBRP&pln=MVBODYREP","ACRR 1008","Surface Preparation and Primer Applications","Surface Preparation and Primer Applications This course develops the practical skills required to clean, sand, mask and prime a vehicle body surface for paint application used in the motor vehicle body repair workshop. Topics include performing surface preparation, advanced masking techniques and the application of primers and topcoats. This is a skill development course and delivered using a project-based approach. "
"8","Nova Scotia Community College (NSCC)","Motor Vehicle Body Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MBRP&pln=MVBODYREP","ACRR 1010","Vehicle Construction Analysis","Vehicle Construction Analysis"
"9","Nova Scotia Community College (NSCC)","Motor Vehicle Body Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MBRP&pln=MVBODYREP","ACRR 1011","Quality Inspection and Delivery","Quality Inspection and Delivery This course introduces the practical skills required to detail and assemble vehicles after paint application used in the motor vehicle body repair workshop. Topics include inspecting surface paint, eliminating imperfections, polishing and detailing vehicles prior to customer delivery. This is a skill development course and delivered using a project-based approach. "
"10","Nova Scotia Community College (NSCC)","Motor Vehicle Body Repair","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MBRP&pln=MVBODYREP","ACRR 1012","Plastics and Non-Metal Repair","Plastics and Non-Metal Repair This course introduces the products and practical skills required to perform non-metal repair used in the in the motor vehicle body repair workshop. Topics include performing four types of repairs: cosmetic, two-sided and a tab repair. This is a skill development course and delivered using a project-based approach. "
