"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Music Production and Engineering","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MPRE&pln=MUSPRODENG","BART 2075","Entrepreneurial Fundamentals","Entrepreneurial Fundamentals This course introduces learners to the concepts, vocabulary and skills associated with entrepreneurship. Learners will explore personal characteristics and evaluate their own potential as an entrepreneur. "
"2","Nova Scotia Community College (NSCC)","Music Production and Engineering","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MPRE&pln=MUSPRODENG","BART 3075","Entrepreneurship Project","Entrepreneurship Project This is a project based course where learners will have the opportunity to apply entrepreneurial skills and knowledge to a personal business venture whilst being advised and supported by experts and professionals. Learners will develop a business idea aligned to their area of study by applying established processes, attitudes and skills in a real world environment. This is an opportunity for learners to try things out and make mistakes in a safe and supportive atmosphere. Risk taking and innovation will be encouraged without incurring penalties for unsuccessful attempts. "
"3","Nova Scotia Community College (NSCC)","Music Production and Engineering","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MPRE&pln=MUSPRODENG","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"4","Nova Scotia Community College (NSCC)","Music Production and Engineering","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MPRE&pln=MUSPRODENG","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
"5","Nova Scotia Community College (NSCC)","Music Production and Engineering","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MPRE&pln=MUSPRODENG","SOUN 1012","Audio Engineering I","Audio Engineering I This course will introduce students to the equipment used in a professional recording studio with a focus on recording consoles, preamps, digital hardware and software. Topics covered include signal flow, microphone techniques, digital recording, signal processing and critical listening. Recording, editing, and basic mixing techniques will be developed for a demo recording. "
"6","Nova Scotia Community College (NSCC)","Music Production and Engineering","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MPRE&pln=MUSPRODENG","SOUN 1013","Audio Engineering II","Audio Engineering II This course will continue to develop the skills, principles and practices of audio recording. Emphasis will be placed on pre-production and production skills with a focus on proper microphone technique, critical listening skills, digital recording mediums, and basic final mastering skills required for product production. "
"7","Nova Scotia Community College (NSCC)","Music Production and Engineering","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MPRE&pln=MUSPRODENG","SOUN 1014","Entertainment Industry Survey","Entertainment Industry Survey This course will identify and explore current and future jobs, trends and their potential for creating revenue streams and employment opportunities in the music industry. The aim of the course is to gain an understanding of the variety of professional positions in the industry and develop analytical skills, tools and processes to recognize opportunities in the ever-evolving landscape. "
"8","Nova Scotia Community College (NSCC)","Music Production and Engineering","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MPRE&pln=MUSPRODENG","SOUN 1015","Introduction to Music Production","Introduction to Music Production This course is an introduction to the world of modern music production. Students will cover a variety of topics including how to facilitate artists in a recording session, song choice, song breakdown, lyric analysis, artistic development and creative vision, scheduling and budgeting. After completion of this course students will be able to execute basic ideas of music creation for themselves or for other artists. "
"9","Nova Scotia Community College (NSCC)","Music Production and Engineering","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MPRE&pln=MUSPRODENG","SOUN 1016","Music Technology I: Professional Studio","Music Technology I: Professional Studio This course will introduce students to the basic software principles of modern Digital Audio Workstations. This combined theory and practical lab will cover MIDI basics, current recording software, and music sequencing techniques. Students will get hands-on practical experience with computer-based recording systems typically found in many modern recording studios as well as the home studio. "
"10","Nova Scotia Community College (NSCC)","Music Production and Engineering","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=MPRE&pln=MUSPRODENG","SOUN 1018","Music Theory","Music Theory This introductory course is designed to enhance the fundamental skills in a practical context for a career in music production and is appropriate for both musicians with some theory background and those that are self-taught. Instrumentalists and non-instrumentalists will benefit by developing the ability to read, write, arrange, hear, and communicate musical ideas. Topics covered will be scale identification, ear training, chord building, identification of intervals, rhythm, tempo, chart reading, and other basic elements of music. "
