"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 1000","Introduction to the Seafood Industry","Introduction to the Seafood Industry Learners will be given an overview of the different sectors of the fishing and aquaculture industries in Nova Scotia and Atlantic Canada. They will be given information on the global seafood industry, how Canada fits in and how Nova Scotia contributes. The relative sizes of the wild and farmed seafood production will be noted and learners will be provided with information on how these sectors have changed over the past few decades. This information will lead into a description of the Fisheries and Aquaculture program, the material they will be exposed to and how that material will prepare them for work in the various sectors of the Atlantic seafood industry. "
"2","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 1001","Safety I","Safety I"
"3","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 1002","The Seafood industry – History, Management and Future Trends","The Seafood industry – History, Management and Future Trends Learners will learn about the seafood industry in Atlantic Canada – its history, how it is managed, current trends and future outlooks. The harvesting, processing and aquaculture sectors will be explored, with a focus on how the different industry components evolved and continue to evolve. The regulatory responsibilities will be studied leading to an understanding of which government bodies do what to manage the industry. Learners will study the major changes that have occurred over time that have resulted in our modern industries with their access policies, regulatory regimes and management practices. "
"4","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 1003","Marine Biology I – Basics in Marine Biology","Marine Biology I – Basics in Marine Biology Atlantic Canada is located on the western side of the North Atlantic and is influenced by a number of climatic and physical forces that dictate the marine habitat and species mix. In this class, learners will acquire a basic knowledge about the oceanographic principles that lead to the productivity, tropic level composition and biological cycles within the local marine food chain. Students will learn about the various marine fishes and invertebrates that support the commercial fish and aquaculture industries. An overview of all commercially important species will be provided, and the biology and life cycles of the key species that are targeted by the commercial fisheries and aquaculture industries of Atlantic Canada will be explored in detail. Learners will study the habitat needs, nutritional needs, life stages, growth rates and reproductive strategies of the representative species. "
"5","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 1004","Aquaculture I – The Aquaculture Industry and Fish Husbandry","Aquaculture I – The Aquaculture Industry and Fish Husbandry Students will learn about the aquaculture industry in Atlantic Canada. The major finfish and shellfish species will be covered. Both land-based and marine applications will be reviewed. Learners will explore the issues faced by the aquaculture industry and the opportunities the industry presents for sustained economic growth in coastal Atlantic Canada.Students will learn about the various research facilities that have been involved in the development of aquaculture and the work that they have dome. The habitat needs and growing conditions for shellfish and finfish will be studied so students will understand the water quality/habitat requirements and how to monitor/test for them. Environmental monitoring plans and techniques for marine sites will be studied. The developments over time in the field of diet formulation and feed conversion rates will be explored. The major biological risks for fish farms (diseases, sea lice, gear/line fowling) will be reviewed and students will be instructed on the approaches used by fish farm workers to monitor for these risks. Students will learn about biosecurity and the precautions that must be taken to minimize the risk of disease or organism transfer from one farm to another. "
"6","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 1005","Seafood Processing I","Seafood Processing I Students will learn about the history of seafood processing in Nova Scotia, and how it has changed over time as the various species sectors increased or declined. From early salting and drying of fish to the massive plants that processed frozen fish blocks, learners will explore about how the groundfish processing sector evolved after World War II , grew after the declaration of Canada’s 200 mile limit in 1977, and attempted to survive through the groundfish collapse of the early 1990s. Learners will learn about the development of the snow crab processing sector after major increases in the resource were experienced in the 1990s. Learners will also investigate the other processing sectors including herring, lobster, clams and those that target aquaculture products. In addition to resource fluctuations, the processing industry has experienced a number of challenges in recent years including labour shortages as populations decline in coastal communities, competition from developing economies like China, aging infrastructure and overcapacity. Learners will explore these challenges as well as the future outlook for fish processing in the region in the face of stiff global competition and increasing demands for traceability and eco-certification.Students will learn about the technical aspects of the fish processing industry. They will gain knowledge of the equipment used in processing plants in the region as well as the processing techniques that are used for the various fish species. Plant cleaning and water use will be covered. Learners will explore how food safety concerns and principles are applied to the regulation of plant equipment and operations. The CFIA plant inspection procedures and rules (schedules I & II) will be covered, as well as requirements for plants exporting to the USA. "
"7","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 1006","Business I","Business I"
"8","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 1007","Safety II","Safety II"
"9","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 1008","Seamanship Skills and Gear","Seamanship Skills and Gear In this course, learners will acquire basic seamanship skills including working with rope, wire and twine. They will learn about the various gear types used in the Atlantic Fisheries (traps, long lines, mobile gear, gillnets, etc.), how they work and how to build/repair them. "
"10","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 1009","Seafood Quality I","Seafood Quality I"
"11","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 1100","Applied Learning I","Applied Learning I This course is an applied learning experience which may consist of work experience, directed studies, industry projects or applied research and usually takes place in the final five weeks of the first academic year. This course provides learners with an opportunity to synthesize the skills and knowledge acquired in the first year of study through a work experience, industry project, directed study, or applied research. Learners are expected to be contributing members of work teams. "
"12","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 2004","Socio-economic Policies and Industry Organization","Socio-economic Policies and Industry Organization In this course the learners will explore the many different socio-economic policies at play in the Atlantic Canadian fisheries. These policies impact everything from who can get access to the resource to who can fish it once an individual or business gains access. Policies can be different for different fisheries sectors and gear classes. Some of the policies have a clear economic objective while others have more of a social and public policy objective. There are varying viewpoints on who should have access to or own Canadian fisheries resources. To understand these viewpoints, learners must understand the policies, the reasons behind them and who supports them.For the various fisheries, there are many industry organizations that represent the harvesting sector, the processing sector and in some cases, combined harvesting, buying and processing sectors. Many components of the fishing industry are not represented by any formal organization. Aquaculture Associations will also be covered. Learners will learn about the organizations, who they represent, their objectives and where applicable, how they are regulated.*Learners will attend meetings of various associations (harvesting, processing, aquaculture) to observe how business is conducted and what issues are addressed. "
"13","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 2007","Professional Development","Professional Development This course covers the skills and knowledge that learners will require in order to seek out, prepare necessary documentation and compete for employment opportunities. It will also provide an overview of the ethical and legal issues that they may encounter in their careers. "
"14","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 2015","Applied Research Skills","Applied Research Skills Learners in this course develop and apply research skills in response to a real-world problem. Some learners will work with a research partner to support an existing applied research project. Others will perform initial research to report on the scope and viability of their own proposed project. In both cases, learners will use applied research techniques developed in the classroom along with their learning from other areas of the program. They are expected to perform work at the research assistant level. Learners must identify their own research opportunity. They will then submit this to their instructor for approval.Learners will follow NSCC’s Research Ethics and Research Integrity policies. They will also collaborate with others in the research community as needed. "
"15","Nova Scotia Community College (NSCC)","Oceans Resources - Fisheries and Aquaculture","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OCFA&pln=OCRESFAQ","ORFA 2100","Applied Learning II","Applied Learning II The work experience component provides the learner with an opportunity to apply new skills and concepts appropriate for entry-level positions within the occupation. Learners will assess their own performance and be evaluated by an industry partner. Learners will identify personal outcomes they wish to attain during the work experience and will keep a journal. "
