"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Oceans Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OTAD&pln=OCEANTECH","GENL 9689","MED SDV-BS","MED SDV-BS This is an 8-hour Marine Emergency Duties (MED) training course focused on small non-pleasure domestic vessel basic safety. Participants will be introduced to possible hazards within the marine environment, emergency response techniques as well as survival and rescue methods. "
"2","Nova Scotia Community College (NSCC)","Oceans Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OTAD&pln=OCEANTECH","MARI 7129","Small Vessel Operator Proficiency","Small Vessel Operator Proficiency This course meets the requirements of a stand-alone course that addresses the particular need for minimum training of operators of commercial vessels, other than tugs, and fishing vessels up to 15 gross tonnage or 12 meters overall length engage on a near coastal, class 2 (including an inland voyage on Lake Superior or Lake Huron) or a sheltered waters voyage. "
"3","Nova Scotia Community College (NSCC)","Oceans Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OTAD&pln=OCEANTECH","MEDC 1811","Marine Basic First Aid","Marine Basic First Aid This course provides learners with the knowledge and skills necessary to recognize an emergency, provide appropriate first aid at the scene, notify emergency medical services and promote a safety oriented life style for the prevention of accidents. This course meets the requirements for first aid training as set out by Transport Canada and Workplace Occupational Health and Safety. "
"4","Nova Scotia Community College (NSCC)","Oceans Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OTAD&pln=OCEANTECH","OTAD 5000","Seamanship and Marine Safety","Seamanship and Marine Safety In this course, students will learn how to operate safely in the shop and in a variety of marine and shore-based settings. Material will cover marine rigging, marine first aid, marine emergency duties (MEDS), safety and emergency equipment, search and rescue, small boat operators course, winch and crane operation, confined spaces, hazardous materials, THA (Task Hazard Analysis) and SOP’s (Standard Operating Practices). "
"5","Nova Scotia Community College (NSCC)","Oceans Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OTAD&pln=OCEANTECH","OTAD 5001","Introduction to Oceanography","Introduction to Oceanography This course takes many fields of study into the marine context. Learning will contribute to the planning and execution of all types of work in the oceans sector. Course material includes oceans as a vital component of the climate system – climate change, redistribution of heat, salt and gasses, circulation patterns, and forces driving currents; ocean stratification, wave and tidal effects, marine chemistry and industrial pollution, marine biology and biological processes, marine geology, hydrography, and ocean resources. "
"6","Nova Scotia Community College (NSCC)","Oceans Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OTAD&pln=OCEANTECH","OTAD 5006","Oceans Technology Project I","Oceans Technology Project I This two-part course is intended to give learners the opportunity to apply their original field of study in a marine context. Teamwork will be required to identify and plan an actual marine study, collecting real time data and presenting the result in report form. "
"7","Nova Scotia Community College (NSCC)","Oceans Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OTAD&pln=OCEANTECH","OTAD 5007","Sampling Systems and Methods","Sampling Systems and Methods The course will introduce sampling systems for geophysical, biological suspended particulate and chemical sampling. Learners will have the opportunity to apply learning in a shop setting, and whenever possible in field study situations. "
"8","Nova Scotia Community College (NSCC)","Oceans Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OTAD&pln=OCEANTECH","OTAD 5008","Navigation and Positioning","Navigation and Positioning Course material includes the history and theory of navigation and positioning, GPS systems, date and time systems, dead reckoning, inertial navigation, bathymetry, electronic charts, GIS systems, depth and attitude sensing, Short and long baseline acoustic positioning and data protocols. Where possible, opportunities for field study will be included. "
"9","Nova Scotia Community College (NSCC)","Oceans Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OTAD&pln=OCEANTECH","OTAD 5009","Oceans Technology Project II","Oceans Technology Project II This two-part course is intended to give learners the opportunity to apply their original field of study and new learning in a marine context. Teamwork will be required to identify and plan an actual marine study, collecting real time data and presenting the result in report form. "
"10","Nova Scotia Community College (NSCC)","Oceans Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OTAD&pln=OCEANTECH","OTAD 5011","Remote and Autonomous Vehicles","Remote and Autonomous Vehicles The course covers a variety of types of vehicle, their propulsion systems control and monitoring systems, positioning and operation. Learners will also engage in mission planning using ROV’s, AUV’s and gliders. Where possible, opportunities for field study will be included. "
"11","Nova Scotia Community College (NSCC)","Oceans Technology","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OTAD&pln=OCEANTECH","OTAD 5013","Oceans Technology Internship","Oceans Technology Internship This course provides learners with an opportunity to connect with industry and take part in real world operations in the oceans sector. The course content will depend on the placement arranged by the learner and will include following safety, procedures and professional practice particular to the company and situation. NSCC Faculty will advise and liaise with learner and supervisor, visiting the location where possible. "
