"","Institution","Program","Program_url","Code","Name","Description"
"1","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","ACTG 1100","Bookkeeping","Bookkeeping This course introduces students to the basic principles of manual bookkeeping in a service industry. Emphasis will be placed on practical applications of bookkeeping: examination of financial documents, source documents, double-entry journalizing and posting to the general ledger. Students will also reconcile a bank statement and maintain petty cash records. "
"2","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","ACTG 2010","Computerized Accounting I","Computerized Accounting I This course is designed to provide practical applications of accounting principles and procedures using a basic integrated accounting software package. Students will process transactions using the general, accounts receivable, accounts payable, inventory, and payroll modules. Students will also use financial statements and other reports to provide accurate financial information to supervisors.This course is accepted toward certification with the Canadian Institute of Bookkeeping (CIB).This course is accepted as a pre-requisite for the Canadian Professional Accountant Advanced Certificate in Accounting and Finance (CPA – ACAF) program. "
"3","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","COMM 1205","Communications","Communications"
"4","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","COMM 2215","Communications","Communications"
"5","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","COMP 1103","Document Production I","Document Production I This course will introduce students to the principles of keyboarding and document processing. Students will develop proper touch keyboarding techniques and use current timed writing standards to key a speed of 25 words per minute. This course introduces students to electronic file management, as well as, presentation and email software. Students will produce properly formatted, error-free documents using word processing software.Note: This course is not eligible to Business Administration students for use as an elective. "
"6","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","COMP 2000","Applied Social Media","Applied Social Media Students will explore current trends in the use of social media platforms in the workplace. They will develop the skills to assess and identify the suitability of social media platforms. This course will engage students in hands-on application of these platforms to communicate. Course content will emphasize the importance of ethical and respectful communication in building professional relationships and delivery of outstanding customer service. "
"7","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","COMP 2105","Database I","Database I This course introduces the student to the fundamentals of database management including planning, design, creation and modification. Once created, students will add, edit and delete records contained in a database. Students will create queries to obtain specific information from a database, design forms for working with database records, and design reports to print out data in various formats. "
"8","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","COMP 2106","Document Production II","Document Production II This is an advanced course that builds upon the skills and techniques acquired in Document Production I. Using word processing and desktop publishing software, students will produce a variety of high-quality business documents. Students will demonstrate proper touch keyboarding techniques and use current timed writing standards to key a projected speed of 40 words per minute. "
"9","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","COMP 2112","Applied Spreadsheets","Applied Spreadsheets This course introduces the student to electronic spreadsheets. Basic formulae and functions will be used to perform calculations on the spreadsheet data as well as applying formatting skills to enhance the appearance and clarity of printed spreadsheets and reports. Students will also learn to correct common errors, and to utilize sorting and filtering functions to increase efficiency.This course cannot be used to fulfill an elective requirement for students in Business Administration. "
"10","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","MGMT 1010","Organizational Behaviour","Organizational Behaviour This course is designed to introduce the student to the field of organizational behaviour. Through this course, the student can develop an informed understanding of the components inherent in social organizations and the relationships among individuals, groups, and the organizations that contribute to an organization's effectiveness. Topics such as values, perception, ethics, conflict resolution, teamwork and diversity will be examined in order to help students become better equipped to interact with others in an organization. "
"11","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","OFFI 1010","Office Procedures I","Office Procedures I This course will provide students with introductory skills necessary to work in a professional office. Customer service and time management skills are taught and practiced in a model office environment. Operating office equipment, managing office mail, supporting meetings and event planning are covered in Office Procedures I. "
"12","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","OFFI 2010","Office Procedures II","Office Procedures II Through the use of classroom lectures and an office simulation package or practical experience, students will build on skills acquired in Office Procedures I to demonstrate proper protocols, procedures and processes when working in an office organization and work environment.This course is not eligible for a supplemental. "
"13","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","OFFI 2995","Work Experience","Work Experience The Work Experience course provides learners with the opportunity to apply the skills developed within the Office Administration program. Learners gain valuable experience and may receive employer references through the completion of this course. This is a course of 175 hours spread over five weeks. Learners will also benefit from feedback and debriefing during the work experience course. "
"14","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","SAFE 1000","Introduction to WHMIS (Workplace Hazardous Materials Information Systems)","Introduction to WHMIS (Workplace Hazardous Materials Information Systems) This course offers learners basic overview of WHMIS principles and establishes a solid foundation to support workplace-specific training on the safe storage and handling of controlled/hazardous products. Upon successful completion of the course, students receive basic WHMIS certification. "
"15","Nova Scotia Community College (NSCC)","Office Administration","https://www.nscc.ca/learning_programs/programs/PlanDescr.aspx?prg=OFFAD&pln=OFFADMIN","SAFE 1001","Introduction to NS OH&S Act","Introduction to NS OH&S Act This course offers students an introduction to the Occupational Health & Safety (OH&S) Act of Nova Scotia, which is required by any person employed in a Nova Scotia workplace. This is a generic, introductory course that provides basic knowledge of the Act for students and is considered to be the basis from which more specific training can be given. "
